จำนวน,_id,ปี,เพศ,ไตรมาส,ชั่วโมงทำงาน/สัปดาห์
392987.47,1,2561,รวม,ไตรมาส 1,ยอดรวม
381300.41,2,2561,รวม,ไตรมาส 2,ยอดรวม
393254.73,3,2561,รวม,ไตรมาส 3,ยอดรวม
393866.17,4,2561,รวม,ไตรมาส 4,ยอดรวม
390352.19499999995,5,2561,รวม,เฉลี่ย 4 ไตรมาส,ยอดรวม
216651.01,6,2561,ชาย                         ,ไตรมาส 1,ยอดรวม
212106.77,7,2561,ชาย                         ,ไตรมาส 2,ยอดรวม
217788.86,8,2561,ชาย                         ,ไตรมาส 3,ยอดรวม
216320.29,9,2561,ชาย                         ,ไตรมาส 4,ยอดรวม
215716.7325,10,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,ยอดรวม
176336.46,11,2561,หญิง                        ,ไตรมาส 1,ยอดรวม
169193.64,12,2561,หญิง                        ,ไตรมาส 2,ยอดรวม
175465.87,13,2561,หญิง                        ,ไตรมาส 3,ยอดรวม
177545.88,14,2561,หญิง                        ,ไตรมาส 4,ยอดรวม
174635.4625,15,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,ยอดรวม
2966.06,16,2561,รวม,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
1325.9,17,2561,รวม,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
,18,2561,รวม,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
2004,19,2561,รวม,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
1573.99,20,2561,รวม,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
1640.25,21,2561,ชาย                         ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
,22,2561,ชาย                         ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
,23,2561,ชาย                         ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
1207.05,24,2561,ชาย                         ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
711.825,25,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
1325.81,26,2561,หญิง                        ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
1325.9,27,2561,หญิง                        ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
,28,2561,หญิง                        ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
796.95,29,2561,หญิง                        ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
862.165,30,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
,31,2561,รวม,ไตรมาส 1,1-9 ชั่วโมง
297.77,32,2561,รวม,ไตรมาส 2,1-9 ชั่วโมง
409.41,33,2561,รวม,ไตรมาส 3,1-9 ชั่วโมง
,34,2561,รวม,ไตรมาส 4,1-9 ชั่วโมง
176.79500000000002,35,2561,รวม,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
,36,2561,ชาย                         ,ไตรมาส 1,1-9 ชั่วโมง
,37,2561,ชาย                         ,ไตรมาส 2,1-9 ชั่วโมง
,38,2561,ชาย                         ,ไตรมาส 3,1-9 ชั่วโมง
,39,2561,ชาย                         ,ไตรมาส 4,1-9 ชั่วโมง
,40,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
,41,2561,หญิง                        ,ไตรมาส 1,1-9 ชั่วโมง
297.77,42,2561,หญิง                        ,ไตรมาส 2,1-9 ชั่วโมง
409.41,43,2561,หญิง                        ,ไตรมาส 3,1-9 ชั่วโมง
,44,2561,หญิง                        ,ไตรมาส 4,1-9 ชั่วโมง
176.79500000000002,45,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
5200.83,46,2561,รวม,ไตรมาส 1,10-19 ชั่วโมง
801.07,47,2561,รวม,ไตรมาส 2,10-19 ชั่วโมง
2269.95,48,2561,รวม,ไตรมาส 3,10-19 ชั่วโมง
1643.26,49,2561,รวม,ไตรมาส 4,10-19 ชั่วโมง
2478.7774999999997,50,2561,รวม,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
2994.07,51,2561,ชาย                         ,ไตรมาส 1,10-19 ชั่วโมง
508.91,52,2561,ชาย                         ,ไตรมาส 2,10-19 ชั่วโมง
449.73,53,2561,ชาย                         ,ไตรมาส 3,10-19 ชั่วโมง
795.11,54,2561,ชาย                         ,ไตรมาส 4,10-19 ชั่วโมง
1186.955,55,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
2206.76,56,2561,หญิง                        ,ไตรมาส 1,10-19 ชั่วโมง
292.17,57,2561,หญิง                        ,ไตรมาส 2,10-19 ชั่วโมง
1820.21,58,2561,หญิง                        ,ไตรมาส 3,10-19 ชั่วโมง
848.15,59,2561,หญิง                        ,ไตรมาส 4,10-19 ชั่วโมง
1291.8225,60,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
21654.53,61,2561,รวม,ไตรมาส 1,20-29 ชั่วโมง
6506.59,62,2561,รวม,ไตรมาส 2,20-29 ชั่วโมง
9805.71,63,2561,รวม,ไตรมาส 3,20-29 ชั่วโมง
5721.19,64,2561,รวม,ไตรมาส 4,20-29 ชั่วโมง
10922.005000000001,65,2561,รวม,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
11112.54,66,2561,ชาย                         ,ไตรมาส 1,20-29 ชั่วโมง
2609.44,67,2561,ชาย                         ,ไตรมาส 2,20-29 ชั่วโมง
4127.71,68,2561,ชาย                         ,ไตรมาส 3,20-29 ชั่วโมง
3506.48,69,2561,ชาย                         ,ไตรมาส 4,20-29 ชั่วโมง
5339.0425000000005,70,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
10541.99,71,2561,หญิง                        ,ไตรมาส 1,20-29 ชั่วโมง
3897.15,72,2561,หญิง                        ,ไตรมาส 2,20-29 ชั่วโมง
5678,73,2561,หญิง                        ,ไตรมาส 3,20-29 ชั่วโมง
2214.71,74,2561,หญิง                        ,ไตรมาส 4,20-29 ชั่วโมง
5582.9625,75,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
20452.98,76,2561,รวม,ไตรมาส 1,30-34 ชั่วโมง
6123.06,77,2561,รวม,ไตรมาส 2,30-34 ชั่วโมง
14499.04,78,2561,รวม,ไตรมาส 3,30-34 ชั่วโมง
10344.7,79,2561,รวม,ไตรมาส 4,30-34 ชั่วโมง
12854.945,80,2561,รวม,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
9895.32,81,2561,ชาย                         ,ไตรมาส 1,30-34 ชั่วโมง
4256.29,82,2561,ชาย                         ,ไตรมาส 2,30-34 ชั่วโมง
7080.5,83,2561,ชาย                         ,ไตรมาส 3,30-34 ชั่วโมง
6186.87,84,2561,ชาย                         ,ไตรมาส 4,30-34 ชั่วโมง
6854.745,85,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
10557.66,86,2561,หญิง                        ,ไตรมาส 1,30-34 ชั่วโมง
1866.77,87,2561,หญิง                        ,ไตรมาส 2,30-34 ชั่วโมง
7418.54,88,2561,หญิง                        ,ไตรมาส 3,30-34 ชั่วโมง
4157.83,89,2561,หญิง                        ,ไตรมาส 4,30-34 ชั่วโมง
6000.200000000001,90,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
38819.43,91,2561,รวม,ไตรมาส 1,35-39 ชั่วโมง
26541.63,92,2561,รวม,ไตรมาส 2,35-39 ชั่วโมง
30391.18,93,2561,รวม,ไตรมาส 3,35-39 ชั่วโมง
33554.2,94,2561,รวม,ไตรมาส 4,35-39 ชั่วโมง
