จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
47504,63,2563,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
37016,64,2563,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 3,คน
26895,65,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 3,คน
5753,66,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
,67,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
27523,68,2563,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 3,คน
17023,69,2563,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 3,คน
6239,70,2563,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
-,71,2563,อื่น ๆ,       หญิง                        , ไตรมาสที่ 3,คน
314,72,2563,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 3,คน
2581,73,2563,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
25104,74,2563,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
65541,75,2563,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
70145,76,2563,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 4,คน
34898,77,2563,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 4,คน
9762,78,2563,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
,79,2563,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
22787,80,2563,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 4,คน
19428,81,2563,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 4,คน
2512,82,2563,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
-,83,2563,อื่น ๆ,       ชาย                         , ไตรมาสที่ 4,คน
1260,84,2563,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 4,คน
6251,85,2563,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
22804,86,2563,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
41832,87,2563,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
39584,88,2563,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 4,คน
