เลขที่,โรงงาน,ที่มา,_id,หมู่ที่,ตำบล,อำเภอ,จังหวัด
22/6,บริษัท นราปาล์มทองออยล์กรุ๊ป บือซา จำกัด,สำนักงานสหกรณ์จังหวัดนราธิวาส,1,6.0,ยี่งอ,ยี่งอ,นราธิวาส
99,โรงงานสกัดน้ำมันปาล์มสหกรณ์นิคมบาเจาะ จำกัด: ตั,สำนักงานสหกรณ์จังหวัดนราธิวาส,2,3.0,โคกเคียน,เมืองนราธิวาส,นราธิวาส
9/1 ,บริษัท พลังงานไทยเสริมสุข จำกัด: ,สำนักงานสหกรณ์จังหวัดนราธิวาส,3,3.0,โคกเคียน,เมืองนราธิวาส,นราธิวาส
-,โรงงานสกัดน้ำมันปาล์มและแปรรูปเพิ่มมูลค่า,สำนักงานสหกรณ์จังหวัดนราธิวาส,4,-,กะลุวอ,เมืองนราธิวาส,นราธิวาส
