จำนวน,ประเภท,_id,ปี,เพศ
574355,ผู้มีงานทำ,1,2555,ชาย
484881,ผู้มีงานทำ,2,2555,หญิง
35441,ผู้สูงอายุที่ทำงาน,3,2555,ชาย
20721,ผู้สูงอายุที่ทำงาน,4,2555,หญิง
572108,ผู้มีงานทำ,5,2556,ชาย
442431,ผู้มีงานทำ,6,2556,หญิง
35372,ผู้สูงอายุที่ทำงาน,7,2556,ชาย
20704,ผู้สูงอายุที่ทำงาน,8,2556,หญิง
577967,ผู้มีงานทำ,9,2557,ชาย
440622,ผู้มีงานทำ,10,2557,หญิง
38557,ผู้สูงอายุที่ทำงาน,11,2557,ชาย
19829,ผู้สูงอายุที่ทำงาน,12,2557,หญิง
577506,ผู้มีงานทำ,13,2558,ชาย
454918,ผู้มีงานทำ,14,2558,หญิง
36964,ผู้สูงอายุที่ทำงาน,15,2558,ชาย
19365,ผู้สูงอายุที่ทำงาน,16,2558,หญิง
562600,ผู้มีงานทำ,17,2559,ชาย
455095,ผู้มีงานทำ,18,2559,หญิง
33477,ผู้สูงอายุที่ทำงาน,19,2559,ชาย
19705,ผู้สูงอายุที่ทำงาน,20,2559,หญิง
560472,ผู้มีงานทำ,21,2560,ชาย
459350,ผู้มีงานทำ,22,2560,หญิง
25407,ผู้สูงอายุที่ทำงาน,23,2560,ชาย
17802,ผู้สูงอายุที่ทำงาน,24,2560,หญิง
585729,ผู้มีงานทำ,25,2561,ชาย
460655,ผู้มีงานทำ,26,2561,หญิง
21943,ผู้สูงอายุที่ทำงาน,27,2561,ชาย
19394,ผู้สูงอายุที่ทำงาน,28,2561,หญิง
571450,ผู้มีงานทำ,29,2562,ชาย
471472,ผู้มีงานทำ,30,2562,หญิง
25419,ผู้สูงอายุที่ทำงาน,31,2562,ชาย
19107,ผู้สูงอายุที่ทำงาน,32,2562,หญิง
580403,ผู้มีงานทำ,33,2563,ชาย
439111,ผู้มีงานทำ,34,2563,หญิง
28970,ผู้สูงอายุที่ทำงาน,35,2563,ชาย
13045,ผู้สูงอายุที่ทำงาน,36,2563,หญิง
587103,ผู้มีงานทำ,37,2564,ชาย
472415,ผู้มีงานทำ,38,2564,หญิง
26124,ผู้สูงอายุที่ทำงาน,39,2564,ชาย
21480,ผู้สูงอายุที่ทำงาน,40,2564,หญิง
602336,ผู้มีงานทำ,41,2565,ชาย
495801,ผู้มีงานทำ,42,2565,หญิง
40239,ผู้สูงอายุที่ทำงาน,43,2565,ชาย
30659,ผู้สูงอายุที่ทำงาน,44,2565,หญิง
636996,ผู้มีงานทำ,45,2566,ชาย
550714,ผู้มีงานทำ,46,2566,หญิง
62203,ผู้สูงอายุที่ทำงาน,47,2566,ชาย
42369,ผู้สูงอายุที่ทำงาน,48,2566,หญิง
