ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,11,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,11,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,10,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,9,ราย
