จำนวน,_id,ปี,เพศ,ไตรมาส
900177.79,1,2558,รวม,ไตรมาส 1
498752.35,2,2558,ชาย,ไตรมาส 1
401425.45,3,2558,หญิง,ไตรมาส 1
950122.72,4,2558,รวม,ไตรมาส 2
525386.36,5,2558,ชาย,ไตรมาส 2
424736.36,6,2558,หญิง,ไตรมาส 2
930778.11,7,2558,รวม,ไตรมาส 3
511774.97,8,2558,ชาย,ไตรมาส 3
419003.14,9,2558,หญิง,ไตรมาส 3
916261.7,10,2558,รวม,ไตรมาส 4
511664.47,11,2558,ชาย,ไตรมาส 4
404597.23,12,2558,หญิง,ไตรมาส 4
949434.2,13,2559,รวม,ไตรมาส 1
519808.25,14,2559,ชาย,ไตรมาส 1
429625.95,15,2559,หญิง,ไตรมาส 1
923231.94,16,2559,รวม,ไตรมาส 2
513060.74,17,2559,ชาย,ไตรมาส 2
410171.21,18,2559,หญิง,ไตรมาส 2
929005.32,19,2559,รวม,ไตรมาส 3
515793.07,20,2559,ชาย,ไตรมาส 3
413212.25,21,2559,หญิง,ไตรมาส 3
898944.2,22,2559,รวม,ไตรมาส 4
491133.7,23,2559,ชาย,ไตรมาส 4
407810.51,24,2559,หญิง,ไตรมาส 4
925266.48,25,2560,รวม,ไตรมาส 1
515927.75,26,2560,ชาย,ไตรมาส 1
409338.74,27,2560,หญิง,ไตรมาส 1
904290.57,28,2560,รวม,ไตรมาส 2
497055.65,29,2560,ชาย,ไตรมาส 2
407234.92,30,2560,หญิง,ไตรมาส 2
924740.23,31,2560,รวม,ไตรมาส 3
496383.17,32,2560,ชาย,ไตรมาส 3
428357.07,33,2560,หญิง,ไตรมาส 3
926382.08,34,2560,รวม,ไตรมาส 4
503481.57,35,2560,ชาย,ไตรมาส 4
422900.51,36,2560,หญิง,ไตรมาส 4
954423.1,37,2561,รวม,ไตรมาส 1
518758.56,38,2561,ชาย,ไตรมาส 1
435664.54,39,2561,หญิง,ไตรมาส 1
972988.58,40,2561,รวม,ไตรมาส 2
520753.44,41,2561,ชาย,ไตรมาส 2
452235.14,42,2561,หญิง,ไตรมาส 2
988350.01,43,2561,รวม,ไตรมาส 3
537694.04,44,2561,ชาย,ไตรมาส 3
450655.97,45,2561,หญิง,ไตรมาส 3
956761.86,46,2561,รวม,ไตรมาส 4
511707.43,47,2561,ชาย,ไตรมาส 4
445054.43,48,2561,หญิง,ไตรมาส 4
939855.48,49,2562,รวม,ไตรมาส 1
496404.44,50,2562,ชาย,ไตรมาส 1
443451.03,51,2562,หญิง,ไตรมาส 1
949091.32,52,2562,รวม,ไตรมาส 2
514442.8,53,2562,ชาย,ไตรมาส 2
434648.52,54,2562,หญิง,ไตรมาส 2
916403.81,55,2562,รวม,ไตรมาส 3
505714.07,56,2562,ชาย,ไตรมาส 3
410689.75,57,2562,หญิง,ไตรมาส 3
917094.1,58,2562,รวม,ไตรมาส 4
491842.47,59,2562,ชาย,ไตรมาส 4
425251.64,60,2562,หญิง,ไตรมาส 4
916835.5,61,2563,รวม,ไตรมาส 1
489831.22,62,2563,ชาย,ไตรมาส 1
427004.27,63,2563,หญิง,ไตรมาส 1
896917.68,64,2563,รวม,ไตรมาส 2
482144.97,65,2563,ชาย,ไตรมาส 2
414772.7,66,2563,หญิง,ไตรมาส 2
934339.11,67,2563,รวม,ไตรมาส 3
481007.08,68,2563,ชาย,ไตรมาส 3
453332.03,69,2563,หญิง,ไตรมาส 3
931849.87,70,2563,รวม,ไตรมาส 4
489256.67,71,2563,ชาย,ไตรมาส 4
442593.2,72,2563,หญิง,ไตรมาส 4
867309.93,73,2564,รวม,ไตรมาส 1
470947.04,74,2564,ชาย,ไตรมาส 1
396362.89,75,2564,หญิง,ไตรมาส 1
897181.34,76,2564,รวม,ไตรมาส 2
476232.46,77,2564,ชาย,ไตรมาส 2
420948.87,78,2564,หญิง,ไตรมาส 2
917161.23,79,2564,รวม,ไตรมาส 3
482672.13,80,2564,ชาย,ไตรมาส 3
434489.11,81,2564,หญิง,ไตรมาส 3
946405.74,82,2564,รวม,ไตรมาส 4
496455.28,83,2564,ชาย,ไตรมาส 4
449950.47,84,2564,หญิง,ไตรมาส 4
849975.21,85,2565,รวม,ไตรมาส 1
465223.22,86,2565,ชาย,ไตรมาส 1
384751.99,87,2565,หญิง,ไตรมาส 1
873098.4,88,2565,รวม,ไตรมาส 2
472269.2,89,2565,ชาย,ไตรมาส 2
400829.19,90,2565,หญิง,ไตรมาส 2
883537.84,91,2565,รวม,ไตรมาส 3
467945.74,92,2565,ชาย,ไตรมาส 3
415592.1,93,2565,หญิง,ไตรมาส 3
897501.31,94,2565,รวม,ไตรมาส 4
471709.51,95,2565,ชาย,ไตรมาส 4
425791.8,96,2565,หญิง,ไตรมาส 4
920400.68,97,2566,รวม,ไตรมาส 1
476236.23,98,2566,ชาย,ไตรมาส 1
444164.45,99,2566,หญิง,ไตรมาส 1
945805.97,100,2566,รวม,ไตรมาส 2
494635.77,101,2566,ชาย,ไตรมาส 2
451170.19,102,2566,หญิง,ไตรมาส 2
964922.18,103,2566,รวม,ไตรมาส 3
502402.36,104,2566,ชาย,ไตรมาส 3
462519.82,105,2566,หญิง,ไตรมาส 3
947527.92,106,2566,รวม,ไตรมาส 4
493491.25,107,2566,ชาย,ไตรมาส 4
454036.68,108,2566,หญิง,ไตรมาส 4
