เดือน,_id,ปี,%yoy,ดัชนีราคาผู้ผลิต
มกราคม,1,2568,0.7,111.1
กุมภาพันธ์,2,2568,-0.3,111.3
มีนาคม,3,2568,-1.6,110.6
เมษายน,4,2568,-3.2,110.2
พฤษภาคม,5,2568,-3.7,109.4
มิถุนายน,6,2568,-4.0,109.1
กรกฎาคม,7,2568,-4.2,108.5
สิงหาคม,8,2568,-3.5,108.3
กันยายน,9,2568,-2.4,108.2
ตุลาคม,10,2568,-1.4,109.3
พฤศจิกายน,11,2568,-1.6,109.4
ธันวาคม,12,2568,-1.8,109.0
