จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
653528,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
19283,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
170903,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
83,4,2566,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
2597,5,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
3,6,2566,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),รถยนต์
689,7,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
334,8,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
729,9,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
11,10,2566,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
2065016,11,2566,รย. 12 รถจักรยานยนต์,รถยนต์
60429,12,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
696,13,2566,รย. 14 รถบดถนน,รถยนต์
378,14,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
1044,15,2566,รย. 16 รถพ่วง,รถยนต์
1270,16,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
2284,17,2566,รถโดยสารประจำทาง,รถขนส่ง
5381,18,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
577,19,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
36654,20,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
36300,21,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
