_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,4.46,638.48,62084,143158,2344
2,2561,3.34,535.73,63107,160399,2615
3,2562,2.95,508.26,63861,132293,2819
4,2563,4,689.39,64808,172263,2710
5,2564,6.34,1063.4,64156,167729,2694
