เดือน,จำนวน,ประเภท_พรบ,_id,ปี
มกราคม,29,ตามพรบ.ขนส่ง,1,2564
กุมภาพันธ์,22,ตามพรบ.ขนส่ง,2,2564
มีนาคม,32,ตามพรบ.ขนส่ง,3,2564
เมษายน,20,ตามพรบ.ขนส่ง,4,2564
พฤษภาคม,21,ตามพรบ.ขนส่ง,5,2564
มิถุนายน,23,ตามพรบ.ขนส่ง,6,2564
กรกฎาคม,25,ตามพรบ.ขนส่ง,7,2564
สิงหาคม,16,ตามพรบ.ขนส่ง,8,2564
กันยายน,27,ตามพรบ.ขนส่ง,9,2564
ตุลาคม,15,ตามพรบ.ขนส่ง,10,2564
พฤศจิกายน,16,ตามพรบ.ขนส่ง,11,2564
ธันวาคม,11,ตามพรบ.ขนส่ง,12,2564
มกราคม,3236,ตามพรบ.รถยนต์,13,2564
กุมภาพันธ์,3065,ตามพรบ.รถยนต์,14,2564
มีนาคม,3747,ตามพรบ.รถยนต์,15,2564
เมษายน,3443,ตามพรบ.รถยนต์,16,2564
พฤษภาคม,3254,ตามพรบ.รถยนต์,17,2564
มิถุนายน,3722,ตามพรบ.รถยนต์,18,2564
กรกฎาคม,2660,ตามพรบ.รถยนต์,19,2564
สิงหาคม,2112,ตามพรบ.รถยนต์,20,2564
กันยายน,2347,ตามพรบ.รถยนต์,21,2564
ตุลาคม,2470,ตามพรบ.รถยนต์,22,2564
พฤศจิกายน,3093,ตามพรบ.รถยนต์,23,2564
ธันวาคม,3784,ตามพรบ.รถยนต์,24,2564
มกราคม,24,ตามพรบ.ขนส่ง,25,2565
กุมภาพันธ์,41,ตามพรบ.ขนส่ง,26,2565
มีนาคม,22,ตามพรบ.ขนส่ง,27,2565
เมษายน,25,ตามพรบ.ขนส่ง,28,2565
พฤษภาคม,26,ตามพรบ.ขนส่ง,29,2565
มิถุนายน,29,ตามพรบ.ขนส่ง,30,2565
กรกฎาคม,19,ตามพรบ.ขนส่ง,31,2565
สิงหาคม,29,ตามพรบ.ขนส่ง,32,2565
กันยายน,10,ตามพรบ.ขนส่ง,33,2565
ตุลาคม,18,ตามพรบ.ขนส่ง,34,2565
พฤศจิกายน,34,ตามพรบ.ขนส่ง,35,2565
ธันวาคม,12,ตามพรบ.ขนส่ง,36,2565
มกราคม,3785,ตามพรบ.รถยนต์,37,2565
กุมภาพันธ์,3591,ตามพรบ.รถยนต์,38,2565
มีนาคม,3347,ตามพรบ.รถยนต์,39,2565
เมษายน,3100,ตามพรบ.รถยนต์,40,2565
พฤษภาคม,3518,ตามพรบ.รถยนต์,41,2565
มิถุนายน,3857,ตามพรบ.รถยนต์,42,2565
กรกฎาคม,3296,ตามพรบ.รถยนต์,43,2565
สิงหาคม,3635,ตามพรบ.รถยนต์,44,2565
