เนื้อที่เพาะปลูก,_id,ปี,ลำดับ,สินค้า,หน่วย
388.79,1,2565,1,ข้าวนาปี,ไร่
0,2,2565,2,ผึ้ง,ไร่
"175,756.00",3,2565,3,ปาล์มน้ำมัน,ไร่
"4,342.00",4,2565,4,มะพร้าวผลแก่,ไร่
142,5,2565,5,มะม่วงหิมพานต์,ไร่
6,6,2565,6,สับปะรดโรงงาน,ไร่
26,7,2565,7,สับปะรดบริโภคสด,ไร่
236,8,2565,8,เงาะ,ไร่
2,9,2565,9,จำปาดะ,ไร่
"41,247.00",10,2565,10,ทุเรียน,ไร่
"13,541.00",11,2565,11,มังคุด,ไร่
"2,962.00",12,2565,12,ลองกอง,ไร่
14,13,2565,13,มะพร้าวน้ำหอม,ไร่
"3,345.00",14,2565,14,สะตอ,ไร่
"4,269.00",15,2565,15,หมาก,ไร่
"51,627.00",16,2565,16,กาแฟ,ไร่
182,17,2566,17,กาแฟอาราบิก้า,ไร่
"50,642.93",18,2566,18,กาแฟโรบัสต้า,ไร่
376.98,19,2566,19,ข้าวนาปี,ไร่
105.5,20,2566,20,เงาะพื้นเมืองอื่นๆ,ไร่
113,21,2566,21,เงาะโรงเรียน,ไร่
212,22,2566,22,จำปาดะ,ไร่
10,23,2566,23,ถั่วฝักยาว,ไร่
"2,675.00",24,2566,24,ทุเรียน,ไร่
"40,311.51",25,2566,25,ทุเรียนหมอนทอง,ไร่
15,26,2566,26,บวบ,ไร่
"189,329.99",27,2566,27,ปาล์มน้ำมัน,ไร่
"2,754.00",28,2566,28,ผึ้งโพรง,ไร่
100,29,2566,29,พริกขี้หนูเม็ดใหญ่,ไร่
"4,645.86",30,2566,30,มะพร้าวแก่,ไร่
"2,530.60",31,2566,31,มะม่วงหิมพานต์,ไร่
"14,441.04",32,2566,32,มังคุด,ไร่
"121,092.00",33,2566,33,ยางพารา,ไร่
"3,543.92",34,2566,34,ลองกอง,ไร่
"3,480.80",35,2566,35,สะตอ,ไร่
"4,876.74",36,2566,36,หมาก,ไร่
"10,718.62",37,2567,37,กาแฟระนอง,ไร่
681,38,2567,38,นาปี (ข้าวเจ้า),ไร่
78.15,39,2567,39,เงาะโรงเรียน,ไร่
73,40,2567,40,เงาะ,ไร่
208,41,2567,41,จำปาดะ,ไร่
10,42,2567,42,ถั่วฝักยาว,ไร่
"31,892.75",43,2567,43,ทุเรียนหมอนทอง,ไร่
"8,399.36",44,2567,44,ทุเรียนในวงระนอง,ไร่
821,45,2567,45,ทุเรียนพันธุ์อื่นๆ,ไร่
15,46,2567,46,บวบ,ไร่
"123,314.78",47,2567,47,ปาล์มน้ำมัน,ไร่
"2,953.00",48,2567,48,ผึ้งโพรง,ไร่
100,49,2567,49,พริกขี้หนูเม็ดใหญ่,ไร่
"4,317.91",50,2567,50,มะพร้าวแก่,ไร่
"2,516.23",51,2567,51,มะม่วงหิมพานต์,ไร่
"7,988.19",52,2567,52,มังคุด,ไร่
"1,327.09",53,2567,53,มังคุดในวงระนอง,ไร่
"1,555.11",54,2567,54,ลองกอง,ไร่
"2,898.39",55,2567,55,สะตอ,ไร่
"7,019.51",56,2567,56,หมาก,ไร่
"9,916.21",57,2568,57,กาแฟระนอง,ไร่
720,58,2568,58,กาแฟโรบัสต้า,ไร่
681,59,2568,59,นาปี (ข้าวเจ้า),ไร่
79.44,60,2568,60,เงาะโรงเรียน,ไร่
73,61,2568,61,เงาะ,ไร่
208,62,2568,62,จำปาดะ,ไร่
15,63,2568,63,ถั่วฝักยาว,ไร่
"35,577.24",64,2568,64,ทุเรียนหมอนทอง,ไร่
"2,810.00",65,2568,65,ทุเรียนพันธุ์อื่นๆ,ไร่
"2,007.00",66,2568,66,ทุเรียนในวงระนอง,ไร่
15,67,2568,67,บวบ,ไร่
"113,641.65",68,2568,68,ปาล์มน้ำมัน,ไร่
"2,977.00",69,2568,69,ผึ้งโพรง,ไร่
10,70,2568,70,พริกขี้หนูเม็ดใหญ่,ไร่
"3,809.44",71,2568,71,มะพร้าวแก่,ไร่
"2,516.23",72,2568,72,มะม่วงหิมพานต์,ไร่
"7,227.97",73,2568,73,มังคุด,ไร่
636,74,2568,74,มังคุดในวงระนอง,ไร่
797.9,75,2568,75,ลองกอง,ไร่
"2,518.89",76,2568,76,สะตอ,ไร่
"6,326.37",77,2568,77,หมาก,ไร่
