_id,ลำดับ,เลขทะเบียน,ชื่อโรงงาน
1,1,200000225330,โรงน้ำแข็งบางละมุง
2,2,200000125332,บริษัท ซี.เอส.ซี.ฟูดส์ (ประเทศไทย) จำกัด
3,3,200000125324,บริษัท มูนสโคป จํากัด
4,4,200000125340,วราภรณ์ค้าแป้งบางละมุง
5,5,200100125307,บริษัท ไทยรับเบอร์ลาเท็คซ์กรุ๊ป จำกัด (มหาชน)
6,6,200000125357,บริษัท ไทย ที.เจ. พาราวูด จำกัด
7,7,200000125365,บริษัท ทิพย์วันชัยซีฟู๊ด จำกัด
8,8,200000225348,บริษัท วีเอส เค อินเตอร์เทรด (1989) จำกัด
9,9,200100125398,บริษัท น้ำแข็งศรีราชา จำกัด
10,10,200000125373,บริษัท ไทยโทโยกลูโคส จำกัด
11,11,200000325395,บริษัท โอเซกิ แอนด์ โรสวูด จำกัด
12,12,200200125363,ห้างหุ้นส่วนจำกัด สุขสวัสดิ์น้ำแข็งหลอด
13,13,200400125361,บริษัท ลีโอวูด อินเตอร์เทรด จำกัด
14,14,200001025358,รุ่งอรุณการช่าง
15,15,200500125345,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด
16,16,200100125356,บริษัท สยามทรีดีเวลลอปเม้นต์ จำกัด
17,17,200600125336,บริษัท ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ้ง คอร์ปอเรชั่น จำกัด
18,18,200200125322,บริษัท เคนมิน ฟู้ดส์ (ไทยแลนด์) จำกัด
19,19,200000125381,ตั้งบ้วนเส็ง
20,20,200000125399,บริษัท ควิซีน โซลูชั่น เอเซีย จำกัด
21,21,200200225346,บริษัท โพเดียมโฮลดิ้ง กรุ๊ป จำกัด
22,22,200000325353,บริษัท ชลบุรีตราแม่ครัวฉลากทอง จำกัด
23,23,200200225361,บริษัท บี.โอ.อุตสาหกรรม จำกัด
24,24,200100125364,บริษัท แพนอินเตอร์ฟู้ดส์ จำกัด
25,25,200500125337,บริษัท ไทยคามาย่า จำกัด
26,26,200200125330,บริษัท ยู่สูง จำกัด
27,27,200500125360,บริษัท ที ที เอ็ม อินดัสเตรียล จำกัด
28,28,200200125371,บริษัท โรงน้ำแข็งเทพภูธร จำกัด
29,29,200200125389,บริษัท รอยัล มาสเตอร์ จำกัด
30,30,10200000125421,บริษัท โกลเด้นไทม์เอ็นเตอร์ไพร์ส จำกัด
31,31,200300125347,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน)
32,32,10200000125462,บริษัท เคนมิน ฟู้ดส์ (ไทยแลนด์) จำกัด
33,33,200400125338,บริษัท บางกอกโตเกียว ซ็อคส์ จำกัด
34,34,10200000125553,บริษัท ออริจิน จำกัด
35,35,10200000125611,บริษัท พี.เอส.พี.อุตสาหกรรมโลหะกิจ จำกัด
36,36,10200000225155,บริษัท ไพโรจน์ (ทั่งซังฮะ) จำกัด
37,37,10200000225304,บริษัท ไทยยนต์ชลบุรี ผู้จำหน่ายโตโยต้า จำกัด
38,38,200000225363,บริษัท ผลิตภัณฑ์อาหารเมอริท จำกัด
39,39,10200000225361,บริษัท อัลฟาคาสท์ จำกัด
40,40,200000225371,สหกรณ์โคนมบ้านบึง จำกัด
41,41,10200000225387,บริษัท สุวลี จำกัด
42,42,10200000125231,บริษัท สันติภาพอุตสากรรม จำกัด
43,43,200000225389,โรงงานเส้นหมี่พนัสทิพย์
44,44,10200000225445,บริษัท บ้านบึงน้ำแข็งซอง จำกัด
45,45,10200000125272,บริษัท นวกาญจน์โลหะชลบุรี จำกัด
46,46,10200000125264,บริษัท ทัศนาชลบุรี จำกัด
47,47,10200000125405,บริษัท พนัสโพลทรี่ กรุ๊ป จำกัด
48,48,10200000125496,บริษัท ทีทีเอ็น นันวูเว่น โซลูชั่น จำกัด
49,49,10200000225502,บริษัท ที.ดี.เค อินดัสเตรียล จำกัด
50,50,10200000125348,ไฟน์คอนทิเน้นท์ อินดัสเทรียล
51,51,10200000325179,บริษัท โรงโม่หินดวงตะวัน จำกัด
52,52,10200000125397,บริษัท ไทยลู้บเบส จำกัด(มหาชน)
53,53,10200000325294,-
54,54,10200000125520,บริษัท เอ็ม พี เค เปเปอร์ จำกัด
55,55,10200000125447,บริษัท ควอลิตี้เพลเลท จำกัด
56,56,10200000125561,บริษัท วิศวกิจพัฒนา จำกัด
57,57,10200000125579,บริษัท ซุปเปอร์ สตีล เอ็นเตอร์ไพรส์ จำกัด
58,58,10200000325310,บริษัท ชลบุรีเมืองทอง จำกัด
59,59,10200000225197,บริษัท โรงโม่หินพิบูลย์รัตน์ จำกัด
60,60,10200000225312,บริษัท บ้านบึงปลาป่น จำกัด
61,61,10200000325336,บริษัท ยนตรกิจเซอร์วิส จำกัด
62,62,10200000225320,บริษัท เอ็ม.อาร์.ไอ. จำกัด
63,63,10200000225205,ช.วัฒนา
64,64,10200000325401,บริษัท เอเซียรับเบอร์ลาเท็กซ์ (1988) จำกัด
65,65,10200000225353,ห้างหุ้นส่วนจำกัด สินทรัพย์คีรี
66,66,10200000225395,บริษัท เกษมพลาสติก อินดัสทรีส์ จำกัด
67,67,10200000325484,บริษัท บางวัวไฟเบอร์กลาส จำกัด
68,68,10200000225585,บริษัท เอส.เค.ที.กลาส จำกัด
69,69,10200000325187,ธรรมเจริญ
70,70,10200000425185,สมชายพานิช
71,71,10200000325237,บริษัท โรงสีวัชราภรณ์ธัญญา จำกัด
72,72,10200000425482,บริษัท ซีล คอนโทรล (ประเทศไทย) จำกัด
73,73,10200000325260,ห้างหุ้นส่วนจำกัด ว.พิบูลย์กิจ
74,74,10200000225239,บริษัท ชลเจริญ จำกัด
75,75,10200000325344,บริษัท ท้อป เทร็นด์ แมนูแฟคเจอริ่ง จำกัด
76,76,10200000425607,บริษัท ซีบีไอ (ประเทศไทย) จำกัด
77,77,10200000325518,บริษัท ชลบุรี สเปเชียล สตีล กรุ๊ป จำกัด
78,78,10200000525489,-
79,79,10200000225346,บริษัท เทพศิลา แอกรีเกรท ซัพพลาย จำกัด
80,80,10200000625461,บริษัท พัทยา เปเปอร์มิลล์ จำกัด
81,81,10200000325567,บริษัท เอ แอนด์ อาร์ รีไซเคิ้ลลิ้ง เซ็นเตอร์ จำกัด
82,82,10200000225411,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสัตหีบ
83,83,10200000625511,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด (มหาชน)
84,84,10200000425201,บริษัท ฟาต๋า ทาปิโอก้า จำกัด
85,85,10200000225429,บริษัท สุขสมบูรณ์ น้ำมันปาล์ม จำกัด
86,86,10200000625560,บริษัท ที.เอ็ม.เค.เบสท์ กรีน มิราเคิล จำกัด
87,87,10200000425466,บริษัท เอ็ม.ซี.เจนเนอรัล เซอร์วิส จำกัด
88,88,10200000225452,บริษัท วัฒนากิจพาราเจริญทรัพย์ จำกัด
89,89,10200000725485,ห้างหุ้นส่วนจำกัด เตชะมา
90,90,10200000525232,มานะแทรคเตอร์
