เดือน,_id,ปี,พื้นที่อนุญาตก่อสร้าง,หน่วย
มกราคม,1,2568," 4,951.00 ",ตร.ม.
กุมภาพันธ์,2,2568," 5,287.00 ",ตร.ม.
มีนาคม,3,2568," 9,346.00 ",ตร.ม.
เมษายน,4,2568," 23,381.00 ",ตร.ม.
พฤษภาคม,5,2568," 8,697.00 ",ตร.ม.
มิถุนายน,6,2568," 23,095.00 ",ตร.ม.
กรกฎาคม,7,2568," 49,887.00 ",ตร.ม.
สิงหาคม,8,2568," 26,593.00 ",ตร.ม.
กันยายน,9,2568," 20,858.00 ",ตร.ม.
ตุลาคม,10,2568," 28,992.00 ",ตร.ม.
พฤศจิกายน,11,2568," 35,734.00 ",ตร.ม.
ธันวาคม,12,2568," 42,452.00 ",ตร.ม.
