จำนวน,_id,ปี,รายการ,ชนิดของพืชผัก
241,82,2562,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
450.91,83,2562,ผลผลิต (ตัน),คะน้า
1871,84,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
24,85,2562,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
24,86,2562,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
0.98,87,2562,ผลผลิต (ตัน),พริกใหญ่
41,88,2562,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
114.95,89,2563,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานฝักสด
114.95,90,2563,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานฝักสด
153.46,91,2563,ผลผลิต (ตัน),ข้าวโพดรับประทานฝักสด
1335.02,92,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานฝักสด
692.67,93,2563,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
692.67,94,2563,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
1298.76,95,2563,ผลผลิต (ตัน),ข้าวโพดหวาน
1875,96,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดหวาน
543.87,97,2563,เนื้อที่เพาะปลูก (ไร่),ชะอม
543.87,98,2563,เนื้อที่เก็บเกี่ยว (ไร่),ชะอม
63.57,99,2563,ผลผลิต (ตัน),ชะอม
116.88,100,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),ชะอม
197.58,101,2563,เนื้อที่เพาะปลูก (ไร่),แตงกวา
197.58,102,2563,เนื้อที่เก็บเกี่ยว (ไร่),แตงกวา
202.96,103,2563,ผลผลิต (ตัน),แตงกวา
1027.21,104,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),แตงกวา
542.66,105,2563,เนื้อที่เพาะปลูก (ไร่),ถั่วฝักยาว
542.66,106,2563,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วฝักยาว
521.44,107,2563,ผลผลิต (ตัน),ถั่วฝักยาว
960.89,108,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วฝักยาว
61.13,109,2563,เนื้อที่เพาะปลูก (ไร่),ถั่วพู
61.13,110,2563,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วพู
7.84,111,2563,ผลผลิต (ตัน),ถั่วพู
128.28,112,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
142.09,113,2563,เนื้อที่เพาะปลูก (ไร่),บวบ
142.09,114,2563,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
213.04,115,2563,ผลผลิต (ตัน),บวบ
1499.35,116,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
312.34,117,2563,เนื้อที่เพาะปลูก (ไร่),ผักชี
312.34,118,2563,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
300.12,119,2563,ผลผลิต (ตัน),ผักชี
960.87,120,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
447.27,121,2563,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก
447.27,122,2563,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก
256.74,123,2563,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก
574.01,124,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก
193.33,125,2563,เนื้อที่เพาะปลูก (ไร่),คะน้า
193.33,126,2563,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
223.79,127,2563,ผลผลิต (ตัน),คะน้า
1157.53,128,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
42.25,129,2563,เนื้อที่เพาะปลูก (ไร่),พริกใหญ่
42.25,130,2563,เนื้อที่เก็บเกี่ยว (ไร่),พริกใหญ่
13.63,131,2563,ผลผลิต (ตัน),พริกใหญ่
322.56,132,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกใหญ่
92.5,133,2564,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดรับประทานฝักสด
92.5,134,2564,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดรับประทานฝักสด
87.88,135,2564,ผลผลิต (ตัน),ข้าวโพดรับประทานฝักสด
950,136,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดรับประทานฝักสด
565.5,137,2564,เนื้อที่เพาะปลูก (ไร่),ข้าวโพดหวาน
565.5,138,2564,เนื้อที่เก็บเกี่ยว (ไร่),ข้าวโพดหวาน
819.98,139,2564,ผลผลิต (ตัน),ข้าวโพดหวาน
1450,140,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),ข้าวโพดหวาน
743,141,2564,เนื้อที่เพาะปลูก (ไร่),ชะอม
743,142,2564,เนื้อที่เก็บเกี่ยว (ไร่),ชะอม
208.04,143,2564,ผลผลิต (ตัน),ชะอม
280,144,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),ชะอม
315.25,145,2564,เนื้อที่เพาะปลูก (ไร่),แตงกวา
315.25,146,2564,เนื้อที่เก็บเกี่ยว (ไร่),แตงกวา
441.35,147,2564,ผลผลิต (ตัน),แตงกวา
1400,148,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),แตงกวา
351.25,149,2564,เนื้อที่เพาะปลูก (ไร่),ถั่วฝักยาว
351.25,150,2564,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วฝักยาว
421.5,151,2564,ผลผลิต (ตัน),ถั่วฝักยาว
1200,152,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วฝักยาว
73,153,2564,เนื้อที่เพาะปลูก (ไร่),ถั่วพู
73,154,2564,เนื้อที่เก็บเกี่ยว (ไร่),ถั่วพู
50.01,155,2564,ผลผลิต (ตัน),ถั่วพู
685,156,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),ถั่วพู
265.5,157,2564,เนื้อที่เพาะปลูก (ไร่),บวบ
265.5,158,2564,เนื้อที่เก็บเกี่ยว (ไร่),บวบ
172.58,159,2564,ผลผลิต (ตัน),บวบ
650,160,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),บวบ
157.25,161,2564,เนื้อที่เพาะปลูก (ไร่),ผักชี
157.25,162,2564,เนื้อที่เก็บเกี่ยว (ไร่),ผักชี
170.62,163,2564,ผลผลิต (ตัน),ผักชี
1085,164,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),ผักชี
151.38,165,2564,เนื้อที่เพาะปลูก (ไร่),พริกขี้หนูเม็ดเล็ก
151.38,166,2564,เนื้อที่เก็บเกี่ยว (ไร่),พริกขี้หนูเม็ดเล็ก
98.4,167,2564,ผลผลิต (ตัน),พริกขี้หนูเม็ดเล็ก
650,168,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),พริกขี้หนูเม็ดเล็ก
119,169,2564,เนื้อที่เพาะปลูก (ไร่),คะน้า
119,170,2564,เนื้อที่เก็บเกี่ยว (ไร่),คะน้า
89.25,171,2564,ผลผลิต (ตัน),คะน้า
750,172,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.),คะน้า
