โรงงานแปรรูปเกษตร,_id,ปี,อำเภอ,หน่วย
4,1,2567,เมืองจันทบุรี,โรงงาน
2,2,2567,มะขาม,โรงงาน
2,3,2567,ขลุง,โรงงาน
3,4,2567,สอยดาว,โรงงาน
2,5,2567,เขาคิชฌกูฏ,โรงงาน
1,6,2567,นายายอาม,โรงงาน
1,7,2567,แหลมสิงห์,โรงงาน
5,8,2568,เมืองจันทบุรี,โรงงาน
2,9,2568,มะขาม,โรงงาน
2,10,2568,ขลุง,โรงงาน
4,11,2568,สอยดาว,โรงงาน
2,12,2568,เขาคิชฌกูฏ,โรงงาน
1,13,2568,นายายอาม,โรงงาน
1,14,2568,แหลมสิงห์,โรงงาน
6,15,2568,ท่าใหม่,โรงงาน
