จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
" 7,459.0 ",1,2566,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 1,ร้อยละ
 0.8 ,2,2566,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 1,ร้อยละ
" 1,624.0 ",3,2566,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 2,ร้อยละ
 0.3 ,4,2566,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 2,ร้อยละ
" 6,664.0 ",5,2566,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 3,ร้อยละ
 1.1 ,6,2566,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 3,ร้อยละ
" 2,631.0 ",7,2566,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 4,ร้อยละ
 0.5 ,8,2566,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 4,ร้อยละ
" 1,827.0 ",9,2567,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 1,ร้อยละ
 0.4 ,10,2567,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 1,ร้อยละ
" 6,856.0 ",11,2567,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 2,ร้อยละ
 1.3 ,12,2567,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 2,ร้อยละ
" 10,327.0 ",13,2567,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 3,ร้อยละ
 1.8 ,14,2567,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 3,ร้อยละ
" 8,132.0 ",15,2567,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 4,ร้อยละ
 1.0 ,16,2567,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 4,ร้อยละ
" 2,815.0 ",17,2568,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 1,ร้อยละ
 0.5 ,18,2568,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 1,ร้อยละ
" 5,763.0 ",19,2568,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 2,ร้อยละ
 1.1 ,20,2568,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 2,ร้อยละ
" 1,840.0 ",21,2568,ผู้ว่างงาน,ภาวะการว่างงาน ไตรมาส 3,ร้อยละ
 0.3 ,22,2568,อัตราการว่างงาน,ภาวะการว่างงาน ไตรมาส 3,ร้อยละ
