_id,หน่วย,ปี พ.ศ.,จำนวนโรงงาน
1,โรงงาน,2561,120
2,โรงงาน,2562,120
3,โรงงาน,2563,160
4,โรงงาน,2564,120
5,โรงงาน,2565,1134
6,โรงงาน,2566,430
7,โรงงาน,2567,467
