พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
30,32380,บาท_ตัน,20,ล้านบาท,32.5,35,2568,ไร่,ตัน,ดอนตูม,1.05,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,36,2568,ไร่,ตัน,ดอนตูม,0,บัวบก,ครัวเรือน
136500,6160,บาท_ตัน,7328,ล้านบาท,110565,37,2568,ไร่,ตัน,บางเลน,681.08,ข้าว,ครัวเรือน
40,1200,บาท_ตัน,2,ล้านบาท,520,38,2568,ไร่,ตัน,บางเลน,0.62,อ้อยโรงงาน,ครัวเรือน
204,51230,บาท_ตัน,37,ล้านบาท,657,39,2568,ไร่,ตัน,บางเลน,33.66,ส้มโอ,ครัวเรือน
347.5,24100,บาท_ตัน,50,ล้านบาท,1265.04,40,2568,ไร่,ตัน,บางเลน,30.49,ฝรั่ง,ครัวเรือน
896,12710,บาท_ตัน,170,ล้านบาท,7759.36,41,2568,ไร่,ตัน,บางเลน,98.62,มะพร้าวอ่อน,ครัวเรือน
1420,14930,บาท_ตัน,103,ล้านบาท,3010.4,42,2568,ไร่,ตัน,บางเลน,44.95,คะน้า,ครัวเรือน
3947,48100,บาท_ตัน,144,ล้านบาท,23287.3,43,2568,ไร่,ตัน,บางเลน,112.01,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,44,2568,ไร่,ตัน,บางเลน,0,ขมิ้นชัน,ครัวเรือน
538,18260,บาท_ตัน,246,ล้านบาท,3247,45,2568,ไร่,ตัน,บางเลน,59.29,บัวบก,ครัวเรือน
5271,6160,บาท_ตัน,299,ล้านบาท,4164,46,2568,ไร่,ตัน,สามพราน,25.65,ข้าว,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,47,2568,ไร่,ตัน,สามพราน,0,อ้อยโรงงาน,ครัวเรือน
2232.5,58200,บาท_ตัน,1189,ล้านบาท,4554,48,2568,ไร่,ตัน,สามพราน,265.04,ส้มโอ,ครัวเรือน
4554.86,26140,บาท_ตัน,1239,ล้านบาท,9701.85,49,2568,ไร่,ตัน,สามพราน,253.61,ฝรั่ง,ครัวเรือน
6575.79,10450,บาท_ตัน,1696,ล้านบาท,20187.68,50,2568,ไร่,ตัน,สามพราน,210.96,มะพร้าวอ่อน,ครัวเรือน
0,42520,บาท_ตัน,0,ล้านบาท,0,51,2568,ไร่,ตัน,สามพราน,0,คะน้า,ครัวเรือน
1937.67,,บาท_ตัน,250,ล้านบาท,5813.01,52,2568,ไร่,ตัน,สามพราน,24.72,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,53,2568,ไร่,ตัน,สามพราน,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,54,2568,ไร่,ตัน,สามพราน,0,บัวบก,ครัวเรือน
