พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
0,0,บาท_ตัน,0,ล้านบาท,0,179,2566,ไร่,ตัน,สามพราน,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,180,2566,ไร่,ตัน,สามพราน,0,บัวบก,ครัวเรือน
11668,7100,บาท_ตัน,691,ล้านบาท,8786,181,2566,ไร่,ตัน,พุทธมณฑล,62.38,ข้าว,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,182,2566,ไร่,ตัน,พุทธมณฑล,0,อ้อยโรงงาน,ครัวเรือน
110,68180,บาท_ตัน,11,ล้านบาท,123,183,2566,ไร่,ตัน,พุทธมณฑล,8.41,ส้มโอ,ครัวเรือน
25,25000,บาท_ตัน,7,ล้านบาท,80,184,2566,ไร่,ตัน,พุทธมณฑล,2,ฝรั่ง,ครัวเรือน
160,10020,บาท_ตัน,72,ล้านบาท,488.3,185,2566,ไร่,ตัน,พุทธมณฑล,4.89,มะพร้าวอ่อน,ครัวเรือน
2.75,15000,บาท_ตัน,5,ล้านบาท,4.125,186,2566,ไร่,ตัน,พุทธมณฑล,0.06,คะน้า,ครัวเรือน
440,49480,บาท_ตัน,31,ล้านบาท,791,187,2566,ไร่,ตัน,พุทธมณฑล,39.14,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,188,2566,ไร่,ตัน,พุทธมณฑล,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,189,2566,ไร่,ตัน,พุทธมณฑล,0,บัวบก,ครัวเรือน
