จำนวน,รายการสถิติทางการ,_id,ปี พ.ศ.,มาตรา,หน่วย
96675,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,1,2562,มาตรา 39,คน
106566,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,2,2563,มาตรา 39,คน
113631,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,3,2564,มาตรา 39,คน
113428,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,4,2565,มาตรา 39,คน
114554,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,5,2566,มาตรา 39,คน
76698,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,6,2562,มาตรา 40,คน
83520,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,7,2563,มาตรา 40,คน
97114,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,8,2564,มาตรา 40,คน
102274,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,9,2565,มาตรา 40,คน
104772,ผู้ประกันตนมาตรา 39 และมาตรา 40 ,10,2566,มาตรา 40,คน
