ชนิดพืช,_id,ปี,พื้นที่ปลูก,หน่วย
ข้าวนาปี ,1,2567/68," 284,773 ",ไร่
ข้าวนาปรัง ,2,2567/68," 24,405 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 1 ,3,2567/68," 208,009 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 2 ,4,2567/68," 35,589 ",ไร่
มันสำปะหลัง ,5,2567/68," 24,907 ",ไร่
ถั่วเหลือง รุ่น 1 ,6,2567/68, 92 ,ไร่
ถั่วเหลือง รุ่น 2 ,7,2567/68," 1,959 ",ไร่
กระเทียม ,8,2567/68, 124 ,ไร่
หอมแดง ,9,2567/68, 18 ,ไร่
กาแฟ ,10,2567/68," 2,735 ",ไร่
ส้มเขียวหวาน ,11,2567/68," 23,902 ",ไร่
ส้มโอ ,12,2567/68," 1,094 ",ไร่
พริกใหญ่ ,13,2567/68," 1,093 ",ไร่
ลองกอง ,14,2567/68," 1,384 ",ไร่
ลำไย ,15,2567/68," 2,954 ",ไร่
ทุเรียน ,16,2567/68," 3,487 ",ไร่
ปาล์มน้ำมัน ,17,2567/68," 2,172 ",ไร่
ยางพารา ,18,2567/68," 32,317 ",ไร่
ลิ้นจี่ ,19,2567/68, 128 ,ไร่
มะม่วงน้ำดอกไม้ ,20,2567/68, 264 ,ไร่
ข้าวนาปี ,21,2566/67," 290,055 ",ไร่
ข้าวนาปรัง ,22,2566/67," 30,511 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 1 ,23,2566/67," 207,645 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 2 ,24,2566/67," 41,357 ",ไร่
มันสำปะหลัง ,25,2566/67," 31,715 ",ไร่
ถั่วเหลือง รุ่น 1 ,26,2566/67, 136 ,ไร่
ถั่วเหลือง รุ่น 2 ,27,2566/67," 3,762 ",ไร่
กระเทียม ,28,2566/67, 167 ,ไร่
หอมแดง ,29,2566/67, 24 ,ไร่
กาแฟ ,30,2566/67," 2,676 ",ไร่
ส้มเขียวหวาน ,31,2566/67," 24,980 ",ไร่
ส้มโอ ,32,2566/67," 1,705 ",ไร่
พริกใหญ่ ,33,2566/67, 972 ,ไร่
แก้วมังกร ,34,2566/67, 720 ,ไร่
ลองกอง ,35,2566/67," 1,464 ",ไร่
ลำไย ,36,2566/67," 3,614 ",ไร่
ทุเรียน ,37,2566/67," 3,133 ",ไร่
ปาล์มน้ำมัน ,38,2566/67," 2,125 ",ไร่
ยางพารา ,39,2566/67," 35,994 ",ไร่
ลิ้นจี่ ,40,2566/67, 200 ,ไร่
สับปะรด ,41,2566/67, 64 ,ไร่
มะม่วงน้ำดอกไม้ ,42,2566/67," 1,659 ",ไร่
แตงโม,43,2566/67, 210 ,ไร่
ข้าวนาปี  ,44,2565/66," 289,207 ",ไร่
ข้าวนาปรัง ,45,2565/66," 26,934 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 1,46,2565/66," 198,177 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 2,47,2565/66," 32,804 ",ไร่
มันสำปะหลัง ,48,2565/66," 32,504 ",ไร่
ถั่วเหลือง รุ่น 1 ,49,2565/66, 75 ,ไร่
ถั่วเหลือง รุ่น 2 ,50,2565/66," 4,166 ",ไร่
กระเทียม,51,2565/66, 194 ,ไร่
หอมแดง,52,2565/66, 40 ,ไร่
กาแฟ,53,2565/66," 2,519 ",ไร่
ส้มเขียวหวาน,54,2565/66," 24,913 ",ไร่
ส้มโอ,55,2565/66," 1,639 ",ไร่
พริกใหญ่,56,2565/66, 992 ,ไร่
แก้วมังกร,57,2565/66," 1,223 ",ไร่
ลองกอง,58,2565/66," 1,463 ",ไร่
ลำไย,59,2565/66," 3,732 ",ไร่
ทุเรียน,60,2565/66," 2,847 ",ไร่
ปาล์มน้ำมัน,61,2565/66," 2,090 ",ไร่
ยางพารา,62,2565/66," 36,489 ",ไร่
สับปะรด,63,2565/66, 45 ,ไร่
มะม่วงน้ำดอกไม้,64,2565/66," 2,134 ",ไร่
แตงโม,65,2565/66, 243 ,ไร่
ข้าวนาปี ,66,2564/65," 300,843 ",ไร่
ข้าวนาปรัง,67,2564/65," 26,223 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 1,68,2564/65," 221,910 ",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 2 ,69,2564/65," 46,793 ",ไร่
มันสำปะหลัง ,70,2564/65," 31,868 ",ไร่
ส้มเขียวหวาน,71,2564/65," 25,847 ",ไร่
ส้มโอ,72,2564/65, 742 ,ไร่
พริก,73,2564/65," 1,217 ",ไร่
แก้วมังกร,74,2564/65," 1,223 ",ไร่
ลองกอง,75,2564/65," 1,599 ",ไร่
ลำไย,76,2564/65," 3,732 ",ไร่
ทุเรียน,77,2564/65," 2,330 ",ไร่
กาแฟ,78,2564/65," 2,519 ",ไร่
ถั่วเหลือง รุ่น 1 ,79,2564/65,144,ไร่
ถั่วเหลือง รุ่น 2,80,2564/65,"4,228.00",ไร่
ปาล์มน้ำมัน,81,2564/65,"2,090.00",ไร่
ยางพารา,82,2564/65,"36,489.00",ไร่
ข้าวนาปี ,83,2563/64,"304,922",ไร่
ข้าวนาปรัง ,84,2563/64,"40,813",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 1,85,2563/64,"211,277",ไร่
ข้าวโพดเลี้ยงสัตว์ รุ่น 2,86,2563/64,"51,831",ไร่
มันสำปะหลัง ,87,2563/64,"31,460",ไร่
ส้มเขียวหวาน ,88,2563/64,"25,833",ไร่
พริก ,89,2563/64,"1,421",ไร่
แตงโมเนื้อ,90,2563/64,609,ไร่
แก้วมังกร,91,2563/64,1223,ไร่
ลองกอง,92,2563/64,"2,151",ไร่
ลางสาด,93,2563/64,"4,158",ไร่
ลำไย,94,2563/64,"3,547",ไร่
ทุเรียน,95,2563/64,"2,560",ไร่
กาแฟ ,96,2563/64,"3,495",ไร่
ถั่วเหลือง รุ่น 1,97,2563/64,331,ไร่
ถั่วเหลือง รุ่น 2,98,2563/64,"1,572",ไร่
ปาล์มน้ำมัน,99,2563/64,"4,864",ไร่
ยางพารา,100,2563/64,"42,965",ไร่
