ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,"3,874",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,"4,179",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,"4,244",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,"4,060",ราย
