id,ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
1,78956.35,1192.26,1,6,13.25,4019.56,เมืองตาก
2,23376.65,242.81,2,25.5,6.5,2668.72,บ้านตาก
3,17974.12,274.17,3,777.1,19.25,7849.49,สามเงา
4,62017.63,595.2,4,1,4.5,34.25,แม่ระมาด
5,54858.23,355.21,5,2.58,7.58,23.13,ท่าสองยาง
6,53781.24,970.14,6,0.45,27.25,89.57,แม่สอด
7,15635.81,652.72,7,231.33,1439.31,89.57,พบพระ
8,44853.58,2270.53,8,37,45,36.25,อุ้มผาง
9,15811.43,275,9,176,12,15973.53,วังเจ้า
,367265.03,6828.03,10,1256.96,1574.64,30784.05,รวม
