จำนวนผู้เข้า,_id,กลุ่มเป้าหมาย,จำนวนผู้ผ่าน,จำนวนเป้าหมาย
136097,1,อื่น ๆ โปรดระบุ,133421,143036
130670,2,บุคคลทั่วไป,129030,124230
113859,3,ผู้ประกอบอาชีพอิสระ วิสาหกิจชุมชน,113790,112192
73355,4,นักเรียน นักศึกษา,72245,72208
13809,5,พนักงาน/ลูกจ้างภาคเอกชน,14118,15357
10193,6,แรงงานใหม่,10169,9924
5623,7,กลุ่มผู้สูงอายุ (อายุ 60 ปีขึ้นไป),5595,5484
5375,8,บุคลากรภาครัฐ,5356,5377
4965,9,บุคลากรสถานศึกษา,4950,5277
1551,10,กลุ่มคนพิการ,1551,1663
