ที่มา,_id,ปี,หน่วย,รายการ,จังหวัด,Value
สำนักงานเกษตรจังหวัดยโสธร,1,2560,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,44084
สำนักงานเกษตรจังหวัดยโสธร,2,2561,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,48680
สำนักงานเกษตรจังหวัดยโสธร,3,2562,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,52315
สำนักงานเกษตรจังหวัดยโสธร,4,2563,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,65500
สำนักงานเกษตรจังหวัดยโสธร,5,2564,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,65551
สำนักงานเกษตรจังหวัดยโสธร,6,2565,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,52479
สำนักงานเกษตรจังหวัดยโสธร,7,2566,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,48680
สำนักงานเกษตรจังหวัดยโสธร,8,2567,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,98959
สำนักงานเกษตรจังหวัดยโสธร,9,2568,ไร่,พื้นที่ปลูกอ้อยโรงงาน,ยโสธร,89449
