﻿year,sex,level_of_edu,quarter,_id,area,value,unit,source
2567,2. หญิง,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,1,รวม,63.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,2,รวม,77.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,3,รวม,82.27,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,4,รวม,75.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,5,รวม,68.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,11. อื่น ๆ,ไตรมาส 1,6,รวม,90.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,12. ไม่ทราบ,ไตรมาส 1,7,รวม,81.82,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,รวม,ไตรมาส 1,8,1) เขตเทศบาล,69.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,01. ไม่มีการศึกษา,ไตรมาส 1,9,1) เขตเทศบาล,57.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,10,1) เขตเทศบาล,43.62,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,03. ประถมศึกษา,ไตรมาส 1,11,1) เขตเทศบาล,74.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,12,1) เขตเทศบาล,66.41,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,13,1) เขตเทศบาล,68.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,14,1) เขตเทศบาล,70.03,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,15,1) เขตเทศบาล,78.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,16,1) เขตเทศบาล,82.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,17,1) เขตเทศบาล,82.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,18,1) เขตเทศบาล,63.61,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,11. อื่น ๆ,ไตรมาส 1,19,1) เขตเทศบาล,93.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,12. ไม่ทราบ,ไตรมาส 1,20,1) เขตเทศบาล,83.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,รวม,ไตรมาส 1,21,1) เขตเทศบาล,77.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,01. ไม่มีการศึกษา,ไตรมาส 1,22,1) เขตเทศบาล,75.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,23,1) เขตเทศบาล,56.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,03. ประถมศึกษา,ไตรมาส 1,24,1) เขตเทศบาล,83.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,25,1) เขตเทศบาล,74.04,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,26,1) เขตเทศบาล,75.69,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,27,1) เขตเทศบาล,76.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,28,1) เขตเทศบาล,73.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,29,1) เขตเทศบาล,84.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,30,1) เขตเทศบาล,88.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,31,1) เขตเทศบาล,65.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,11. อื่น ๆ,ไตรมาส 1,32,1) เขตเทศบาล,95.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,12. ไม่ทราบ,ไตรมาส 1,33,1) เขตเทศบาล,86.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,รวม,ไตรมาส 1,34,1) เขตเทศบาล,62.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,01. ไม่มีการศึกษา,ไตรมาส 1,35,1) เขตเทศบาล,45.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,36,1) เขตเทศบาล,36.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,03. ประถมศึกษา,ไตรมาส 1,37,1) เขตเทศบาล,65.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,38,1) เขตเทศบาล,57.56,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,39,1) เขตเทศบาล,62.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,40,1) เขตเทศบาล,62.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,41,1) เขตเทศบาล,83.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,42,1) เขตเทศบาล,81.27,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,43,1) เขตเทศบาล,74.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,44,1) เขตเทศบาล,62.83,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,11. อื่น ๆ,ไตรมาส 1,45,1) เขตเทศบาล,92.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,12. ไม่ทราบ,ไตรมาส 1,46,1) เขตเทศบาล,80.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,รวม,ไตรมาส 1,47,2) นอกเขตเทศบาล,67.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,01. ไม่มีการศึกษา,ไตรมาส 1,48,2) นอกเขตเทศบาล,46.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,49,2) นอกเขตเทศบาล,46.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
