ราคาต่อหัว(ล้านบาท),_id,ปี,ลำดับ
592335.43,1,2566,2
601438.66,2,2565,2
524001.9,3,2564,3
472368,4,2563,4
553957.1,5,2562,3
546943,6,2561,3
531453,7,2560,2
