VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
5530.42,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,44,หญิง,พันคน,ภาคกลาง,2564
3306.54,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,45,ชาย,พันคน,ภาคเหนือ,2564
2789.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,46,หญิง,พันคน,ภาคเหนือ,2564
4905.87,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,47,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
4002.07,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,48,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2807.54,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,49,ชาย,พันคน,ภาคใต้,2564
2309.92,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,50,หญิง,พันคน,ภาคใต้,2564
2803.01,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,51,ชาย,พันคน,กรุงเทพมหานคร,2564
2571.22,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,52,หญิง,พันคน,กรุงเทพมหานคร,2564
6490.61,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,53,ชาย,พันคน,ภาคกลาง,2564
5529.35,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,54,หญิง,พันคน,ภาคกลาง,2564
3289.56,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,55,ชาย,พันคน,ภาคเหนือ,2564
2752.33,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,56,หญิง,พันคน,ภาคเหนือ,2564
5084.52,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,57,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
4167.24,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,58,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2828.59,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,59,ชาย,พันคน,ภาคใต้,2564
2305.37,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,60,หญิง,พันคน,ภาคใต้,2564
2689.64,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,61,ชาย,พันคน,กรุงเทพมหานคร,2564
2490.69,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,กรุงเทพมหานคร,2564
6454.02,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,63,ชาย,พันคน,ภาคกลาง,2564
5365.06,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,ภาคกลาง,2564
3314.33,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,65,ชาย,พันคน,ภาคเหนือ,2564
2771.99,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,66,หญิง,พันคน,ภาคเหนือ,2564
5192.72,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,67,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
4381.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,68,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2803.22,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,69,ชาย,พันคน,ภาคใต้,2564
2242.28,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,70,หญิง,พันคน,ภาคใต้,2564
2777.14,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,71,ชาย,พันคน,กรุงเทพมหานคร,2564
2600.96,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,72,หญิง,พันคน,กรุงเทพมหานคร,2564
6511.56,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,73,ชาย,พันคน,ภาคกลาง,2564
5390.17,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,74,หญิง,พันคน,ภาคกลาง,2564
3306.7,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,75,ชาย,พันคน,ภาคเหนือ,2564
2788.22,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,76,หญิง,พันคน,ภาคเหนือ,2564
5140.98,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,77,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
4317.81,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,78,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2832.9,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,79,ชาย,พันคน,ภาคใต้,2564
2232.3,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,80,หญิง,พันคน,ภาคใต้,2564
2884.93,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,81,ชาย,พันคน,กรุงเทพมหานคร,2565
2733.05,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,82,หญิง,พันคน,กรุงเทพมหานคร,2565
6819.24,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,83,ชาย,พันคน,ภาคกลาง,2565
5987.19,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,84,หญิง,พันคน,ภาคกลาง,2565
3267.91,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,85,ชาย,พันคน,ภาคเหนือ,2565
2817.62,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,86,หญิง,พันคน,ภาคเหนือ,2565
4969.32,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,87,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
4021.95,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,88,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
2874.89,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,89,ชาย,พันคน,ภาคใต้,2565
2339.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,90,หญิง,พันคน,ภาคใต้,2565
2890.42,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,91,ชาย,พันคน,กรุงเทพมหานคร,2565
2734.99,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,92,หญิง,พันคน,กรุงเทพมหานคร,2565
6840.75,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,93,ชาย,พันคน,ภาคกลาง,2565
5971.39,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,94,หญิง,พันคน,ภาคกลาง,2565
3278.35,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,95,ชาย,พันคน,ภาคเหนือ,2565
2799.24,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,96,หญิง,พันคน,ภาคเหนือ,2565
5052.88,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,97,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
4207.24,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,98,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
2877.32,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,99,ชาย,พันคน,ภาคใต้,2565
2358.34,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,100,หญิง,พันคน,ภาคใต้,2565
2870.12,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,101,ชาย,พันคน,กรุงเทพมหานคร,2565
2764.76,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,102,หญิง,พันคน,กรุงเทพมหานคร,2565
6892.12,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,103,ชาย,พันคน,ภาคกลาง,2565
5947.24,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,104,หญิง,พันคน,ภาคกลาง,2565
3327.53,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,105,ชาย,พันคน,ภาคเหนือ,2565
2863.66,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,106,หญิง,พันคน,ภาคเหนือ,2565
