_id,สัปดาห์,เดือน,หน่วย,ประเภท,จำนวนเงิน
1,1,มกราคม,บาท,ราคาต่ำสุด ,2
2,1,มกราคม,บาท,ราคาสูงสุด,3
3,2,มกราคม,บาท,ราคาต่ำสุด ,2
4,2,มกราคม,บาท,ราคาสูงสุด,3
5,3,มกราคม,บาท,ราคาต่ำสุด ,2
6,3,มกราคม,บาท,ราคาสูงสุด,3
7,4,มกราคม,บาท,ราคาต่ำสุด ,1.8
8,4,มกราคม,บาท,ราคาสูงสุด,2
9,5,มกราคม,บาท,ราคาต่ำสุด ,2
10,5,มกราคม,บาท,ราคาสูงสุด,2.2
11,1,กุมภาพันธ์,บาท,ราคาต่ำสุด ,2
12,1,กุมภาพันธ์,บาท,ราคาสูงสุด,2.2
13,2,กุมภาพันธ์,บาท,ราคาต่ำสุด ,1.8
14,2,กุมภาพันธ์,บาท,ราคาสูงสุด,2
15,3,กุมภาพันธ์,บาท,ราคาต่ำสุด ,1.8
16,3,กุมภาพันธ์,บาท,ราคาสูงสุด,2
17,4,กุมภาพันธ์,บาท,ราคาต่ำสุด ,1.8
18,4,กุมภาพันธ์,บาท,ราคาสูงสุด,2
19,5,กุมภาพันธ์,บาท,ราคาต่ำสุด ,-
20,5,กุมภาพันธ์,บาท,ราคาสูงสุด,-
21,1,มีนาคม,บาท,ราคาต่ำสุด ,1.5
22,1,มีนาคม,บาท,ราคาสูงสุด,2
23,2,มีนาคม,บาท,ราคาต่ำสุด ,1.5
24,2,มีนาคม,บาท,ราคาสูงสุด,2
25,3,มีนาคม,บาท,ราคาต่ำสุด ,1.5
26,3,มีนาคม,บาท,ราคาสูงสุด,2
27,4,มีนาคม,บาท,ราคาต่ำสุด ,1.5
28,4,มีนาคม,บาท,ราคาสูงสุด,2
29,5,มีนาคม,บาท,ราคาต่ำสุด ,-
30,5,มีนาคม,บาท,ราคาสูงสุด,-
31,1,เมษายน,บาท,ราคาต่ำสุด ,1.5
32,1,เมษายน,บาท,ราคาสูงสุด,2
33,2,เมษายน,บาท,ราคาต่ำสุด ,1.5
34,2,เมษายน,บาท,ราคาสูงสุด,2
35,3,เมษายน,บาท,ราคาต่ำสุด ,1.5
36,3,เมษายน,บาท,ราคาสูงสุด,2
37,4,เมษายน,บาท,ราคาต่ำสุด ,1.5
38,4,เมษายน,บาท,ราคาสูงสุด,2
39,5,เมษายน,บาท,ราคาต่ำสุด ,-
40,5,เมษายน,บาท,ราคาสูงสุด,-
41,1,พฤษภาคม,บาท,ราคาต่ำสุด ,1.5
42,1,พฤษภาคม,บาท,ราคาสูงสุด,2
43,2,พฤษภาคม,บาท,ราคาต่ำสุด ,1.5
44,2,พฤษภาคม,บาท,ราคาสูงสุด,2
45,3,พฤษภาคม,บาท,ราคาต่ำสุด ,1.5
46,3,พฤษภาคม,บาท,ราคาสูงสุด,2
47,4,พฤษภาคม,บาท,ราคาต่ำสุด ,1.5
48,4,พฤษภาคม,บาท,ราคาสูงสุด,2
