ค่าข้อมูล,_id,ปี,กลุ่มอุตสาหกรรม,หน่วย
42,1,2568,ผลิตภัณฑ์จากพืช,โรงงาน
25,2,2568,อุตสาหกรรมอาหาร,โรงงาน
2,3,2568,อุตสาหกรรมเครื่องดื่ม,โรงงาน
2,4,2568,สิ่งทอ,โรงงาน
2,5,2568,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,โรงงาน
1,6,2568,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,โรงงาน
69,7,2568,แปรรูปไม้และผลิตภัณฑ์จากไม้,โรงงาน
67,8,2568,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,โรงงาน
2,9,2568,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,โรงงาน
1,10,2568,เคมีภัณฑ์และผลิตภัณฑ์เคมี,โรงงาน
3,11,2568,เคมีภัณฑ์จากปิโตรเลียม,โรงงาน
4,12,2568,ผลิตภัณฑ์พลาสติก,โรงงาน
39,13,2568,ผลิตภัณฑ์อโลหะ,โรงงาน
1,14,2568,ผลิตโลหะขั้นมูลฐาน,โรงงาน
9,15,2568,ผลิตภัณฑ์โลหะ,โรงงาน
1,16,2568,ผลิตเครื่องจักรและเครื่องกล,โรงงาน
5,17,2568,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,โรงงาน
48,18,2568,การผลิตอื่นๆ,โรงงาน
