_id,ปี,จำนวน,อำเภอ,หน่วย,ชนิดพืช
1,2565,4,เมืองสมุทรสาคร,ราย,ข้าวนาปรัง 63/64
2,2565,4,เมืองสมุทรสาคร,ราย,ข้าวนาปี 64/65
3,2565,420,เมืองสมุทรสาคร,ราย,มะพร้าวน้ำหอม
4,2565,92,เมืองสมุทรสาคร,ราย,มะพร้าวแก่
5,2565,163,เมืองสมุทรสาคร,ราย,มะม่วง
6,2565,19,เมืองสมุทรสาคร,ราย,มะนาว
7,2565,80,เมืองสมุทรสาคร,ราย,ฝรั่ง
8,2565,4,เมืองสมุทรสาคร,ราย,ลำไย
9,2565,0,เมืองสมุทรสาคร,ราย,ชมพู่
10,2565,78,เมืองสมุทรสาคร,ราย,กล้วยน้ำว้า
11,2565,145,เมืองสมุทรสาคร,ราย,มะขามเทศ
12,2565,6,เมืองสมุทรสาคร,ราย,แก้วมังกร
13,2565,34,เมืองสมุทรสาคร,ราย,พุทรา
14,2565,0,เมืองสมุทรสาคร,ราย,องุ่น
15,2565,0,เมืองสมุทรสาคร,ราย,กล้วยไม้ 
16,2565,48,เมืองสมุทรสาคร,ราย,พืชผัก 
17,2565,6,เมืองสมุทรสาคร,ราย,สมุนไพร
18,2565,4,เมืองสมุทรสาคร,ราย,ไม้ดอกอื่นๆ
19,2565,3,เมืองสมุทรสาคร,ราย,ไม้ประดับ
20,2565,335,เมืองสมุทรสาคร,ราย,นาเกลือ
21,2565,28,เมืองสมุทรสาคร,ราย,พืชอื่นๆ
22,2565,123,กระทุ่มแบน,ราย,ข้าวนาปรัง 63/64
23,2565,116,กระทุ่มแบน,ราย,ข้าวนาปี 64/65
24,2565,562,กระทุ่มแบน,ราย,มะพร้าวน้ำหอม
25,2565,24,กระทุ่มแบน,ราย,มะพร้าวแก่
26,2565,452,กระทุ่มแบน,ราย,มะม่วง
27,2565,125,กระทุ่มแบน,ราย,มะนาว
28,2565,313,กระทุ่มแบน,ราย,ฝรั่ง
29,2565,49,กระทุ่มแบน,ราย,ลำไย
30,2565,65,กระทุ่มแบน,ราย,ชมพู่
31,2565,247,กระทุ่มแบน,ราย,กล้วยน้ำว้า
32,2565,3,กระทุ่มแบน,ราย,มะขามเทศ
33,2565,2,กระทุ่มแบน,ราย,แก้วมังกร
34,2565,5,กระทุ่มแบน,ราย,พุทรา
35,2565,0,กระทุ่มแบน,ราย,องุ่น
36,2565,325,กระทุ่มแบน,ราย,กล้วยไม้ 
37,2565,170,กระทุ่มแบน,ราย,พืชผัก 
38,2565,11,กระทุ่มแบน,ราย,สมุนไพร
39,2565,132,กระทุ่มแบน,ราย,ไม้ดอกอื่นๆ
40,2565,138,กระทุ่มแบน,ราย,ไม้ประดับ
41,2565,0,กระทุ่มแบน,ราย,นาเกลือ
42,2565,106,กระทุ่มแบน,ราย,พืชอื่นๆ
43,2565,15,บ้านแพ้ว,ราย,ข้าวนาปรัง 63/64
44,2565,80,บ้านแพ้ว,ราย,ข้าวนาปี 64/65
45,2565,4802,บ้านแพ้ว,ราย,มะพร้าวน้ำหอม
46,2565,95,บ้านแพ้ว,ราย,มะพร้าวแก่
47,2565,805,บ้านแพ้ว,ราย,มะม่วง
48,2565,732,บ้านแพ้ว,ราย,มะนาว
49,2565,980,บ้านแพ้ว,ราย,ฝรั่ง
50,2565,475,บ้านแพ้ว,ราย,ลำไย
51,2565,97,บ้านแพ้ว,ราย,ชมพู่
52,2565,208,บ้านแพ้ว,ราย,กล้วยน้ำว้า
53,2565,35,บ้านแพ้ว,ราย,มะขามเทศ
54,2565,52,บ้านแพ้ว,ราย,แก้วมังกร
55,2565,22,บ้านแพ้ว,ราย,พุทรา
56,2565,62,บ้านแพ้ว,ราย,องุ่น
57,2565,119,บ้านแพ้ว,ราย,กล้วยไม้ 
58,2565,370,บ้านแพ้ว,ราย,พืชผัก 
59,2565,131,บ้านแพ้ว,ราย,สมุนไพร
60,2565,51,บ้านแพ้ว,ราย,ไม้ดอกอื่นๆ
61,2565,29,บ้านแพ้ว,ราย,ไม้ประดับ
62,2565,0,บ้านแพ้ว,ราย,นาเกลือ
63,2565,198,บ้านแพ้ว,ราย,พืชอื่นๆ
64,2566,4,เมืองสมุทรสาคร,ราย,ข้าวนาปรัง 64/65
65,2566,4,เมืองสมุทรสาคร,ราย,ข้าวนาปี 65/66
66,2566,409,เมืองสมุทรสาคร,ราย,มะพร้าวน้ำหอม
67,2566,73,เมืองสมุทรสาคร,ราย,มะพร้าวแก่
68,2566,135,เมืองสมุทรสาคร,ราย,มะม่วง
69,2566,10,เมืองสมุทรสาคร,ราย,มะนาว
70,2566,80,เมืองสมุทรสาคร,ราย,ฝรั่ง
71,2566,3,เมืองสมุทรสาคร,ราย,ลำไย
72,2566,0,เมืองสมุทรสาคร,ราย,ชมพู่
73,2566,78,เมืองสมุทรสาคร,ราย,กล้วยน้ำว้า
74,2566,132,เมืองสมุทรสาคร,ราย,มะขามเทศ
75,2566,0,เมืองสมุทรสาคร,ราย,แก้วมังกร
76,2566,31,เมืองสมุทรสาคร,ราย,พุทรา
77,2566,0,เมืองสมุทรสาคร,ราย,องุ่น
78,2566,0,เมืองสมุทรสาคร,ราย,กล้วยไม้ 
79,2566,34,เมืองสมุทรสาคร,ราย,พืชผัก 
80,2566,2,เมืองสมุทรสาคร,ราย,สมุนไพร
81,2566,6,เมืองสมุทรสาคร,ราย,ไม้ดอกอื่นๆ
82,2566,1,เมืองสมุทรสาคร,ราย,ไม้ประดับ
83,2566,329,เมืองสมุทรสาคร,ราย,นาเกลือ
84,2566,24,เมืองสมุทรสาคร,ราย,พืชอื่นๆ
85,2566,110,กระทุ่มแบน,ราย,ข้าวนาปรัง 64/65
86,2566,110,กระทุ่มแบน,ราย,ข้าวนาปี 65/66
87,2566,612,กระทุ่มแบน,ราย,มะพร้าวน้ำหอม
88,2566,20,กระทุ่มแบน,ราย,มะพร้าวแก่
89,2566,396,กระทุ่มแบน,ราย,มะม่วง
90,2566,115,กระทุ่มแบน,ราย,มะนาว
91,2566,295,กระทุ่มแบน,ราย,ฝรั่ง
92,2566,33,กระทุ่มแบน,ราย,ลำไย
93,2566,54,กระทุ่มแบน,ราย,ชมพู่
94,2566,242,กระทุ่มแบน,ราย,กล้วยน้ำว้า
95,2566,0,กระทุ่มแบน,ราย,มะขามเทศ
96,2566,1,กระทุ่มแบน,ราย,แก้วมังกร
97,2566,2,กระทุ่มแบน,ราย,พุทรา
98,2566,0,กระทุ่มแบน,ราย,องุ่น
99,2566,262,กระทุ่มแบน,ราย,กล้วยไม้ 
100,2566,165,กระทุ่มแบน,ราย,พืชผัก 
101,2566,17,กระทุ่มแบน,ราย,สมุนไพร
102,2566,110,กระทุ่มแบน,ราย,ไม้ดอกอื่นๆ
103,2566,130,กระทุ่มแบน,ราย,ไม้ประดับ
104,2566,0,กระทุ่มแบน,ราย,นาเกลือ
105,2566,24,กระทุ่มแบน,ราย,พืชอื่นๆ
106,2566,9,บ้านแพ้ว,ราย,ข้าวนาปรัง 64/65
107,2566,69,บ้านแพ้ว,ราย,ข้าวนาปี 65/66
108,2566,4856,บ้านแพ้ว,ราย,มะพร้าวน้ำหอม
109,2566,108,บ้านแพ้ว,ราย,มะพร้าวแก่
110,2566,761,บ้านแพ้ว,ราย,มะม่วง
111,2566,724,บ้านแพ้ว,ราย,มะนาว
112,2566,987,บ้านแพ้ว,ราย,ฝรั่ง
113,2566,436,บ้านแพ้ว,ราย,ลำไย
114,2566,100,บ้านแพ้ว,ราย,ชมพู่
115,2566,198,บ้านแพ้ว,ราย,กล้วยน้ำว้า
116,2566,32,บ้านแพ้ว,ราย,มะขามเทศ
117,2566,47,บ้านแพ้ว,ราย,แก้วมังกร
118,2566,16,บ้านแพ้ว,ราย,พุทรา
