พื้นที่ปลูกมะพร้าว,ที่มา,_id,ปี,พื้นที่ปลูกสับปะรด,อำเภอ,หน่วยวัด
2839,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,1,2564,68513,หัวหิน,ไร่
7148,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,2,2564,62634,ปราณบุรี,ไร่
14306,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,3,2564,52173,สามร้อยยอด,ไร่
25390,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,4,2564,54802,กุยบุรี,ไร่
48342,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,5,2564,54402,เมืองประจวบคีรีขันธ์,ไร่
135568,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,6,2564,5998,ทับสะแก,ไร่
95745,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,7,2564,24768,บางสะพาน,ไร่
26586,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,8,2564,18273,บางสะพานน้อย,ไร่
2864,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,9,2565,67975,หัวหิน,ไร่
7249,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,10,2565,62620,ปราณบุรี,ไร่
14588,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,11,2565,51735,สามร้อยยอด,ไร่
25690,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,12,2565,50927,กุยบุรี,ไร่
48792,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,13,2565,49805,เมืองประจวบคีรีขันธ์,ไร่
136119,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,14,2565,5398,ทับสะแก,ไร่
96561,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,15,2565,21865,บางสะพาน,ไร่
26682,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,16,2565,13524,บางสะพานน้อย,ไร่
2864,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,17,2566,61741,หัวหิน,ไร่
7328,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,18,2566,38428,ปราณบุรี,ไร่
14992,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,19,2566,52759,สามร้อยยอด,ไร่
25767,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,20,2566,44549,กุยบุรี,ไร่
48795,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,21,2566,44770,เมืองประจวบคีรีขันธ์,ไร่
136321,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,22,2566,4584,ทับสะแก,ไร่
96774,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,23,2566,8195,บางสะพาน,ไร่
26829,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,24,2566,11042,บางสะพานน้อย,ไร่
2864,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,25,2567,58232,หัวหิน,ไร่
7279,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,26,2567,42953,ปราณบุรี,ไร่
16024,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,27,2567,48871,สามร้อยยอด,ไร่
25723,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,28,2567,46219,กุยบุรี,ไร่
48790,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,29,2567,36861,เมืองประจวบคีรีขันธ์,ไร่
136281,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,30,2567,4875,ทับสะแก,ไร่
96774,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,31,2567,11537,บางสะพาน,ไร่
26829,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,32,2567,10863,บางสะพานน้อย,ไร่
2778,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,33,2568,58551,หัวหิน,ไร่
7166,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,34,2568,42929,ปราณบุรี,ไร่
16589,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,35,2568,51752,สามร้อยยอด,ไร่
25597,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,36,2568,48228,กุยบุรี,ไร่
51291.5,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,37,2568,37948,เมืองประจวบคีรีขันธ์,ไร่
135912,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,38,2568,5239,ทับสะแก,ไร่
96200,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,39,2568,13870,บางสะพาน,ไร่
26739,สำนักงานเกษตรจังหวัดประจวบคีรีขันธ์,40,2568,8672,บางสะพานน้อย,ไร่
