_id,ปี,ประเภท,ขยะที่เกิดขึ้น
1,2560,กำจัดอย่างถูกต้อง,"1,851.90"
2,2560,ถูกนำไปใช้ประโยชน์,475.6
3,2560,กำจัดอย่างไม่ถูกต้อง,253.2
4,2561,กำจัดอย่างถูกต้อง,"1,695.40"
5,2561,ถูกนำไปใช้ประโยชน์,707.9
6,2561,กำจัดอย่างไม่ถูกต้อง,187.9
7,2562,กำจัดอย่างถูกต้อง,"1,647.90"
8,2562,ถูกนำไปใช้ประโยชน์,795.7
9,2562,กำจัดอย่างไม่ถูกต้อง,466.2
10,2563,กำจัดอย่างถูกต้อง,"1,605.40"
11,2563,ถูกนำไปใช้ประโยชน์,994.8
12,2563,กำจัดอย่างไม่ถูกต้อง,417.7
13,2564,กำจัดอย่างถูกต้อง,"2,395.90"
14,2564,ถูกนำไปใช้ประโยชน์,802.6
15,2564,กำจัดอย่างไม่ถูกต้อง,221.3
16,2565,กำจัดอย่างถูกต้อง,"2,370.00"
17,2565,ถูกนำไปใช้ประโยชน์,250
18,2565,กำจัดอย่างไม่ถูกต้อง,487
19,2566,กำจัดอย่างถูกต้อง,"2,279.62"
20,2566,ถูกนำไปใช้ประโยชน์,211.67
21,2566,กำจัดอย่างไม่ถูกต้อง,575.4
22,2567,กำจัดอย่างถูกต้อง,"1,848.00"
23,2567,ถูกนำไปใช้ประโยชน์,960
24,2567,กำจัดอย่างไม่ถูกต้อง,420
