ปี 2563,_id,ปี 2564,รายการข้อมูล,ปี 2567,ปี 2562
4,1,4,ชาติตระการ,4,4
12,2,12,นครไทย,12,12
9,3,9,เนินมะปราง,9,9
33,4,33,บางกระทุ่ม,30,33
66,5,66,บางระกำ,71,66
42,6,42,พรหมพิราม,48,42
197,7,197,เมืองพิษณุโลก,190,197
54,8,54,วังทอง,58,54
27,9,27,วัดโบสถ์,30,27
