_id,ปี,ราคาที่เกษตรกรขายได้,รายได้เกษตรกร,ผลผลิต
1,2559,117.2,85.1,72.6
2,2560,113,105.6,93.5
3,2561,119.5,121.1,101.3
4,2562,123,120.4,97.8
5,2563,134.8,104.7,77.7
6,2564,130.6,103.0,78.6
7,2565,146.2,134.0,91.6
8,2566,156.3,158.0,101.1
9,2567,148.9,148.6,99.8
