_id,เลขทะเบียนเดิม,น้ำที่ได้รับการบำบัด,ผู้ประกอบการ,หน่วย
247,จ3-58(1)-21/53พล,3.4,ห้างหุ้นส่วนจำกัด อุ้ยเซ้งผลิตภัณฑ์คอนกรีต,ลบ.ม.
248,จ3-58(1)-23/51พล,4.0,นางสาววรรณพร เตชะพันธ์รัตนกุล,ลบ.ม.
249,จ3-58(1)-256/56พล,5.6,ห้างหุ้นส่วนจำกัด สินรุ่งเรือง คอนกรีต,ลบ.ม.
250,จ3-58(1)-27/47พล,5.8,ห้างหุ้นส่วนจำกัด ชญานินคอนกรีตอัดแรง,ลบ.ม.
251,จ3-58(1)-275/56พล,5.3,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,ลบ.ม.
252,จ3-58(1)-290/57พล,4.5,ห้างหุ้นส่วนจำกัด ถนอมชัยค้าไม้,ลบ.ม.
253,จ3-58(1)-3/65พล,2.4,บริษัท ที เจ คอนกรีต จำกัด,ลบ.ม.
254,จ3-58(1)-38/55พล,2.6,ห้างหุ้นส่วนจำกัด จรูญคอนกรีต,ลบ.ม.
255,จ3-58(1)-39/56พล,11.0,บริษัท เอส-คอน คอนกรีต จำกัด,ลบ.ม.
256,จ3-58(1)-4/39พล,10.5,บริษัท สิงหวัฒน์คอนกรีต จำกัด,ลบ.ม.
257,จ3-58(1)-43/61พล,2.5,นายศราวุธ ด่านกิตติไกรลาศ,ลบ.ม.
258,จ3-58(1)-44/55พล,2.4,บริษัท อุตรดิตถ์พิชัย จำกัด,ลบ.ม.
259,จ3-58(1)-49/62พล,3.8,บริษัท พีเอ็นซี คอนกรีต กรุ๊ป จำกัด,ลบ.ม.
260,จ3-58(1)-5/40พล,6.7,บริษัท ซี.พี.แอล. จำกัด,ลบ.ม.
261,จ3-58(1)-56/63พล,2.6,ห้างหุ้นส่วนจำกัด บุญเลี้ยงคอนกรีตและวัสดุก่อสร้าง,ลบ.ม.
262,จ3-58(1)-69/56พล,6.0,บริษัท มั่นภักดี จำกัด,ลบ.ม.
263,จ3-58(1)-7/39พล,5.2,บริษัท รุ่งวิชัยคอนกรีต จำกัด,ลบ.ม.
264,จ3-58(1)-83/56พล,3.3,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,ลบ.ม.
265,จ3-58(1)-85/54พล,3.7,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,ลบ.ม.
266,จ3-58(1)-85/56พล,3.5,บริษัท ชัยประเสริฐคอนกรีต จำกัด ,ลบ.ม.
267,จ3-58(1)-88/63พล,3.0,บริษัท บิวดิ้ง อินเตอร์เนชั่นแนล จำกัด,ลบ.ม.
268,จ3-58(1)-9/50พล,3.3,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,ลบ.ม.
269,จ3-58(1)-90/47พล,3.3,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,ลบ.ม.
270,จ3-58(1)-91/58พล,2.8,ห้างหุ้นส่วนจำกัด กิจเจริญคอนกรีต ( 2558 ),ลบ.ม.
271,จ3-58(1)-98/54พล,2.3,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,ลบ.ม.
272,จ3-60-1/41พล,2.1,นายธวัชชัย กลิ่นรอด,ลบ.ม.
273,จ3-60-4/38พล,2.8,นางพัชรภรณ์ วัฒนกุลชัย,ลบ.ม.
274,จ3-60-5/38พล,1.8,นางสาวบุญยืน ศรีสอาด,ลบ.ม.
275,จ2-63(2)-121/64พล,0.4,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต. ยูพีโฟม,ลบ.ม.
276,จ2-63(2)-127/64พล,0.9,นายปิโยวัฒน์ โรจน์คำลือ,ลบ.ม.
277,จ2-63(2)-128/64พล,1.3,นายสุรัติ หล่อวงศ์กมล,ลบ.ม.
278,จ2-63(2)-129/64พล,0.6,นายปิโยวัฒน์ โรจน์คำลือ,ลบ.ม.
279,จ2-63(2)-130/64พล,0.3,บริษัท พงษ์เพชร ซัพพลาย จำกัด,ลบ.ม.
280,จ3-63(2)-13/55พล,0.6,บริษัท ชัยประเสริฐเมทัลชีท จำกัด,ลบ.ม.
281,จ3-63(2)-14/52พล,0.8,บริษัท ที-วัน เม็ททอลลิค จำกัด,ลบ.ม.
282,จ3-63(2)-23/60พล,0.8,บริษัท เมทัลครีเอท จำกัด,ลบ.ม.
283,จ3-63(2)-38/58พล,2.5,นายชัชวรินทร์ ศรีสุภะ,ลบ.ม.
284,จ3-63(2)-48/61พล,1.0,บริษัท ทรัพย์ทวีพานิช จำกัด,ลบ.ม.
285,จ3-63(2)-49/61พล,1.5,บริษัท วงศ์ชัย จำกัด,ลบ.ม.
286,อ2-63(2)-131/64พล,0.3,นางอรัญญา ล้อมวงษ์พานิช,ลบ.ม.
287,อ2-63(2)-132/64พล,0.6,นายปิโยวัฒน์ โรจน์คำลือ,ลบ.ม.
288,อ2-63(2)-133/64พล,0.9,ห้างหุ้นส่วนจำกัด จรรยา เมทัลชีท,ลบ.ม.
289,อ2-63(2)-134/64พล,0.5,บริษัท รุ่งวิชัย เมทัลลิค จำกัด,ลบ.ม.
290,อ2-63(2)-135/64พล,0.3,บริษัท โตโยแมชชีนเนอรี่ จำกัด,ลบ.ม.
291,อ2-63(2)-136/64พล,0.3,นางสล่าย ถิ่นวันดี,ลบ.ม.
292,จ3-64(1)-3/61พล,2.5,บริษัท ก.อัครพลสตีลแอนด์ซัพพลาย จำกัด,ลบ.ม.
293,จ2-64(9)-1/63พล,1.5,บริษัท คัทแมกซ์ จำกัด,ลบ.ม.
294,จ2-64(11)-9/64พล,0.7,นายชัยฤกษ์ วงศ์เจริญ,ลบ.ม.
295,จ3-64(12)-1/41พล,5.9,ห้างหุ้นส่วนจำกัด เอ็ม.อี.ดี.วิศวกรรม,ลบ.ม.
296,จ3-64(12)-1/44พล,6.7,บริษัท เอส ซี เจ ซัพพลาย แอนด์เอ็นจิเนียริ่ง จำกัด,ลบ.ม.
297,จ3-64(12)-18/52พล,2.0,บริษัท เอส.ซี.เจ.ซัพพลาย แอนด์ เอ็นจิเนียริ่ง จำกัด,ลบ.ม.
298,จ3-64(12)-36/60พล,2.9,บริษัท ธีรวิสิฎร์ก่อสร้าง จำกัด,ลบ.ม.
299,3-64(13)-1/37พล,1.5,นายสุนทร วิริยะไชยกุล,ลบ.ม.
300,จ2-64(13)-178/64พล,0.2,นายสำเนา เพิ่มทวี,ลบ.ม.
301,จ3-64(13)-33/61พล,1.2,ห้างหุ้นส่วนจำกัด ต๊กควรเฮงโลหะกิจ,ลบ.ม.
302,จ3-64(13)-355/55พล,0.6,บริษัท 199 อยุธยาการกลึงโลหะกิจ จำกัด,ลบ.ม.
303,จ3-64(13)-42/62พล,0.2,นายสมพงษ์ ทับอิน,ลบ.ม.
304,จ3-64(13)-45/64พล,0.5,บริษัท ส.ยั่งยืน จำกัด,ลบ.ม.
305,จ3-64(13)-6/57พล,1.5,นายเกียรติรัตน์ ธนดลโยธิน,ลบ.ม.
306,จ3-64(13)-61/63พล,0.5,นายณรงค์ ด่านวิไล,ลบ.ม.
307,จ3-64(13)-8/57พล,1.6,ห้างหุ้นส่วนจำกัด พิษณุการุณ,ลบ.ม.
308,อ2-64(13)-175/64พล,0.2,นายคัชรินทร์ อ่อนเกตุ,ลบ.ม.
309,3-65-1/32พล,0.2,นายยุทธชัย วงศ์วีรเดชขจร,ลบ.ม.
310,3-65-6/15พล,1.1,นายนิมิตร ชำนาญช่าง,ลบ.ม.
311,3-65-6/26พล,2.0,นายสัมพันธ์ เศวตนภานนท์,ลบ.ม.
312,จ3-65-1/43พล,0.5,นายพรชัย แซ่โก,ลบ.ม.
313,จ3-65-1/51พล,1.2,นายสมบุญ ประดุจพงษ์เพ็ชร,ลบ.ม.
314,จ3-65-5/61พล,0.3,ห้างหุ้นส่วนจำกัด พี.อี.ออโต้เทรด,ลบ.ม.
315,3-66-15/34พล,18.3,บริษัท เครื่องจักรกลเกษตรไทย จำกัด,ลบ.ม.
316,3-66-2/24พล,3.2,บริษัท เกษตรพัฒนาอุตสาหกรรม จำกัด,ลบ.ม.
317,3-66-3/25พล,1.0,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร,ลบ.ม.
318,จ3-66-1/51พล,1.5,น.ส.อิสรีย์ นิธิจินดารัตน์,ลบ.ม.
319,จ3-66-21/49พล,2.4,บริษัท สยามอิมพลีเม้น จำกัด,ลบ.ม.
320,จ3-66-3/44พล,0.7,นายทรัพย์ หิรัญสุข,ลบ.ม.
321,จ3-66-3/48พล,0.4,นายวิชัย ภูมีแสง,ลบ.ม.
322,จ3-66-4/38พล,1.8,นายชลอ ศรีสุวรรณ,ลบ.ม.
323,จ3-66-5/53พล,0.4,นายธนกร ศรีดีรักฉัตร,ลบ.ม.
324,จ3-66-8/53พล,0.4,นายมานะ อยู่เมือง,ลบ.ม.
325,3-68-1/29พล,2.2,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด,ลบ.ม.
326,จ3-68-13/61พล,0.9,ชลัมเบอร์เจอร์โอเวอร์ซีส์ เอส.เอ,ลบ.ม.
327,จ3-68-6/62พล,1.0,บริษัท โอพีเอส ออยฟิลด์ อีควิปเม้นท์ แอนด์ เซอร์วิสเซส จำกัด,ลบ.ม.
328,อ2-69-13/64พล,0.9,บริษัท พรีเมียร์เครื่องชั่ง จำกัด,ลบ.ม.
329,จ2-70-35/64พล,1.3,บริษัท บางกอกพิษณุพาร์ท จำกัด,ลบ.ม.
330,จ3-70-16/59พล,2.7,ห้างหุ้นส่วนจำกัด พิษณุโลก วี.ซี.คอนสรัคชั่น (2535),ลบ.ม.
331,จ3-71-17/56พล,1.7,บริษัท เซาเออร์ จำกัด,ลบ.ม.
332,3-77(1)-1/39พล,1.4,นางวราภรณ์ วงศ์วีรเดชขจร,ลบ.ม.
333,3-77(1)-2/33พล,2.0,บริษัท ธนะสินพัฒนา (1999) จำกัด,ลบ.ม.
334,จ3-77(1)-10/63พล,0.4,บริษัท ส.มณีฉายขนส่ง จำกัด,ลบ.ม.
335,จ3-77(1)-6/62พล,1.4,บริษัท เอส เค เจ เทรดเดอร์ จำกัด,ลบ.ม.
336,จ3-77(1)-7/57พล,8.0,ห้างหุ้นส่วนจำกัด เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค,ลบ.ม.
337,3-77(2)-1/35พล,275.8,บริษัท ไทยแอโรว์ จำกัด,ลบ.ม.
338,จ3-77(2)-1/35พล,5.9,บริษัท พี.อี.เทคนิค จำกัด,ลบ.ม.
339,จ3-81(1)-2/55พล,3.9,บริษัท เอ็กซา ซีแลม จำกัด,ลบ.ม.
340,จ3-84(3)-1/65พล,7.3,บริษัท เอชเอแอล เจมส์ จำกัด,ลบ.ม.
341,จ3-86-4/63พล,1.1,บริษัท ทอยส์แอนด์จิม จำกัด,ลบ.ม.
342,3-88-165/56พล,1.0,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ลบ.ม.
343,3-88(1)-37/58พล,1.7,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,ลบ.ม.
344,3-88(1)-38/58พล,0.2,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,ลบ.ม.
345,3-88(1)-39/58พล,0.4,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,ลบ.ม.
346,3-88(2)-16/57พล,12.8,บริษัท โคลเวอร์ พิษณุโลก จำกัด,ลบ.ม.
347,3-88-31/57พล,13.7,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด,ลบ.ม.
348,จ3-90-7/60พล,50.9,บริษัท ยูนิเวอร์แซล ยูทีลิตี้ส์ จำกัด (มหาชน),ลบ.ม.
349,จ2-92-41/64พล,0.7,นายไพรัช นาคมอญ,ลบ.ม.
350,จ2-92-42/64พล,0.7,นายณรงค์ศักดิ์ พิณเกษมจิต,ลบ.ม.
351,จ3-92-5/47พล,1.5,บริษัท ที.พี.แปซิฟิค จำกัด,ลบ.ม.
352,จ3-92-51/62พล,1.5,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,ลบ.ม.
353,3-95(1)-2/22พล,1.8,บริษัท พิษณุโลกเอกการช่าง จำกัด,ลบ.ม.
354,3-95(1)-7/30พล,1.0,นายพงศธร ศรีธรรมศิริ,ลบ.ม.
355,จ3-95(1)-10/38พล,1.6,บริษัท พิษณุโลกมอเตอร์เซลล์ จำกัด,ลบ.ม.
356,จ3-95(1)-103/57พล,1.9,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,ลบ.ม.
357,จ3-95(1)-105/62พล,1.6,บริษัท นิธิบูรณ์ จำกัด,ลบ.ม.
358,จ3-95(1)-106/62พล,2.6,บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด,ลบ.ม.
359,จ3-95(1)-112/61พล,1.3,บริษัท วรเทพออโต้เพ้นท์ จำกัด,ลบ.ม.
360,จ3-95(1)-118/60พล,1.7,นายรังสรรค์ ชัยรัตน์,ลบ.ม.
361,จ3-95(1)-14/38พล,2.3,บริษัท วีไอพีปรีดาซุปเปอร์คาร์ จำกัด,ลบ.ม.
362,จ3-95(1)-155/53พล,1.5,บริษัท อีซูซุ คาร์เซ็นเตอร์เพ้นท์ จำกัด,ลบ.ม.
363,จ3-95(1)-156/48พล,1.5,บริษัท วี กรุ๊ป มิตซูมอเตอร์ออโต้เซลล์ จำกัด ,ลบ.ม.
364,จ3-95(1)-161/51พล,1.7,บริษัท พิษณุโลกยานยนต์ จำกัด,ลบ.ม.
365,จ3-95(1)-167/56พล,1.0,บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด,ลบ.ม.
366,จ3-95(1)-169/59พล,4.8,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด,ลบ.ม.
367,จ3-95(1)-174/58พล,2.0,บริษัท อุทัยยนตการ จำกัด,ลบ.ม.
368,จ3-95(1)-178/56พล,2.5,ห้างหุ้นส่วนจำกัด ณัชชาทรัค,ลบ.ม.
369,จ3-95(1)-183/52พล,1.4,บริษัท แอล แอนด์ พี แอคเซส จำกัด,ลบ.ม.
370,จ3-95(1)-189/55พล,6.3,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโต้โยต้า จำกัด,ลบ.ม.
371,จ3-95(1)-19/58พล,1.0,นางสาวจันทร์จิรา กลิ่นกรุด,ลบ.ม.
372,จ3-95(1)-197/55พล,7.5,บริษัท ธนรักษ์มอเตอร์ จำกัด,ลบ.ม.
373,จ3-95(1)-2/34พล,6.3,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด,ลบ.ม.
374,จ3-95(1)-2/47พล,3.0,บริษัท รวมรัตน์ 88 จำกัด,ลบ.ม.
375,จ3-95(1)-202/58พล,6.5,บริษัท โตโยต้า เมืองสองแคว จำกัด,ลบ.ม.
376,จ3-95(1)-225/58พล,3.8,บริษัท เอช ดี เจ ออโต้ จำกัด,ลบ.ม.
377,จ3-95(1)-226/58พล,3.8,บริษัท นิธิบูรณ์ จำกัด,ลบ.ม.
378,จ3-95(1)-229/54พล,1.6,บริษัท บี-ควิก จำกัด,ลบ.ม.
379,จ3-95(1)-236/50พล,0.6,นายฉัตรณรงค์ อินใย,ลบ.ม.
380,จ3-95(1)-250/56พล,2.5,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด,ลบ.ม.
381,จ3-95(1)-27/35พล,1.1,นายเมธี ณรงค์ชัย,ลบ.ม.
382,จ3-95(1)-3/38พล,12.6,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,ลบ.ม.
383,จ3-95(1)-3/55พล,6.5,บริษัท วีเอ็มดี ออโต้เซลส์ จำกัด,ลบ.ม.
384,จ3-95(1)-33/63พล,3.5,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด,ลบ.ม.
385,จ3-95(1)-35/64พล,1.6,บริษัท บี-ควิก จำกัด,ลบ.ม.
386,จ3-95(1)-4/43พล,5.3,บริษัท แอล แอนด์ พี แอคเซส จำกัด,ลบ.ม.
387,จ3-95(1)-5/37พล,2.8,นางสาว ทิพย์สุดา ภู่ศรี,ลบ.ม.
388,จ3-95(1)-5/42พล,1.1,บริษัท อริยะอีควิปเม้นท์ จำกัด,ลบ.ม.
389,จ3-95(1)-5/43พล,1.2,นายวิชัย คงลา,ลบ.ม.
390,จ3-95(1)-56/52พล,1.6,ห้างหุ้นส่วนจำกัด ฟาสเตอร์เพ้นท์,ลบ.ม.
391,จ3-95(1)-6/34พล,4.6,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด,ลบ.ม.
392,จ3-95(1)-6/45พล,2.0,นายแฉล้ม จันทร์เพ็ง,ลบ.ม.
393,จ3-95(1)-61/52พล,1.4,ห้างหุ้นส่วนจำกัด เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค,ลบ.ม.
394,จ3-95(1)-7/37พล,1.7,ห้างหุ้นส่วนจำกัด ศรีสหวัฒน์การช่าง,ลบ.ม.
395,จ3-95(1)-77/55พล,2.0,บริษัท บี ที ซี พิษณุไพศาล จำกัด,ลบ.ม.
396,จ3-95(1)-79/60พล,2.6,ห้างหุ้นส่วนจำกัด แสงอรุณสองแคว,ลบ.ม.
397,จ3-95(1)-82/63พล,1.9,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด,ลบ.ม.
398,จ3-98-2/59พล,51.1,ห้างหุ้นส่วนจำกัด ชิณฐิกุญช์ 999,ลบ.ม.
399,จ3-98-6/63พล,52.4,บริษัท จีเอสเอ็น ลอนดรี้ แอนด์ เซอร์วิส จำกัด,ลบ.ม.
400,3-105-39/63พล,1.0,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,ลบ.ม.
401,3-105-94/63พล,1.1,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด,ลบ.ม.
402,จ3-105-46/50พล,1.2,บริษัท ท่าทองรีไซเคิล (2007) จำกัด,ลบ.ม.
403,3-106-37/65พล,2.0,บริษัท ขวดแก้วรีไซเคิล จำกัด,ลบ.ม.
404,,,,
