เมษายน,พฤศจิกายน,ธันวาคม,พฤษภาคม,จำนวนผู้ประกันตน,_id,กุมภาพันธ์,สิงหาคม,กันยายน,ตุลาคม,กรกฎาคม,มิถุนายน,มีนาคม,มกราคม
16071,15486,15513,16027,มาตรา 33,1,15934,15465,15392,15358,15928,16051,16043,15960
3162,3033,3047,3139,มาตรา39,2,3223,3088,3071,3048,3115,3133,3198,3245
29112,29373,29393,29127,มาตรา 40,3,29060,29251,29278,29320,4485,4450,29091,28994
48345,47892,47953,48293,รวม,4,48217,47804,47741,47726,48267,48363,48332,48119
