โรงงาน,อ้อยสด (ตัน),"วันเปิดหีบ
/วันปิดหีบ",_id,อ้อยไฟไหม้ (ตัน),คุณภาพความหวาน C.C.S.,น้ำตาลต่ออ้อย 1 ตัน (กก.),อ้อยเข้าหีบ (ตัน),อำเภอ,น้ำตาลที่ผลิตได้ (ก.ส.)
"โรงงานน้ำตาล
ทรายกำแพงเพชร","638,088.26",18-ธ.ค.-66,1,"15,024.32",0,85.07,"653,112.58",เมืองกำแพงเพชร,0
"โรงงานน้ำตาล
นครเพชร","1,750,692.70",18-ธ.ค.-66,2,"156,733.72",12.32,93.59,"1,907,426.42",เมืองกำแพงเพชร,623.5
"โรงงานน้ำตาล
ทิพย์กำแพงเพชร","1,892,759.05",18-ธ.ค.-66,3,"27,485.93",0,96.33,"1,920,244.98",บึงสามัคคี,"4,211.32"
รวม,"4,281,540.01",-,4,"199,243.97",12.32,0,"4,480,783.98",,"3,587.82"
