จำนวน,ประเภท,_id,เขตควบคุมมลพิษ,ปี
91,โรงงานทั้งหมด,1,เขต IRPC,2564
21,CSR,2,เขต IRPC,2564
25,Eco Efficiency,3,เขต IRPC,2564
27,Eco Factory,4,เขต IRPC,2564
29,Eco Product,5,เขต IRPC,2564
26,อาคารเป็นมิตรสิ่งแวดล้อม,6,เขต IRPC,2564
30,ลดใช้พลังงาน,7,เขต IRPC,2564
29,ลดปล่อยก๊าซเรือนกระจก,8,เขต IRPC,2564
31,นำกากของเสียมาใช้ใหม่,9,เขต IRPC,2564
24,น้ำทิ้ง,10,เขต IRPC,2564
331,โรงงานทั้งหมด,11,เขตมาบตาพุด,2564
52,CSR,12,เขตมาบตาพุด,2564
44,Eco Efficiency,13,เขตมาบตาพุด,2564
96,Eco Factory,14,เขตมาบตาพุด,2564
65,Eco Product,15,เขตมาบตาพุด,2564
74,อาคารเป็นมิตรสิ่งแวดล้อม,16,เขตมาบตาพุด,2564
100,ลดใช้พลังงาน,17,เขตมาบตาพุด,2564
103,ลดปล่อยก๊าซเรือนกระจก,18,เขตมาบตาพุด,2564
97,นำกากของเสียมาใช้ใหม่,19,เขตมาบตาพุด,2564
79,น้ำทิ้ง,20,เขตมาบตาพุด,2564
98,โรงงานทั้งหมด,21,เขต IRPC,2565
29,CSR,22,เขต IRPC,2565
27,Eco Efficiency,23,เขต IRPC,2565
34,Eco Factory,24,เขต IRPC,2565
34,Eco Product,25,เขต IRPC,2565
21,อาคารเป็นมิตรสิ่งแวดล้อม,26,เขต IRPC,2565
35,ลดใช้พลังงาน,27,เขต IRPC,2565
32,ลดปล่อยก๊าซเรือนกระจก,28,เขต IRPC,2565
39,นำกากของเสียมาใช้ใหม่,29,เขต IRPC,2565
32,น้ำทิ้ง,30,เขต IRPC,2565
433,โรงงานทั้งหมด,31,เขตมาบตาพุด,2565
89,CSR,32,เขตมาบตาพุด,2565
122,Eco Efficiency,33,เขตมาบตาพุด,2565
154,Eco Factory,34,เขตมาบตาพุด,2565
147,Eco Product,35,เขตมาบตาพุด,2565
102,อาคารเป็นมิตรสิ่งแวดล้อม,36,เขตมาบตาพุด,2565
155,ลดใช้พลังงาน,37,เขตมาบตาพุด,2565
150,ลดปล่อยก๊าซเรือนกระจก,38,เขตมาบตาพุด,2565
238,นำกากของเสียมาใช้ใหม่,39,เขตมาบตาพุด,2565
145,น้ำทิ้ง,40,เขตมาบตาพุด,2565
