ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,อำเภอ,รายการ
"1,438.00",สำนักงานเกษตรจังหวัดนครพนม,1,2561,ไร่,เมืองนครพนม,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1
11.00,สำนักงานเกษตรจังหวัดนครพนม,2,2561,ไร่,ปลาปาก,เนื้อที่เพาะปลูกลิ้นจี่ นพ.2
70.00,สำนักงานเกษตรจังหวัดนครพนม,3,2561,ไร่,ท่าอุเทน,เนื้อที่เพาะปลูกลิ้นจี่ นพ.3
137.00,สำนักงานเกษตรจังหวัดนครพนม,4,2561,ไร่,บ้านแพง,เนื้อที่เพาะปลูกลิ้นจี่ นพ.4
-,สำนักงานเกษตรจังหวัดนครพนม,5,2561,ไร่,ธาตุพนม,เนื้อที่เพาะปลูกลิ้นจี่ นพ.5
-,สำนักงานเกษตรจังหวัดนครพนม,6,2561,ไร่,เรณูนคร,เนื้อที่เพาะปลูกลิ้นจี่ นพ.6
-,สำนักงานเกษตรจังหวัดนครพนม,7,2561,ไร่,นาแก,เนื้อที่เพาะปลูกลิ้นจี่ นพ.7
-,สำนักงานเกษตรจังหวัดนครพนม,8,2561,ไร่,ศรีสงคราม,เนื้อที่เพาะปลูกลิ้นจี่ นพ.8
-,สำนักงานเกษตรจังหวัดนครพนม,9,2561,ไร่,นาหว้า,เนื้อที่เพาะปลูกลิ้นจี่ นพ.9
-,สำนักงานเกษตรจังหวัดนครพนม,10,2561,ไร่,โพนสวรรค์,เนื้อที่เพาะปลูกลิ้นจี่ นพ.10
-,สำนักงานเกษตรจังหวัดนครพนม,11,2561,ไร่,นาทม,เนื้อที่เพาะปลูกลิ้นจี่ นพ.11
-,สำนักงานเกษตรจังหวัดนครพนม,12,2561,ไร่,วังยาง,เนื้อที่เพาะปลูกลิ้นจี่ นพ.12
"1,656.00",สำนักงานเกษตรจังหวัดนครพนม,13,2562,ไร่,เมืองนครพนม,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1
11.00,สำนักงานเกษตรจังหวัดนครพนม,14,2562,ไร่,ปลาปาก,เนื้อที่เพาะปลูกลิ้นจี่ นพ.2
70.00,สำนักงานเกษตรจังหวัดนครพนม,15,2562,ไร่,ท่าอุเทน,เนื้อที่เพาะปลูกลิ้นจี่ นพ.3
