สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,59410,138453,8492,13042,219397
จีน,48933,12263,35411,8465,105072
ไทยใหญ่,2594,1927,13383,19384,37288
รัสเซีย,9406,11731,4985,3634,29756
อังกฤษ,4576,3636,13473,7655,29340
อเมริกัน,6113,3838,12298,6140,28389
เยอรมัน,4471,4115,10207,7640,26433
ญี่ปุ่น,3742,1790,14257,4855,24644
อินเดีย,3291,2866,8706,6898,21761
ฝรั่งเศส,3463,3374,8163,6136,21136
ลาว,8594,4266,3072,1212,17144
กัมพูชา,8437,5590,1581,986,16594
ออสเตรเลีย,3068,2055,6506,3490,15119
เกาหลี ,3884,1383,6851,1088,13206
ฟิลิปปินส์,1974,1423,4860,3081,11338
สวิสเซอร์แลนด์,1355,1106,4857,3452,10770
ไทยลื้อ,896,573,3971,3999,9439
สวีเดน ,1154,1146,3166,2461,7927
บริติช,1175,804,3830,1933,7742
แคนาดา,1433,1035,3171,1827,7466
อิตาลี,931,953,3015,2445,7344
เนเธอร์แลนด์,760,699,2442,1636,5537
กะเหรี่ยง,729,801,1373,2405,5308
ไต้หวัน,1274,402,2827,412,4915
นอรเวย์,704,632,2009,1485,4830
เบลเยี่ยม,613,551,1804,1331,4299
มาเลเซีย,593,236,1895,555,3279
เดนมาร์ค,529,530,1193,854,3106
สิงคโปร์,785,262,1610,366,3023
ออสเตรีย,490,477,1074,824,2865
บุคคลพื้นที่สูง,234,176,918,1453,2781
ปากีสถาน,600,446,1023,605,2674
อิสราเอล,784,545,751,512,2592
อาข่า,419,545,611,980,2555
ยูเครน,845,820,412,338,2415
ดัตช์,340,290,1039,650,2319
ฟินแลนด์ ,348,337,892,739,2316
นิวซีแลนด์,435,281,908,465,2089
แอฟริกาใต้,410,309,813,454,1986
ลั๊ว,184,132,704,871,1891
เวียดนาม,707,130,776,217,1830
มอญ,158,109,661,634,1562
ตุรกี,452,326,456,253,1487
ฮ่องกง,484,201,623,132,1440
สเปน,305,264,513,354,1436
โปแลนด์,342,513,285,204,1344
อินโดนีเซีย,276,98,593,174,1141
ลาหู่,147,139,370,452,1108
อิหร่าน,200,115,474,301,1090
บังคลาเทศ,246,153,434,225,1058
ไอริช  ,208,174,430,239,1051
ไอซ์แลนด์,200,147,428,256,1031
เนปาล,160,103,278,169,710
บราซิล,163,124,264,110,661
ลีซู,77,69,206,285,637
ไนจีเรีย ,178,45,281,70,574
ฮังการี ,123,137,178,116,554
คาซัคสถาน,159,159,118,67,503
ศรีลังกา,116,72,220,85,493
แคเมอรูน,78,35,248,99,460
เบลารุส,118,143,97,79,437
กินี,39,32,165,143,379
โปรตุเกส,97,75,133,54,359
ปะหร่อง,28,23,124,165,340
สาธารณรัฐเช็ก,86,91,92,59,328
อียิปต์,58,30,142,70,300
เอสโตเนีย,76,82,55,60,273
โรมาเนีย,78,59,88,47,272
สหราชอาณาจักร,92,97,44,30,263
ลักเซมเบิร์ก,47,42,99,63,251
คูเวต,50,61,84,55,250
กรีซ,32,32,87,68,219
ลิทัวเนีย,52,71,55,40,218
ฮอลแลนด์,14,9,125,68,216
วานูอาตู,92,12,92,18,214
อุซเบกีสถาน,58,48,69,29,204
โมร็อกโก,46,62,56,39,203
จีนฮ่อ,12,11,96,83,202
เชคโกสโลวาเกีย,62,57,45,31,195
เคนยา,74,31,62,21,188
สโลเวเนีย,38,45,50,40,173
เม็กซิกัน,46,18,76,24,164
ม้ง,65,19,42,33,159
ซีเรีย,26,14,75,43,158
อาร์เจนตินา,37,32,56,31,156
เซอร์เบีย,29,34,48,40,151
กาน่า,29,19,70,30,148
ลักเวีย,42,44,30,27,143
จอร์แดน ,29,18,66,24,137
ภูฏาน,38,18,53,26,135
โคลัมเบีย,31,21,56,25,133
อาฟกานิสถาน,29,21,49,27,126
เลบานอน,20,20,62,23,125
ชิลี ,35,23,40,22,120
บัลแกเรีย,28,27,41,22,118
สโลวัค,22,23,39,25,109
เชครีพับลิก,23,33,31,21,108
มัลดีฟ ,35,25,31,16,107
เปรู,26,8,48,17,99
โครเอเชีย,13,21,36,26,96
อิรัก ,14,6,48,27,95
บาห์เรน,18,22,35,15,90
ซาอุดิอาระเบีย,25,15,38,11,89
ยูกันดา,26,9,36,16,87
อาฟริกา,4,3,47,30,84
อาหรับเอมิเรตส์,27,27,21,7,82
ซิมบับเว,31,12,24,14,81
คีร์กิซ,21,23,17,12,73
ปะโอ,4,0,25,40,69
เซนต์คิตส์เนวิส,21,9,31,7,68
มอลโดวา,19,15,20,13,67
เยเมน,9,7,30,17,63
เฮเลนิค,10,15,23,15,63
แอลจีเรีย,19,11,24,8,62
คะฉิ่น,6,7,16,29,58
เอธิโอเปีย,16,8,26,3,53
โอมาน,20,11,17,4,52
อาร์มิเนีย,13,9,23,3,48
อาเซอร์ไบจาน,16,9,16,6,47
คาเมรูน,7,2,29,8,46
ตูนิเซีย,14,7,16,9,46
มอลต้า,14,6,19,7,46
เติร์กเมนิสถาน,14,9,10,11,44
มองโกเลีย,14,6,20,4,44
มาลี,3,2,21,17,43
มอริเชียส,13,6,12,8,39
เวเนซุเอลา,7,5,23,4,39
ปาเลสติเนียน,9,5,12,12,38
ซูดาน  ,2,2,24,5,33
โดนิมิกัน,10,1,17,4,32
ลิเบีย,8,2,17,3,30
บรูไน,8,2,17,2,29
จอร์เจีย,11,10,4,2,27
เอกวาดอร์,8,5,9,4,26
อูกันตา,8,6,6,5,25
บอสเนีย,6,7,6,5,24
มาดากัสกา,7,2,10,5,24
แทนซาเนีย,4,3,12,4,23
ลิกเตนสไตน์,7,5,6,4,22
ฟิจิ,7,2,11,1,21
เมาลิเทียส,9,6,5,1,21
คิวบา,6,4,8,2,20
คองโก,5,2,8,4,19
อุรุกวัย,3,3,9,4,19
,9,4,3,2,18
