ประเภทกฎหมาย,ประเภทใบอนุญาต,ประเภทพื้นที่,จำนวน
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,204961
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,1180779
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,กรุงเทพฯ,1634
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,448
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,137721
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,1113009
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,ส่วนภูมิภาค,1
รถยนต์,รถยนต์ส่วนบุคคล,กรุงเทพฯ,1785746
รถยนต์,รถยนต์ส่วนบุคคล,ส่วนภูมิภาค,10289932
รถยนต์,รถยนต์สามล้อส่วนบุคคล,กรุงเทพฯ,1319
รถยนต์,รถยนต์สามล้อส่วนบุคคล,ส่วนภูมิภาค,3529
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,กรุงเทพฯ,830191
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,ส่วนภูมิภาค,5667038
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,กรุงเทพฯ,1458987
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,4180500
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,กรุงเทพฯ,427
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,3427
รถยนต์,รถจักรยานยนต์ตลอดชีพ,กรุงเทพฯ,607015
รถยนต์,รถจักรยานยนต์ตลอดชีพ,ส่วนภูมิภาค,4835501
รถยนต์,รถยนต์สาธารณะ,กรุงเทพฯ,62133
รถยนต์,รถยนต์สาธารณะ,ส่วนภูมิภาค,55980
รถยนต์,รถยนต์สามล้อสาธารณะ,กรุงเทพฯ,2473
รถยนต์,รถยนต์สามล้อสาธารณะ,ส่วนภูมิภาค,3458
รถยนต์,รถจักรยานยนต์สาธารณะ,กรุงเทพฯ,74360
รถยนต์,รถจักรยานยนต์สาธารณะ,ส่วนภูมิภาค,73645
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,กรุงเทพฯ,110579
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,ส่วนภูมิภาค,53375
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,กรุงเทพฯ,44454
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,ส่วนภูมิภาค,37989
รถยนต์,รถบดถนน,กรุงเทพฯ,4
รถยนต์,รถบดถนน,ส่วนภูมิภาค,335
รถยนต์,รถแทรกเตอร์,กรุงเทพฯ,120
รถยนต์,รถแทรกเตอร์,ส่วนภูมิภาค,5859
รถยนต์,รถใช้งานเกษตรกรรม,กรุงเทพฯ,2
รถยนต์,รถใช้งานเกษตรกรรม,ส่วนภูมิภาค,5749
รถยนต์,รถอื่นๆ,กรุงเทพฯ,0
รถยนต์,รถอื่นๆ,ส่วนภูมิภาค,1119
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,กรุงเทพฯ,128
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,ส่วนภูมิภาค,1785
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,กรุงเทพฯ,22293
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,ส่วนภูมิภาค,521615
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,กรุงเทพฯ,1968
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,ส่วนภูมิภาค,107238
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,กรุงเทพฯ,320
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,ส่วนภูมิภาค,9869
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,กรุงเทพฯ,1026
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,ส่วนภูมิภาค,15389
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,กรุงเทพฯ,82158
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,ส่วนภูมิภาค,663236
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,กรุงเทพฯ,12616
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,ส่วนภูมิภาค,248886
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,กรุงเทพฯ,8136
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,ส่วนภูมิภาค,128066
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,กรุงเทพฯ,7508
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,ส่วนภูมิภาค,3533
การขนส่งทางบก,นายตรวจ,กรุงเทพฯ,217
การขนส่งทางบก,นายตรวจ,ส่วนภูมิภาค,103
การขนส่งทางบก,ผู้บริการ,กรุงเทพฯ,766
การขนส่งทางบก,ผู้บริการ,ส่วนภูมิภาค,1074
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,กรุงเทพฯ,2321
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,ส่วนภูมิภาค,15954
