สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,49802,117622,7631,12937,187992
จีน,36734,9210,30455,7384,83783
ไทยใหญ่,2663,1827,12877,19480,36847
รัสเซีย,10346,14120,3593,2404,30463
อังกฤษ,4228,3301,13208,7365,28102
อเมริกัน,5639,3513,11596,5646,26394
ญี่ปุ่น,3979,1864,14310,4752,24905
เยอรมัน,4116,3656,9561,7132,24465
อินเดีย,3234,2795,8196,6482,20707
ฝรั่งเศส,3121,2867,7778,5841,19607
กัมพูชา,7965,5298,1408,940,15611
ลาว,7535,3565,2957,1221,15278
ออสเตรเลีย,2792,1815,6237,3319,14163
เกาหลี ,3741,1161,6638,1062,12602
ฟิลิปปินส์,2019,1419,4465,2836,10739
สวิสเซอร์แลนด์,1282,1036,4637,3290,10245
ไทยลื้อ,920,532,3695,3909,9056
สวีเดน ,1111,1043,3162,2450,7766
บริติช,1189,776,3457,1714,7136
อิตาลี,893,922,2915,2351,7081
แคนาดา,1354,949,2919,1681,6903
เนเธอร์แลนด์,727,605,2360,1585,5277
กะเหรี่ยง,560,561,1286,2464,4871
นอรเวย์,664,601,1951,1437,4653
ไต้หวัน,1033,312,2540,349,4234
เบลเยี่ยม,565,514,1740,1273,4092
มาเลเซีย,592,223,1814,528,3157
เดนมาร์ค,513,456,1152,823,2944
บุคคลพื้นที่สูง,269,229,904,1445,2847
สิงคโปร์,769,236,1486,341,2832
ออสเตรีย,418,407,1018,766,2609
ปากีสถาน,548,376,969,563,2456
ดัตช์,323,262,1023,627,2235
ฟินแลนด์ ,318,312,882,720,2232
อิสราเอล,563,419,680,463,2125
อาข่า,343,412,480,848,2083
ยูเครน,731,737,331,271,2070
นิวซีแลนด์,395,250,866,436,1947
ลั๊ว,205,143,673,902,1923
แอฟริกาใต้,425,300,722,405,1852
เวียดนาม,611,122,725,213,1671
มอญ,155,105,646,645,1551
ฮ่องกง,495,163,516,106,1280
สเปน,273,219,462,313,1267
ตุรกี,366,232,418,240,1256
อินโดนีเซีย,255,96,563,163,1077
อิหร่าน,205,128,446,270,1049
โปแลนด์,287,333,253,173,1046
ลาหู่,138,119,338,433,1028
ไอซ์แลนด์,171,127,432,266,996
ไอริช  ,208,167,391,212,978
บังคลาเทศ,196,105,417,209,927
เนปาล,136,90,264,163,653
บราซิล,170,109,242,100,621
ลีซู,73,72,178,259,582
ไนจีเรีย ,148,40,257,68,513
ฮังการี ,95,99,169,116,479
คาซัคสถาน,143,138,109,59,449
ศรีลังกา,101,61,207,73,442
แคเมอรูน,67,27,233,104,431
เบลารุส,125,151,71,66,413
กินี,34,25,158,142,359
โปรตุเกส,91,67,128,49,335
ปะหร่อง,35,27,113,156,331
อียิปต์,63,33,127,62,285
สาธารณรัฐเช็ก,80,76,77,50,283
คูเวต,56,62,83,55,256
ฮอลแลนด์,18,13,140,74,245
ลักเซมเบิร์ก,43,35,96,60,234
โรมาเนีย,57,43,86,43,229
เอสโตเนีย,57,71,44,49,221
สหราชอาณาจักร,69,73,39,30,211
จีนฮ่อ,18,10,92,87,207
กรีซ,30,27,83,66,206
ลิทัวเนีย,48,69,48,33,198
วานูอาตู,102,15,55,11,183
โมร็อกโก,34,45,56,39,174
เคนยา,62,28,56,19,165
สโลเวเนีย,34,38,49,43,164
ซีเรีย,29,13,70,42,154
เซอร์เบีย,32,39,46,36,153
