สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,37285,90608,7082,12822,147797
จีน,28027,7032,28061,6965,70085
ไทยใหญ่,2554,1598,12311,19247,35710
รัสเซีย,9481,13117,3093,2073,27764
อังกฤษ,4067,3183,13188,7246,27684
อเมริกัน,5271,3252,11260,5433,25216
ญี่ปุ่น,4049,1826,14490,4746,25111
เยอรมัน,3960,3456,9440,7043,23899
อินเดีย,3140,2633,7920,6276,19969
ฝรั่งเศส,2904,2624,7657,5729,18914
กัมพูชา,7111,4673,1267,909,13960
ลาว,6796,3034,2844,1169,13843
ออสเตรเลีย,2577,1685,6122,3254,13638
เกาหลี ,3439,1001,6525,1040,12005
ฟิลิปปินส์,1933,1323,4306,2724,10286
สวิสเซอร์แลนด์,1245,1009,4606,3241,10101
ไทยลื้อ,838,463,3525,3816,8642
สวีเดน ,1103,1035,3266,2523,7927
อิตาลี,882,895,2887,2336,7000
แคนาดา,1305,900,2843,1633,6681
บริติช,1141,732,3170,1580,6623
เนเธอร์แลนด์,708,568,2350,1582,5208
นอรเวย์,665,594,2020,1488,4767
กะเหรี่ยง,405,419,1191,2359,4374
เบลเยี่ยม,536,478,1698,1248,3960
ไต้หวัน,968,281,2367,309,3925
มาเลเซีย,605,229,1747,503,3084
เดนมาร์ค,511,451,1162,833,2957
บุคคลพื้นที่สูง,294,247,875,1459,2875
สิงคโปร์,759,222,1437,323,2741
ออสเตรีย,408,372,1010,757,2547
ฟินแลนด์ ,326,311,900,746,2283
ปากีสถาน,478,321,924,553,2276
ดัตช์,310,251,1002,609,2172
อิสราเอล,470,349,650,431,1900
นิวซีแลนด์,373,247,855,417,1892
ลั๊ว,218,142,644,888,1892
ยูเครน,640,671,294,250,1855
อาข่า,255,290,424,771,1740
แอฟริกาใต้,390,269,668,372,1699
เวียดนาม,530,98,694,205,1527
มอญ,161,102,601,626,1490
สเปน,280,206,459,303,1248
ฮ่องกง,529,162,415,78,1184
ตุรกี,297,195,398,230,1120
อิหร่าน,195,129,449,276,1049
อินโดนีเซีย,231,82,554,155,1022
ไอซ์แลนด์,174,122,439,269,1004
ลาหู่,126,89,306,408,929
บังคลาเทศ,186,107,406,208,907
โปแลนด์,241,271,229,152,893
ไอริช  ,181,145,363,193,882
เนปาล,126,71,259,161,617
บราซิล,165,97,230,100,592
ลีซู,70,62,159,240,531
ไนจีเรีย ,120,33,252,60,465
ฮังการี ,93,94,162,112,461
ศรีลังกา,98,57,204,65,424
แคเมอรูน,56,22,240,103,421
เบลารุส,122,142,66,65,395
คาซัคสถาน,124,113,97,55,389
กินี,30,16,157,143,346
โปรตุเกส,89,57,119,47,312
ปะหร่อง,31,24,104,148,307
อียิปต์,59,32,122,55,268
ฮอลแลนด์,19,13,149,76,257
สาธารณรัฐเช็ก,68,61,73,47,249
คูเวต,53,60,74,51,238
ลักเซมเบิร์ก,46,34,91,58,229
โรมาเนีย,53,37,82,42,214
เอสโตเนีย,54,74,38,42,208
กรีซ,29,27,85,66,207
ลิทัวเนีย,44,63,50,36,193
จีนฮ่อ,14,8,86,83,191
วานูอาตู,114,18,38,9,179
สโลเวเนีย,33,36,43,41,153
เคนยา,54,22,56,20,152
โมร็อกโก,28,33,54,36,151
เซอร์เบีย,34,35,42,36,147
ซีเรีย,22,9,68,39,138
เม็กซิกัน,39,13,65,20,137
สหราชอาณาจักร,37,41,35,24,137
อุซเบกีสถาน,32,28,57,18,135
อาร์เจนตินา,25,19,57,28,129
เชคโกสโลวาเกีย,36,20,39,30,125
กาน่า,24,8,57,34,123
โคลัมเบีย,29,16,54,24,123
อาฟกานิสถาน,34,26,37,19,116
จอร์แดน ,27,14,56,17,114
ภูฏาน,35,10,36,27,108
บาห์เรน,27,25,40,15,107
ลักเวีย,32,33,23,19,107
เลบานอน,19,12,53,20,104
ชิลี ,28,20,33,18,99
ม้ง,23,9,38,29,99
อาฟริกา,6,4,50,37,97
โครเอเชีย,11,13,37,28,89
ซาอุดิอาระเบีย,35,11,32,10,88
เชครีพับลิก,22,27,24,14,87
อิรัก ,10,5,47,25,87
เปรู,19,8,44,15,86
สโลวัค,13,14,35,22,84
บัลแกเรีย,15,16,34,17,82
มัลดีฟ ,28,16,24,13,81
อาหรับเอมิเรตส์,32,25,19,5,81
ปะโอ,9,3,22,36,70
ยูกันดา,20,3,29,16,68
ซิมบับเว,25,11,18,10,64
เยเมน,18,6,21,14,59
เฮเลนิค,14,15,16,11,56
มอลโดวา,18,13,15,9,55
เติร์กเมนิสถาน,13,15,13,10,51
คีร์กิซ,10,14,14,11,49
แอลจีเรีย,13,5,21,9,48
โอมาน,18,10,16,4,48
คาเมรูน,6,0,29,12,47
คะฉิ่น,6,5,10,25,46
มาลี,5,3,20,16,44
มองโกเลีย,17,8,16,2,43
เซนต์คิตส์เนวิส,23,6,11,2,42
เอธิโอเปีย,12,2,21,3,38
มอลต้า,9,6,15,4,34
ซูดาน  ,3,2,23,5,33
ตูนิเซีย,9,3,14,7,33
มอริเชียส,9,5,12,7,33
อาร์มิเนีย,4,4,22,3,33
ปาเลสติเนียน,4,5,11,12,32
เวเนซุเอลา,8,2,18,4,32
อาเซอร์ไบจาน,7,5,13,6,31
โดนิมิกัน,9,1,17,3,30
บรูไน,11,3,13,1,28
มาดากัสกา,3,2,13,8,26
ลิเบีย,9,1,14,2,26
อุรุกวัย,2,12,9,2,25
เอกวาดอร์,8,9,6,1,24
อูกันตา,7,5,4,5,21
จอร์เจีย,10,6,1,1,18
แทนซาเนีย,4,1,10,3,18
ลิกเตนสไตน์,3,3,7,5,18
บอสเนีย,2,5,6,4,17
แกมเบีย,2,3,6,5,16
มาลากาซี,4,3,5,4,16
คองโก,3,2,7,3,15
ไซปรัส,6,5,3,1,15
