สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,46024,109189,7396,12848,175457
จีน,33833,8424,29588,7226,79071
ไทยใหญ่,2697,1799,12694,19429,36619
รัสเซีย,10152,13887,3420,2293,29752
อังกฤษ,4116,3245,13180,7308,27849
อเมริกัน,5517,3426,11459,5564,25966
ญี่ปุ่น,4000,1839,14339,4744,24922
เยอรมัน,4093,3584,9510,7087,24274
อินเดีย,3203,2766,8068,6361,20398
ฝรั่งเศส,3035,2777,7734,5792,19338
กัมพูชา,7703,5107,1348,923,15081
ลาว,7371,3416,2907,1192,14886
ออสเตรเลีย,2714,1759,6210,3312,13995
เกาหลี ,3645,1103,6571,1057,12376
ฟิลิปปินส์,2031,1419,4422,2808,10680
สวิสเซอร์แลนด์,1269,1017,4628,3283,10197
ไทยลื้อ,907,534,3653,3896,8990
สวีเดน ,1108,1033,3192,2480,7813
อิตาลี,879,903,2918,2352,7052
บริติช,1192,777,3354,1662,6985
แคนาดา,1329,930,2887,1662,6808
เนเธอร์แลนด์,721,596,2349,1573,5239
กะเหรี่ยง,526,524,1261,2442,4753
นอรเวย์,662,593,1980,1459,4694
ไต้หวัน,996,304,2486,336,4122
เบลเยี่ยม,566,502,1716,1255,4039
มาเลเซีย,597,228,1781,523,3129
เดนมาร์ค,520,469,1157,819,2965
บุคคลพื้นที่สูง,275,242,895,1446,2858
สิงคโปร์,765,234,1470,336,2805
ออสเตรีย,422,395,1014,762,2593
ปากีสถาน,531,365,947,556,2399
ฟินแลนด์ ,320,312,884,727,2243
ดัตช์,317,253,1017,625,2212
อิสราเอล,539,398,663,451,2051
อาข่า,328,396,465,829,2018
ยูเครน,697,734,314,262,2007
ลั๊ว,211,154,665,896,1926
นิวซีแลนด์,376,244,860,432,1912
แอฟริกาใต้,418,292,702,396,1808
เวียดนาม,586,111,715,214,1626
มอญ,157,115,631,637,1540
สเปน,272,219,459,310,1260
ฮ่องกง,511,163,470,96,1240
ตุรกี,350,224,409,235,1218
อิหร่าน,207,131,454,277,1069
อินโดนีเซีย,245,97,559,156,1057
ไอซ์แลนด์,172,129,432,266,999
ลาหู่,140,107,325,426,998
โปแลนด์,268,306,247,171,992
ไอริช  ,203,167,376,203,949
บังคลาเทศ,193,107,408,208,916
เนปาล,131,80,261,161,633
บราซิล,168,105,237,102,612
ลีซู,77,69,170,259,575
ไนจีเรีย ,134,36,253,67,490
ฮังการี ,89,96,169,117,471
ศรีลังกา,100,61,205,70,436
คาซัคสถาน,137,133,105,59,434
แคเมอรูน,70,27,229,102,428
เบลารุส,122,150,68,63,403
กินี,31,20,156,142,349
โปรตุเกส,90,65,125,48,328
ปะหร่อง,35,26,110,155,326
อียิปต์,63,35,124,59,281
สาธารณรัฐเช็ก,76,72,72,47,267
ฮอลแลนด์,18,13,145,75,251
คูเวต,55,55,81,56,247
ลักเซมเบิร์ก,43,35,95,60,233
โรมาเนีย,62,43,79,40,224
เอสโตเนีย,58,72,41,48,219
กรีซ,29,27,86,67,209
จีนฮ่อ,14,9,90,86,199
ลิทัวเนีย,48,67,49,34,198
สหราชอาณาจักร,60,62,37,26,185
วานูอาตู,103,16,51,11,181
โมร็อกโก,31,37,55,39,162
สโลเวเนีย,33,37,46,42,158
เคนยา,57,23,56,20,156
ซีเรีย,28,11,71,41,151
เซอร์เบีย,35,38,43,35,151
อุซเบกีสถาน,30,26,64,24,144
เชคโกสโลวาเกีย,44,30,38,30,142
เม็กซิกัน,42,14,65,21,142
อาร์เจนตินา,28,27,54,26,135
กาน่า,25,12,62,33,132
โคลัมเบีย,32,15,55,26,128
ม้ง,36,12,41,34,123
อาฟกานิสถาน,35,26,39,21,121
จอร์แดน ,23,15,59,18,115
ลักเวีย,33,34,26,20,113
เลบานอน,19,15,56,21,111
บาห์เรน,23,27,43,16,109
ภูฏาน,33,9,40,25,107
ชิลี ,31,21,33,17,102
โครเอเชีย,12,17,36,28,93
เปรู,22,9,47,15,93
มัลดีฟ ,30,20,28,15,93
ซาอุดิอาระเบีย,34,9,36,12,91
สโลวัค,15,18,37,21,91
อิรัก ,12,5,48,25,90
เชครีพับลิก,20,29,25,15,89
บัลแกเรีย,16,18,36,19,89
อาฟริกา,3,2,49,35,89
อาหรับเอมิเรตส์,26,22,21,6,75
ยูกันดา,20,6,32,15,73
ซิมบับเว,31,12,19,10,72
ปะโอ,10,2,22,37,71
คีร์กิซ,15,19,15,12,61
เยเมน,17,5,23,15,60
เฮเลนิค,12,16,17,11,56
คะฉิ่น,4,5,16,29,54
มอลโดวา,18,12,15,9,54
โอมาน,18,10,17,5,50
แอลจีเรีย,14,5,21,8,48
เติร์กเมนิสถาน,12,12,13,10,47
คาเมรูน,7,0,28,10,45
เซนต์คิตส์เนวิส,21,6,14,2,43
เอธิโอเปีย,15,5,20,3,43
มองโกเลีย,15,8,17,2,42
มาลี,3,1,20,16,40
อาร์มิเนีย,7,6,24,3,40
มอลต้า,8,6,18,6,38
ตูนิเซีย,10,5,14,8,37
อาเซอร์ไบจาน,10,7,13,6,36
ปาเลสติเนียน,7,6,12,10,35
ซูดาน  ,3,2,24,5,34
เวเนซุเอลา,8,3,19,4,34
มอริเชียส,9,4,12,7,32
มาดากัสกา,5,3,13,9,30
ลิเบีย,9,2,17,2,30
โดนิมิกัน,7,1,18,3,29
บรูไน,8,2,16,2,28
อุรุกวัย,2,12,9,3,26
เอกวาดอร์,6,8,7,1,22
จอร์เจีย,12,7,1,1,21
ลิกเตนสไตน์,5,4,7,5,21
อูกันตา,7,5,4,5,21
แทนซาเนีย,4,1,11,3,19
บอสเนีย,3,6,6,4,19
เมาลิเทียส,8,5,4,1,18
แกมเบีย,2,3,6,5,16
คิวบา,4,2,8,2,16
ไซปรัส,4,6,4,2,16
