สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,58580,135285,8351,13016,215232
จีน,47830,12047,34754,8306,102937
ไทยใหญ่,2595,1908,13264,19310,37077
รัสเซีย,9448,11788,4846,3490,29572
อังกฤษ,4560,3625,13437,7614,29236
อเมริกัน,6067,3811,12219,6077,28174
เยอรมัน,4389,4048,10141,7592,26170
ญี่ปุ่น,3791,1823,14207,4822,24643
อินเดีย,3277,2827,8643,6846,21593
ฝรั่งเศส,3436,3339,8126,6108,21009
ลาว,8428,4159,3065,1215,16867
กัมพูชา,8402,5513,1562,987,16464
ออสเตรเลีย,3019,2007,6457,3453,14936
เกาหลี ,3863,1359,6779,1071,13072
ฟิลิปปินส์,1983,1428,4823,3063,11297
สวิสเซอร์แลนด์,1356,1114,4837,3435,10742
ไทยลื้อ,890,561,3936,3981,9368
สวีเดน ,1145,1136,3179,2468,7928
บริติช,1174,812,3783,1912,7681
แคนาดา,1427,1036,3137,1811,7411
อิตาลี,933,952,2990,2425,7300
เนเธอร์แลนด์,768,705,2435,1632,5540
กะเหรี่ยง,715,777,1358,2398,5248
นอรเวย์,710,634,2007,1482,4833
ไต้หวัน,1239,382,2784,403,4808
เบลเยี่ยม,603,541,1806,1330,4280
มาเลเซีย,586,231,1882,551,3250
เดนมาร์ค,525,523,1197,858,3103
สิงคโปร์,783,262,1597,364,3006
ออสเตรีย,482,471,1068,820,2841
บุคคลพื้นที่สูง,233,177,916,1450,2776
ปากีสถาน,587,439,1015,598,2639
อิสราเอล,755,534,744,511,2544
อาข่า,412,516,601,975,2504
ยูเครน,836,816,407,335,2394
ฟินแลนด์ ,341,334,895,742,2312
ดัตช์,337,288,1037,649,2311
นิวซีแลนด์,433,281,896,457,2067
แอฟริกาใต้,405,309,806,447,1967
ลั๊ว,185,135,699,860,1879
เวียดนาม,709,125,768,216,1818
มอญ,159,111,653,631,1554
ตุรกี,442,315,455,254,1466
สเปน,309,259,505,352,1425
ฮ่องกง,474,195,614,130,1413
โปแลนด์,338,502,283,201,1324
อินโดนีเซีย,277,100,590,171,1138
ลาหู่,145,138,367,450,1100
อิหร่าน,196,114,476,301,1087
บังคลาเทศ,251,151,433,222,1057
ไอริช  ,203,173,426,237,1039
ไอซ์แลนด์,194,141,430,257,1022
เนปาล,158,103,279,169,709
บราซิล,162,120,262,111,655
ลีซู,78,70,206,283,637
ไนจีเรีย ,171,44,280,70,565
ฮังการี ,121,130,177,117,545
คาซัคสถาน,155,157,113,63,488
ศรีลังกา,108,65,219,83,475
แคเมอรูน,72,33,249,100,454
เบลารุส,114,137,94,76,421
กินี,40,33,165,144,382
โปรตุเกส,97,72,132,53,354
ปะหร่อง,27,21,125,164,337
สาธารณรัฐเช็ก,80,89,91,55,315
อียิปต์,57,31,137,68,293
เอสโตเนีย,76,83,55,60,274
โรมาเนีย,76,59,86,46,267
คูเวต,55,61,83,56,255
สหราชอาณาจักร,89,94,43,29,255
ลักเซมเบิร์ก,47,42,101,64,254
กรีซ,32,31,88,68,219
ฮอลแลนด์,15,10,125,68,218
วานูอาตู,94,13,89,17,213
ลิทัวเนีย,49,67,55,40,211
โมร็อกโก,45,62,58,40,205
จีนฮ่อ,12,11,95,82,200
อุซเบกีสถาน,58,46,67,29,200
เชคโกสโลวาเกีย,60,56,45,31,192
เคนยา,72,33,62,21,188
สโลเวเนีย,37,46,50,40,173
เม็กซิกัน,45,19,72,23,159
ซีเรีย,28,14,73,42,157
อาร์เจนตินา,36,31,56,31,154
เซอร์เบีย,30,36,47,40,153
ม้ง,58,19,42,32,151
กาน่า,29,19,71,30,149
ลักเวีย,42,43,32,27,144
จอร์แดน ,29,17,64,24,134
ภูฏาน,37,18,53,26,134
โคลัมเบีย,29,21,55,25,130
อาฟกานิสถาน,29,21,49,27,126
เลบานอน,19,19,62,24,124
บัลแกเรีย,29,29,40,20,118
ชิลี ,35,21,40,21,117
เชครีพับลิก,24,33,31,21,109
มัลดีฟ ,34,24,31,16,105
สโลวัค,20,20,39,25,104
เปรู,28,8,49,17,102
โครเอเชีย,13,21,36,26,96
อิรัก ,13,7,48,27,95
บาห์เรน,18,23,35,14,90
ซาอุดิอาระเบีย,25,14,38,11,88
ยูกันดา,25,9,36,16,86
อาฟริกา,4,3,48,31,86
ซิมบับเว,32,12,25,14,83
อาหรับเอมิเรตส์,26,24,21,7,78
คีร์กิซ,20,22,18,13,73
ปะโอ,4,0,25,40,69
เซนต์คิตส์เนวิส,20,8,30,6,64
มอลโดวา,18,14,19,12,63
แอลจีเรีย,19,11,24,8,62
เยเมน,9,6,29,17,61
เฮเลนิค,11,15,21,14,61
คะฉิ่น,6,7,16,29,58
เอธิโอเปีย,16,8,25,3,52
โอมาน,19,11,17,4,51
เติร์กเมนิสถาน,16,13,9,9,47
อาร์มิเนีย,12,9,23,3,47
คาเมรูน,7,2,29,8,46
มอลต้า,14,6,19,7,46
ตูนิเซีย,13,7,16,9,45
อาเซอร์ไบจาน,15,9,15,6,45
มาลี,3,2,21,17,43
มองโกเลีย,14,6,19,3,42
ปาเลสติเนียน,10,5,12,12,39
มอริเชียส,13,6,12,8,39
เวเนซุเอลา,7,5,23,4,39
ซูดาน  ,2,2,24,5,33
โดนิมิกัน,10,2,17,3,32
ลิเบีย,8,2,18,3,31
บรูไน,9,2,17,2,30
จอร์เจีย,12,10,3,1,26
เอกวาดอร์,8,5,9,4,26
มาดากัสกา,8,2,9,5,24
อูกันตา,7,6,6,5,24
แทนซาเนีย,6,3,11,3,23
ลิกเตนสไตน์,7,6,6,4,23
บอสเนีย,5,7,6,4,22
ฟิจิ,7,2,11,1,21
เมาลิเทียส,9,6,5,1,21
คิวบา,6,4,8,2,20
คองโก,5,2,8,4,19
อุรุกวัย,3,3,9,4,19
ไซปรัส,5,5,4,2,16
