สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,55296,130248,7940,12899,206383
จีน,42900,10779,32165,7776,93620
ไทยใหญ่,2621,1864,12797,19039,36321
รัสเซีย,9893,12762,4199,2952,29806
อังกฤษ,4445,3501,13300,7475,28721
อเมริกัน,5872,3651,11839,5842,27204
เยอรมัน,4279,3861,9915,7436,25491
ญี่ปุ่น,3957,1881,14204,4775,24817
อินเดีย,3290,2817,8413,6659,21179
ฝรั่งเศส,3303,3115,7985,6004,20407
กัมพูชา,8278,5481,1522,964,16245
ลาว,8066,3871,3026,1210,16173
ออสเตรเลีย,2966,1947,6332,3375,14620
เกาหลี ,3862,1275,6721,1061,12919
ฟิลิปปินส์,2020,1419,4609,2914,10962
สวิสเซอร์แลนด์,1351,1108,4746,3375,10580
ไทยลื้อ,889,525,3797,3912,9123
สวีเดน ,1151,1095,3211,2490,7947
บริติช,1191,805,3619,1809,7424
แคนาดา,1394,1011,3047,1758,7210
อิตาลี,915,927,2951,2406,7199
เนเธอร์แลนด์,736,647,2412,1609,5404
กะเหรี่ยง,665,692,1285,2300,4942
นอรเวย์,662,591,2025,1498,4776
ไต้หวัน,1108,335,2659,377,4479
เบลเยี่ยม,583,534,1766,1300,4183
มาเลเซีย,595,233,1838,533,3199
เดนมาร์ค,540,515,1179,849,3083
สิงคโปร์,783,255,1548,348,2934
ออสเตรีย,448,447,1068,816,2779
บุคคลพื้นที่สูง,247,204,884,1436,2771
ปากีสถาน,559,409,980,574,2522
อิสราเอล,683,479,693,480,2335
ฟินแลนด์ ,341,329,905,749,2324
อาข่า,368,464,558,922,2312
ดัตช์,347,281,1026,635,2289
ยูเครน,787,799,367,302,2255
นิวซีแลนด์,418,251,875,449,1993
แอฟริกาใต้,426,313,750,419,1908
ลั๊ว,184,134,666,834,1818
เวียดนาม,683,130,739,208,1760
มอญ,156,108,624,605,1493
ฮ่องกง,480,184,572,121,1357
ตุรกี,399,271,431,249,1350
สเปน,292,241,474,323,1330
โปแลนด์,303,401,265,182,1151
อินโดนีเซีย,291,104,577,169,1141
อิหร่าน,206,120,462,288,1076
ลาหู่,140,126,343,432,1041
ไอซ์แลนด์,185,140,429,258,1012
ไอริช  ,212,177,401,216,1006
บังคลาเทศ,225,125,422,211,983
เนปาล,144,97,269,166,676
บราซิล,164,115,252,103,634
ลีซู,82,79,192,269,622
ไนจีเรีย ,159,41,273,70,543
ฮังการี ,112,119,169,115,515
คาซัคสถาน,156,153,115,63,487
ศรีลังกา,100,58,213,80,451
แคเมอรูน,65,28,242,103,438
เบลารุส,124,157,80,71,432
กินี,45,34,161,144,384
โปรตุเกส,89,68,128,48,333
ปะหร่อง,31,23,112,158,324
สาธารณรัฐเช็ก,87,86,84,54,311
อียิปต์,56,33,136,65,290
คูเวต,61,65,81,55,262
โรมาเนีย,68,53,89,46,256
ลักเซมเบิร์ก,48,43,99,63,253
เอสโตเนีย,64,79,50,54,247
ฮอลแลนด์,17,13,130,74,234
กรีซ,32,28,87,69,216
สหราชอาณาจักร,71,76,38,29,214
ลิทัวเนีย,52,67,51,37,207
วานูอาตู,96,12,79,16,203
จีนฮ่อ,16,11,89,84,200
โมร็อกโก,40,56,58,40,194
อุซเบกีสถาน,50,42,67,26,185
เคนยา,66,32,58,19,175
เชคโกสโลวาเกีย,52,41,42,31,166
สโลเวเนีย,37,41,47,39,164
ซีเรีย,30,15,71,41,157
เซอร์เบีย,29,36,47,37,149
เม็กซิกัน,44,14,66,22,146
อาร์เจนตินา,30,27,57,30,144
ม้ง,48,14,42,32,136
ลักเวีย,40,41,30,25,136
กาน่า,20,13,70,31,134
โคลัมเบีย,36,18,55,25,134
จอร์แดน ,25,14,61,22,122
เลบานอน,20,17,60,24,121
อาฟกานิสถาน,27,22,46,26,121
ภูฏาน,28,14,48,26,116
บัลแกเรีย,28,26,38,20,112
ชิลี ,34,22,38,17,111
มัลดีฟ ,37,26,30,16,109
เปรู,28,9,48,17,102
สโลวัค,19,19,38,24,100
เชครีพับลิก,23,33,25,17,98
ซาอุดิอาระเบีย,36,14,36,11,97
อิรัก ,12,6,50,26,94
โครเอเชีย,12,20,33,27,92
อาฟริกา,3,2,48,33,86
บาห์เรน,16,18,36,13,83
ยูกันดา,23,6,34,16,79
ซิมบับเว,31,11,23,13,78
อาหรับเอมิเรตส์,27,24,20,7,78
ปะโอ,6,0,26,41,73
คีร์กิซ,15,25,18,11,69
เซนต์คิตส์เนวิส,22,8,28,5,63
แอลจีเรีย,19,9,25,9,62
มอลโดวา,20,14,17,10,61
คะฉิ่น,6,7,16,29,58
เยเมน,9,5,27,17,58
เฮเลนิค,11,15,19,12,57
โอมาน,19,9,19,5,52
เติร์กเมนิสถาน,15,13,11,10,49
เอธิโอเปีย,18,7,21,3,49
คาเมรูน,5,1,30,8,44
มองโกเลีย,15,8,18,3,44
มอลต้า,12,6,19,7,44
อาเซอร์ไบจาน,14,9,15,6,44
อาร์มิเนีย,13,8,20,3,44
ตูนิเซีย,13,7,15,7,42
มาลี,2,2,21,16,41
มอริเชียส,13,6,12,7,38
ปาเลสติเนียน,7,6,12,11,36
เวเนซุเอลา,5,5,22,4,36
โดนิมิกัน,13,2,17,3,35
ซูดาน  ,3,2,24,5,34
ลิเบีย,9,2,19,3,33
บรูไน,8,2,17,2,29
เอกวาดอร์,10,8,8,3,29
มาดากัสกา,6,3,10,7,26
อุรุกวัย,4,7,9,4,24
อูกันตา,8,6,5,5,24
จอร์เจีย,11,9,1,1,22
เมาลิเทียส,9,6,4,1,20
คิวบา,4,4,9,2,19
แทนซาเนีย,4,1,11,3,19
มาลากาซี,7,4,5,3,19
ลิกเตนสไตน์,5,4,6,4,19
คองโก,5,3,7,3,18
แกมเบีย,3,3,6,5,17
บอสเนีย,3,4,6,4,17
