สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,52839,124843,7842,13021,198545
จีน,39866,9943,31311,7573,88693
ไทยใหญ่,2657,1839,13064,19594,37154
รัสเซีย,10212,13736,3862,2669,30479
อังกฤษ,4348,3426,13295,7441,28510
อเมริกัน,5774,3588,11708,5746,26816
เยอรมัน,4191,3760,9731,7266,24948
ญี่ปุ่น,4006,1886,14258,4753,24903
อินเดีย,3255,2785,8308,6612,20960
ฝรั่งเศส,3196,2964,7903,5937,20000
กัมพูชา,8111,5419,1483,975,15988
ลาว,7826,3752,3006,1235,15819
ออสเตรเลีย,2877,1890,6299,3365,14431
เกาหลี ,3806,1206,6705,1061,12778
ฟิลิปปินส์,2036,1439,4552,2892,10919
สวิสเซอร์แลนด์,1322,1070,4692,3330,10414
ไทยลื้อ,902,521,3764,3953,9140
สวีเดน ,1114,1046,3185,2457,7802
บริติช,1187,781,3530,1752,7250
อิตาลี,896,914,2935,2380,7125
แคนาดา,1365,983,2995,1718,7061
เนเธอร์แลนด์,725,613,2384,1603,5325
กะเหรี่ยง,642,660,1312,2471,5085
นอรเวย์,663,588,1976,1454,4681
ไต้หวัน,1056,327,2607,362,4352
เบลเยี่ยม,585,531,1738,1279,4133
มาเลเซีย,579,221,1825,527,3152
เดนมาร์ค,520,470,1165,836,2991
สิงคโปร์,780,248,1519,346,2893
บุคคลพื้นที่สูง,254,211,915,1470,2850
ออสเตรีย,440,426,1029,779,2674
ปากีสถาน,556,391,981,571,2499
อิสราเอล,636,451,698,483,2268
ดัตช์,335,266,1027,636,2264
ฟินแลนด์ ,326,312,890,733,2261
อาข่า,371,437,514,883,2205
ยูเครน,755,769,349,288,2161
นิวซีแลนด์,402,236,871,445,1954
ลั๊ว,195,135,680,890,1900
แอฟริกาใต้,421,308,743,416,1888
เวียดนาม,642,131,737,211,1721
มอญ,152,105,658,653,1568
ฮ่องกง,483,172,546,113,1314
สเปน,281,232,466,319,1298
ตุรกี,383,246,423,240,1292
อินโดนีเซีย,264,100,571,167,1102
โปแลนด์,295,364,260,178,1097
อิหร่าน,214,127,460,283,1084
ลาหู่,142,126,344,438,1050
ไอริช  ,213,173,397,216,999
ไอซ์แลนด์,166,126,435,260,987
บังคลาเทศ,212,117,421,209,959
เนปาล,142,89,267,164,662
บราซิล,170,109,248,105,632
ลีซู,76,74,189,269,608
ไนจีเรีย ,151,43,271,70,535
ฮังการี ,106,114,169,115,504
คาซัคสถาน,153,145,111,61,470
ศรีลังกา,102,62,207,75,446
แคเมอรูน,67,30,241,105,443
เบลารุส,124,157,75,67,423
กินี,38,28,161,145,372
โปรตุเกส,92,69,131,50,342
ปะหร่อง,32,26,117,159,334
สาธารณรัฐเช็ก,87,83,77,50,297
อียิปต์,59,33,132,64,288
คูเวต,61,65,83,56,265
ลักเซมเบิร์ก,46,38,98,62,244
โรมาเนีย,62,47,88,44,241
ฮอลแลนด์,18,13,135,75,241
เอสโตเนีย,59,72,47,52,230
สหราชอาณาจักร,71,76,39,30,216
กรีซ,32,30,84,66,212
ลิทัวเนีย,48,70,48,37,203
จีนฮ่อ,18,11,88,85,202
วานูอาตู,95,14,70,15,194
โมร็อกโก,38,49,57,40,184
เคนยา,63,32,55,18,168
สโลเวเนีย,37,39,47,40,163
อุซเบกีสถาน,40,34,61,25,160
