สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,57748,134222,8241,12980,213191
จีน,46874,11832,33988,8182,100876
ไทยใหญ่,2619,1903,13169,19242,36933
รัสเซีย,9488,11899,4685,3359,29431
อังกฤษ,4528,3585,13404,7576,29093
อเมริกัน,6019,3773,12127,6018,27937
เยอรมัน,4367,4025,10122,7578,26092
ญี่ปุ่น,3868,1849,14161,4784,24662
อินเดีย,3302,2834,8573,6798,21507
ฝรั่งเศส,3396,3287,8092,6093,20868
ลาว,8320,4082,3057,1211,16670
กัมพูชา,8358,5498,1544,988,16388
ออสเตรเลีย,3022,1987,6405,3427,14841
เกาหลี ,3881,1344,6739,1067,13031
ฟิลิปปินส์,1987,1428,4763,3020,11198
สวิสเซอร์แลนด์,1361,1119,4804,3407,10691
ไทยลื้อ,882,549,3907,3968,9306
สวีเดน ,1139,1125,3194,2485,7943
บริติช,1165,798,3744,1889,7596
แคนาดา,1421,1034,3123,1800,7378
อิตาลี,935,934,2981,2421,7271
เนเธอร์แลนด์,771,702,2421,1610,5504
กะเหรี่ยง,710,756,1350,2390,5206
นอรเวย์,698,624,2010,1490,4822
ไต้หวัน,1208,369,2746,392,4715
เบลเยี่ยม,597,535,1800,1332,4264
มาเลเซีย,581,226,1877,549,3233
เดนมาร์ค,525,523,1193,859,3100
สิงคโปร์,781,267,1591,360,2999
ออสเตรีย,479,468,1071,823,2841
บุคคลพื้นที่สูง,233,185,914,1446,2778
ปากีสถาน,591,444,1001,588,2624
อิสราเอล,757,536,719,497,2509
อาข่า,402,498,596,972,2468
ยูเครน,823,811,390,323,2347
ฟินแลนด์ ,347,335,898,745,2325
ดัตช์,337,290,1032,647,2306
นิวซีแลนด์,429,272,889,455,2045
แอฟริกาใต้,420,313,788,433,1954
ลั๊ว,187,137,691,851,1866
เวียดนาม,711,127,765,213,1816
มอญ,157,107,651,628,1543
ตุรกี,435,304,443,249,1431
สเปน,308,257,500,348,1413
ฮ่องกง,476,195,601,128,1400
โปแลนด์,327,486,281,201,1295
อินโดนีเซีย,279,101,584,171,1135
ลาหู่,145,139,363,447,1094
อิหร่าน,197,110,470,300,1077
บังคลาเทศ,242,142,430,220,1034
ไอริช  ,203,171,418,231,1023
ไอซ์แลนด์,187,142,428,257,1014
เนปาล,158,104,274,168,704
บราซิล,167,117,259,109,652
ลีซู,82,68,200,282,632
ไนจีเรีย ,169,45,273,70,557
ฮังการี ,122,131,174,114,541
คาซัคสถาน,153,153,114,63,483
ศรีลังกา,110,67,216,83,476
แคเมอรูน,70,32,250,100,452
เบลารุส,118,142,90,76,426
กินี,42,34,164,143,383
โปรตุเกส,94,70,134,53,351
ปะหร่อง,28,24,123,164,339
สาธารณรัฐเช็ก,84,92,88,54,318
อียิปต์,54,32,139,67,292
เอสโตเนีย,75,83,54,59,271
โรมาเนีย,76,57,86,45,264
คูเวต,58,63,81,54,256
ลักเซมเบิร์ก,47,42,100,64,253
สหราชอาณาจักร,84,89,40,28,241
ฮอลแลนด์,15,10,129,71,225
