สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,54081,127183,7924,13063,202251
จีน,41403,10321,31691,7678,91093
ไทยใหญ่,2649,1847,13126,19623,37245
รัสเซีย,10062,13314,4046,2822,30244
อังกฤษ,4397,3457,13282,7439,28575
อเมริกัน,5796,3603,11778,5785,26962
เยอรมัน,4261,3839,9788,7319,25207
ญี่ปุ่น,3966,1888,14208,4754,24816
อินเดีย,3267,2785,8352,6656,21060
ฝรั่งเศส,3231,3028,7947,5972,20178
กัมพูชา,8202,5448,1502,976,16128
ลาว,7969,3824,3024,1229,16046
ออสเตรเลีย,2914,1924,6299,3369,14506
เกาหลี ,3820,1236,6739,1061,12856
ฟิลิปปินส์,2031,1431,4563,2888,10913
สวิสเซอร์แลนด์,1320,1066,4724,3364,10474
ไทยลื้อ,892,521,3802,3972,9187
สวีเดน ,1137,1076,3193,2475,7881
บริติช,1185,792,3560,1773,7310
อิตาลี,894,915,2944,2388,7141
แคนาดา,1374,985,3024,1740,7123
เนเธอร์แลนด์,725,627,2398,1606,5356
กะเหรี่ยง,649,681,1321,2464,5115
นอรเวย์,663,593,1998,1475,4729
ไต้หวัน,1075,333,2628,368,4404
เบลเยี่ยม,587,542,1755,1286,4170
มาเลเซีย,586,228,1828,529,3171
เดนมาร์ค,521,492,1166,842,3021
สิงคโปร์,781,255,1534,348,2918
บุคคลพื้นที่สูง,251,207,904,1476,2838
ออสเตรีย,449,432,1046,794,2721
ปากีสถาน,550,396,986,579,2511
อิสราเอล,656,463,696,482,2297
ดัตช์,341,276,1026,636,2279
ฟินแลนด์ ,331,313,893,735,2272
อาข่า,368,442,540,905,2255
ยูเครน,762,788,360,297,2207
นิวซีแลนด์,415,243,886,454,1998
แอฟริกาใต้,431,316,749,421,1917
ลั๊ว,191,137,680,879,1887
เวียดนาม,671,126,740,213,1750
มอญ,153,104,664,655,1576
ตุรกี,392,264,430,245,1331
ฮ่องกง,474,183,556,114,1327
สเปน,290,232,467,320,1309
อินโดนีเซีย,285,104,572,166,1127
โปแลนด์,298,376,259,179,1112
อิหร่าน,206,121,460,285,1072
ลาหู่,138,125,349,443,1055
ไอซ์แลนด์,177,129,432,259,997
ไอริช  ,209,173,398,217,997
บังคลาเทศ,218,119,424,212,973
เนปาล,137,89,268,164,658
บราซิล,167,114,251,104,636
ลีซู,81,80,190,270,621
ไนจีเรีย ,155,41,270,69,535
ฮังการี ,110,118,170,116,514
คาซัคสถาน,157,155,111,62,485
ศรีลังกา,104,61,210,78,453
แคเมอรูน,63,30,242,105,440
เบลารุส,124,159,78,71,432
กินี,39,29,160,144,372
โปรตุเกส,92,70,129,48,339
ปะหร่อง,32,25,117,160,334
สาธารณรัฐเช็ก,88,87,80,52,307
อียิปต์,57,32,134,64,287
คูเวต,63,67,81,54,265
โรมาเนีย,69,52,89,44,254
ลักเซมเบิร์ก,47,42,99,62,250
ฮอลแลนด์,18,13,132,75,238
เอสโตเนีย,59,68,47,52,226
กรีซ,33,29,86,67,215
สหราชอาณาจักร,71,76,38,29,214
จีนฮ่อ,17,9,89,87,202
วานูอาตู,98,13,74,16,201
ลิทัวเนีย,48,64,50,37,199
โมร็อกโก,39,53,58,40,190
เคนยา,67,33,56,19,175
อุซเบกีสถาน,46,39,63,26,174
สโลเวเนีย,38,36,47,40,161
เชคโกสโลวาเกีย,50,37,42,31,160
ซีเรีย,28,15,74,41,158
เซอร์เบีย,32,39,45,35,151
เม็กซิกัน,43,14,65,22,144
กาน่า,21,13,69,31,134
โคลัมเบีย,36,18,54,24,132
อาร์เจนตินา,25,23,56,28,132
ม้ง,42,12,43,33,130
ลักเวีย,39,40,28,23,130
จอร์แดน ,25,15,62,22,124
เลบานอน,20,18,60,24,122
อาฟกานิสถาน,27,22,46,26,121
ภูฏาน,32,14,47,26,119
บัลแกเรีย,27,24,38,20,109
มัลดีฟ ,35,26,30,16,107
ชิลี ,30,18,38,17,103
เปรู,27,10,48,15,100
สโลวัค,19,20,37,22,98
ซาอุดิอาระเบีย,37,13,36,11,97
เชครีพับลิก,22,34,25,15,96
อิรัก ,12,6,51,25,94
บาห์เรน,18,20,38,15,91
โครเอเชีย,11,17,33,27,88
อาฟริกา,3,2,49,33,87
อาหรับเอมิเรตส์,28,23,20,8,79
ยูกันดา,22,6,34,16,78
ปะโอ,7,0,26,41,74
ซิมบับเว,27,10,23,12,72
คีร์กิซ,14,22,18,10,64
เซนต์คิตส์เนวิส,23,8,25,5,61
แอลจีเรีย,19,8,25,9,61
มอลโดวา,19,14,17,10,60
เยเมน,11,5,27,17,60
เฮเลนิค,12,16,19,13,60
คะฉิ่น,6,7,16,29,58
เติร์กเมนิสถาน,15,13,12,10,50
โอมาน,18,8,19,5,50
เอธิโอเปีย,18,7,21,3,49
อาร์มิเนีย,13,9,22,3,47
มอลต้า,11,6,19,7,43
ตูนิเซีย,14,7,14,7,42
อาเซอร์ไบจาน,13,9,14,6,42
คาเมรูน,4,0,29,8,41
มองโกเลีย,13,7,18,3,41
มาลี,2,2,21,16,41
ปาเลสติเนียน,7,6,13,11,37
มอริเชียส,13,5,12,7,37
ซูดาน  ,2,1,25,5,33
โดนิมิกัน,11,2,17,3,33
ลิเบีย,8,2,19,3,32
เวเนซุเอลา,4,3,21,4,32
บรูไน,8,2,17,2,29
เอกวาดอร์,10,8,8,3,29
อุรุกวัย,4,10,9,4,27
มาดากัสกา,6,3,10,7,26
อูกันตา,7,5,5,5,22
จอร์เจีย,11,8,1,1,21
เมาลิเทียส,10,6,4,1,21
คิวบา,5,4,9,2,20
มาลากาซี,8,4,5,3,20
ลิกเตนสไตน์,5,4,6,4,19
คองโก,6,4,6,2,18
แทนซาเนีย,4,0,11,3,18
แกมเบีย,3,3,6,5,17
บอสเนีย,3,4,6,4,17
