สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,65258,158532,9242,12900,245932
จีน,57229,14113,39893,9219,120454
ไทยใหญ่,1921,1541,12546,17781,33789
รัสเซีย,9524,12023,5877,4260,31684
อังกฤษ,5013,3926,13720,7932,30591
อเมริกัน,6572,4142,12992,6553,30259
เยอรมัน,4969,4667,10749,8062,28447
ญี่ปุ่น,3575,1748,14334,4966,24623
ฝรั่งเศส,3803,3939,8556,6503,22801
อินเดีย,3280,3049,9136,7283,22748
ลาว,9617,5177,3149,1185,19128
ออสเตรเลีย,3330,2188,6761,3656,15935
กัมพูชา,7854,5194,1674,1001,15723
เกาหลี ,3732,1452,7096,1171,13451
ฟิลิปปินส์,1933,1389,5139,3199,11660
สวิสเซอร์แลนด์,1404,1167,5090,3604,11265
บริติช,1379,975,4111,2082,8547
สวีเดน ,1201,1238,3207,2500,8146
แคนาดา,1540,1144,3324,1936,7944
อิตาลี,997,1024,3073,2511,7605
ไทยลื้อ,568,407,3307,3317,7599
เนเธอร์แลนด์,815,799,2508,1678,5800
ไต้หวัน,1615,541,3062,475,5693
กะเหรี่ยง,747,885,1471,2369,5472
นอรเวย์,721,639,2068,1539,4967
เบลเยี่ยม,647,602,1893,1413,4555
มาเลเซีย,623,253,1939,572,3387
เดนมาร์ค,570,565,1250,903,3288
สิงคโปร์,801,294,1699,385,3179
อิสราเอล,991,712,868,583,3154
ออสเตรีย,536,503,1142,898,3079
ปากีสถาน,621,464,1100,662,2847
ยูเครน,924,981,489,373,2767
อาข่า,422,551,675,1044,2692
ดัตช์,363,323,1067,683,2436
ฟินแลนด์ ,333,319,924,761,2337
บุคคลพื้นที่สูง,164,124,766,1226,2280
นิวซีแลนด์,464,311,926,477,2178
แอฟริกาใต้,448,322,851,483,2104
เวียดนาม,858,148,830,222,2058
โปแลนด์,457,744,324,238,1763
ลั๊ว,95,99,695,801,1690
ตุรกี,513,414,491,262,1680
สเปน,339,316,551,381,1587
ฮ่องกง,476,198,724,155,1553
มอญ,149,106,660,573,1488
อินโดนีเซีย,279,106,624,186,1195
บังคลาเทศ,293,177,470,240,1180
ไอริช  ,220,184,475,266,1145
อิหร่าน,187,128,498,321,1134
ลาหู่,142,130,396,464,1132
ไอซ์แลนด์,226,190,437,264,1117
เนปาล,146,100,297,181,724
บราซิล,164,137,276,120,697
ลีซู,74,60,211,299,644
ฮังการี ,162,168,185,129,644
ไนจีเรีย ,171,50,307,71,599
คาซัคสถาน,178,202,134,74,588
ศรีลังกา,125,73,232,95,525
แคเมอรูน,99,40,252,94,485
เบลารุส,130,161,106,88,485
สหราชอาณาจักร,146,144,68,46,404
โปรตุเกส,105,95,141,60,401
สาธารณรัฐเช็ก,89,102,113,77,381
กินี,29,27,163,140,359
ปะหร่อง,18,18,143,173,352
อียิปต์,64,47,141,69,321
เอสโตเนีย,90,107,60,60,317
โรมาเนีย,90,69,95,52,306
ลักเซมเบิร์ก,58,49,109,72,288
คูเวต,48,85,93,56,282
อุซเบกีสถาน,76,62,73,30,241
เชคโกสโลวาเกีย,75,79,46,30,230
วานูอาตู,90,14,106,20,230
เคนยา,89,36,77,27,229
ลิทัวเนีย,54,73,58,42,227
กรีซ,37,32,87,68,224
โมร็อกโก,49,74,56,43,222
ม้ง,90,38,53,30,211
ฮอลแลนด์,10,6,118,63,197
เซอร์เบีย,38,47,54,45,184
สโลเวเนีย,43,46,53,42,184
จีนฮ่อ,19,13,77,74,183
อาร์เจนตินา,46,45,58,31,180
กาน่า,42,24,75,33,174
ลักเวีย,53,63,30,28,174
เม็กซิกัน,46,20,81,22,169
ซีเรีย,20,17,75,43,155
โคลัมเบีย,34,30,56,25,145
ภูฏาน,45,17,58,25,145
จอร์แดน ,30,17,68,28,143
ชิลี ,39,29,49,24,141
เลบานอน,22,22,67,30,141
สโลวัค,32,38,41,28,139
บัลแกเรีย,35,30,43,26,134
อาฟกานิสถาน,20,13,54,29,116
อาหรับเอมิเรตส์,38,40,25,12,115
มัลดีฟ ,28,28,36,20,112
โครเอเชีย,20,26,36,29,111
ซาอุดิอาระเบีย,25,15,58,13,111
เชครีพับลิก,24,26,32,24,106
เปรู,27,11,49,18,105
ยูกันดา,34,14,39,18,105
ซิมบับเว,40,15,32,16,103
บาห์เรน,19,26,36,16,97
คีร์กิซ,34,27,19,13,93
อิรัก ,17,8,44,23,92
อาฟริกา,2,2,46,28,78
ปะโอ,1,1,35,40,77
เยเมน,15,8,34,17,74
เซนต์คิตส์เนวิส,22,8,36,7,73
เฮเลนิค,13,17,24,15,69
แอลจีเรีย,14,11,28,9,62
อาร์มิเนีย,20,10,22,4,56
คะฉิ่น,6,3,16,30,55
เอธิโอเปีย,14,10,27,4,55
มองโกเลีย,17,3,26,8,54
มอลโดวา,16,15,16,7,54
โอมาน,17,12,19,4,52
คาเมรูน,8,4,28,9,49
มาลี,3,4,24,18,49
ตูนิเซีย,11,11,18,8,48
อาเซอร์ไบจาน,17,10,15,5,47
มอลต้า,10,5,20,8,43
โดนิมิกัน,11,5,22,4,42
เติร์กเมนิสถาน,11,5,13,13,42
มอริเชียส,12,4,13,10,39
ปาเลสติเนียน,7,2,14,14,37
เวเนซุเอลา,7,4,21,5,37
เอกวาดอร์,14,3,11,6,34
ซูดาน  ,4,1,23,5,33
มาดากัสกา,8,3,13,8,32
บรูไน,8,2,18,2,30
ลิกเตนสไตน์,7,6,9,7,29
ไซปรัส,8,9,8,3,28
ลิเบีย,6,2,17,3,28
แทนซาเนีย,6,6,11,4,27
ฟิจิ,10,3,13,1,27
คองโก,10,4,8,4,26
จอร์เจีย,8,9,6,3,26
อูกันตา,8,2,8,6,24
บอสเนีย,6,7,5,5,23
คิวบา,5,4,10,3,22
อุรุกวัย,4,6,9,3,22
แกมเบีย,1,2,8,9,20
กรีนาดา,8,8,2,0,18
