สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,61559,144794,8757,13053,228163
จีน,52931,13266,37203,8783,112183
ไทยใหญ่,2500,1905,13276,19146,36827
รัสเซีย,9409,11644,5271,3837,30161
อังกฤษ,4771,3787,13565,7741,29864
อเมริกัน,6403,3972,12520,6297,29192
เยอรมัน,4677,4328,10303,7706,27014
ญี่ปุ่น,3772,1819,14321,4923,24835
อินเดีย,3354,3013,8900,7084,22351
ฝรั่งเศส,3634,3624,8274,6226,21758
ลาว,9071,4706,3128,1203,18108
กัมพูชา,8401,5517,1639,1001,16558
ออสเตรเลีย,3242,2162,6608,3551,15563
เกาหลี ,3973,1477,6963,1110,13523
ฟิลิปปินส์,1975,1429,4951,3105,11460
สวิสเซอร์แลนด์,1384,1127,4913,3487,10911
ไทยลื้อ,856,571,3787,3808,9022
บริติช,1248,860,3909,1974,7991
สวีเดน ,1176,1169,3125,2418,7888
แคนาดา,1488,1086,3219,1845,7638
อิตาลี,947,975,3023,2454,7399
เนเธอร์แลนด์,802,749,2459,1650,5660
กะเหรี่ยง,751,858,1423,2445,5477
ไต้หวัน,1427,451,2929,439,5246
นอรเวย์,729,650,2005,1486,4870
เบลเยี่ยม,629,569,1832,1358,4388
มาเลเซีย,639,254,1926,567,3386
เดนมาร์ค,555,562,1203,858,3178
สิงคโปร์,804,262,1646,374,3086
ออสเตรีย,513,500,1076,828,2917
อิสราเอล,879,623,791,536,2829
ปากีสถาน,625,471,1059,628,2783
อาข่า,447,590,640,1010,2687
บุคคลพื้นที่สูง,201,153,873,1380,2607
ยูเครน,888,872,446,358,2564
ดัตช์,350,300,1044,655,2349
ฟินแลนด์ ,344,336,888,731,2299
นิวซีแลนด์,455,301,912,471,2139
แอฟริกาใต้,425,312,827,466,2030
เวียดนาม,756,141,787,220,1904
ลั๊ว,171,132,685,839,1827
มอญ,157,107,681,640,1585
ตุรกี,476,361,471,251,1559
ฮ่องกง,481,205,673,139,1498
สเปน,317,278,527,365,1487
โปแลนด์,388,573,296,217,1474
อินโดนีเซีย,277,97,593,177,1144
ลาหู่,144,137,383,470,1134
อิหร่าน,199,127,485,311,1122
บังคลาเทศ,244,156,454,225,1079
