สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,33399,83012,7092,13207,136710
จีน,24885,5958,27180,6867,64890
ไทยใหญ่,2213,1311,12246,19792,35562
อังกฤษ,3944,3063,13232,7206,27445
รัสเซีย,8547,11763,3001,1989,25300
ญี่ปุ่น,4010,1748,14631,4773,25162
อเมริกัน,5089,3101,11075,5348,24613
เยอรมัน,3746,3220,9222,6851,23039
อินเดีย,2996,2454,7790,6216,19456
ฝรั่งเศส,2788,2467,7535,5606,18396
ลาว,6504,2912,2810,1170,13396
ออสเตรเลีย,2487,1584,6076,3205,13352
กัมพูชา,6681,4569,1194,898,13342
เกาหลี ,3189,930,6487,1026,11632
ฟิลิปปินส์,1943,1323,4214,2692,10172
สวิสเซอร์แลนด์,1166,965,4529,3172,9832
ไทยลื้อ,658,351,3520,3926,8455
สวีเดน ,1101,1009,3248,2496,7854
อิตาลี,876,866,2856,2294,6892
แคนาดา,1207,836,2784,1591,6418
บริติช,1141,708,3035,1501,6385
เนเธอร์แลนด์,713,557,2318,1562,5150
นอรเวย์,684,598,1969,1447,4698
กะเหรี่ยง,378,357,1222,2521,4478
เบลเยี่ยม,518,442,1675,1226,3861
ไต้หวัน,931,245,2294,290,3760
บุคคลพื้นที่สูง,310,255,946,1613,3124
มาเลเซีย,596,213,1730,498,3037
เดนมาร์ค,508,438,1141,816,2903
สิงคโปร์,719,213,1411,322,2665
ออสเตรีย,380,339,963,718,2400
ฟินแลนด์ ,331,305,897,738,2271
ปากีสถาน,438,280,915,554,2187
ดัตช์,290,224,980,587,2081
นิวซีแลนด์,368,241,849,415,1873
ลั๊ว,177,117,629,910,1833
อิสราเอล,413,322,639,416,1790
ยูเครน,547,598,282,242,1669
แอฟริกาใต้,377,255,650,363,1645
อาข่า,201,192,387,717,1497
มอญ,150,85,603,651,1489
เวียดนาม,492,91,676,210,1469
สเปน,269,195,447,300,1211
ฮ่องกง,510,151,381,71,1113
อิหร่าน,185,124,457,285,1051
ตุรกี,262,172,390,224,1048
อินโดนีเซีย,229,83,534,151,997
ไอซ์แลนด์,166,120,433,265,984
บังคลาเทศ,172,99,404,206,881
ไอริช  ,170,130,358,196,854
ลาหู่,119,82,274,374,849
โปแลนด์,223,241,217,141,822
เนปาล,119,59,251,160,589
บราซิล,160,93,223,99,575
ลีซู,62,62,147,221,492
ไนจีเรีย ,107,28,256,59,450
ฮังการี ,85,87,158,107,437
แคเมอรูน,57,22,234,106,419
ศรีลังกา,98,55,197,62,412
คาซัคสถาน,115,105,96,55,371
กินี,26,13,168,152,359
เบลารุส,103,125,62,61,351
โปรตุเกส,87,54,119,47,307
ปะหร่อง,28,20,94,137,279
ฮอลแลนด์,17,15,155,82,269
อียิปต์,57,31,120,55,263
สาธารณรัฐเช็ก,63,56,70,44,233
คูเวต,53,59,69,49,230
ลักเซมเบิร์ก,46,35,90,57,228
กรีซ,31,28,86,67,212
จีนฮ่อ,16,8,89,87,200
โรมาเนีย,49,30,76,40,195
เอสโตเนีย,48,78,33,36,195
ลิทัวเนีย,42,56,46,33,177
วานูอาตู,117,18,24,7,166
สโลเวเนีย,33,31,44,42,150
เคนยา,49,22,55,19,145
เซอร์เบีย,33,34,40,34,141
โมร็อกโก,28,30,48,33,139
ซีเรีย,21,8,68,41,138
เม็กซิกัน,41,13,63,19,136
อุซเบกีสถาน,34,25,55,18,132
กาน่า,22,7,59,34,122
อาร์เจนตินา,24,13,55,28,120
เชคโกสโลวาเกีย,31,19,39,30,119
โคลัมเบีย,26,14,54,24,118
จอร์แดน ,23,15,54,17,109
บาห์เรน,28,25,39,15,107
ภูฏาน,34,8,37,26,105
เลบานอน,18,12,54,20,104
อาฟกานิสถาน,27,20,37,18,102
ลักเวีย,29,31,22,16,98
อาฟริกา,6,4,50,37,97
ชิลี ,24,17,35,20,96
ม้ง,12,10,37,32,91
สหราชอาณาจักร,13,12,40,26,91
ซาอุดิอาระเบีย,34,10,33,10,87
อิรัก ,12,5,45,25,87
โครเอเชีย,9,11,37,27,84
เปรู,19,7,42,15,83
บัลแกเรีย,19,16,31,16,82
มัลดีฟ ,28,18,23,13,82
สโลวัค,13,13,34,21,81
เชครีพับลิก,23,21,20,12,76
อาหรับเอมิเรตส์,29,23,18,4,74
ปะโอ,9,3,18,36,66
ยูกันดา,22,5,25,13,65
ซิมบับเว,22,11,18,9,60
เยเมน,16,5,23,15,59
มาลี,5,3,28,21,57
คาเมรูน,5,0,33,13,51
เติร์กเมนิสถาน,11,14,13,11,49
มอลโดวา,14,11,14,10,49
โอมาน,19,9,15,4,47
เฮเลนิค,11,11,13,9,44
คีร์กิซ,7,11,13,11,42
แอลจีเรีย,13,4,18,7,42
มองโกเลีย,16,7,16,2,41
คะฉิ่น,5,5,8,22,40
ซูดาน  ,4,2,24,6,36
เซนต์คิตส์เนวิส,19,4,10,2,35
มอลต้า,7,6,16,4,33
อาร์มิเนีย,4,5,22,2,33
เอธิโอเปีย,9,1,20,3,33
ตูนิเซีย,6,3,14,7,30
เวเนซุเอลา,9,2,15,4,30
อาเซอร์ไบจาน,7,5,13,5,30
โดนิมิกัน,9,1,16,3,29
ปาเลสติเนียน,5,4,9,11,29
บรูไน,11,3,12,1,27
มอริเชียส,4,4,12,6,26
มาดากัสกา,3,2,13,8,26
ลิเบีย,10,1,12,2,25
อุรุกวัย,3,12,8,2,25
เอกวาดอร์,7,8,6,1,22
อูกันตา,7,5,4,5,21
แทนซาเนีย,5,2,10,3,20
บอสเนีย,4,6,6,3,19
ลิกเตนสไตน์,4,3,6,5,18
แกมเบีย,3,4,4,5,16
คองโก,3,2,7,3,15
จอร์เจีย,8,5,1,1,15
ฟิจิ,5,0,9,1,15
