สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,63664,152465,9076,12814,238019
จีน,56752,13964,39374,9102,119192
ไทยใหญ่,2027,1635,12550,17861,34073
รัสเซีย,9458,11919,5748,4161,31286
อังกฤษ,4961,3899,13648,7878,30386
อเมริกัน,6556,4136,12857,6487,30036
เยอรมัน,4924,4591,10653,7995,28163
ญี่ปุ่น,3625,1780,14294,4942,24641
อินเดีย,3280,3029,9109,7235,22653
ฝรั่งเศส,3747,3848,8480,6419,22494
ลาว,9516,5100,3122,1185,18923
กัมพูชา,7985,5268,1670,1003,15926
ออสเตรเลีย,3331,2205,6725,3628,15889
เกาหลี ,3759,1451,7080,1163,13453
ฟิลิปปินส์,1915,1381,5103,3193,11592
สวิสเซอร์แลนด์,1404,1153,5057,3577,11191
บริติช,1366,956,4067,2052,8441
สวีเดน ,1180,1215,3204,2486,8085
แคนาดา,1539,1120,3285,1894,7838
ไทยลื้อ,636,442,3305,3329,7712
อิตาลี,981,1011,3045,2485,7522
เนเธอร์แลนด์,824,789,2492,1665,5770
ไต้หวัน,1581,526,3043,471,5621
กะเหรี่ยง,745,873,1439,2339,5396
นอรเวย์,726,643,2050,1532,4951
เบลเยี่ยม,661,602,1874,1396,4533
มาเลเซีย,627,261,1931,566,3385
เดนมาร์ค,563,560,1236,895,3254
สิงคโปร์,819,286,1683,383,3171
อิสราเอล,982,697,852,569,3100
ออสเตรีย,530,502,1131,887,3050
ปากีสถาน,635,472,1086,651,2844
ยูเครน,918,960,476,367,2721
อาข่า,424,577,650,996,2647
ดัตช์,351,312,1073,684,2420
ฟินแลนด์ ,334,328,919,759,2340
บุคคลพื้นที่สูง,167,124,762,1223,2276
นิวซีแลนด์,470,312,917,469,2168
แอฟริกาใต้,438,317,848,481,2084
เวียดนาม,856,149,821,219,2045
ลั๊ว,101,106,692,800,1699
โปแลนด์,439,701,323,235,1698
ตุรกี,496,394,487,262,1639
สเปน,332,310,544,374,1560
ฮ่องกง,490,200,713,153,1556
มอญ,153,109,651,562,1475
อินโดนีเซีย,269,95,618,185,1167
บังคลาเทศ,283,176,464,235,1158
อิหร่าน,195,131,500,322,1148
ไอริช  ,219,185,466,261,1131
ลาหู่,146,134,383,459,1122
ไอซ์แลนด์,218,182,437,268,1105
เนปาล,149,102,294,181,726
บราซิล,168,133,274,119,694
ลีซู,74,60,212,299,645
ฮังการี ,155,162,185,126,628
ไนจีเรีย ,176,50,306,71,603
คาซัคสถาน,175,187,131,71,564
ศรีลังกา,121,72,228,93,514
แคเมอรูน,101,41,253,95,490
เบลารุส,127,157,105,87,476
โปรตุเกส,105,89,141,60,395
สหราชอาณาจักร,143,139,62,42,386
กินี,31,28,168,146,373
สาธารณรัฐเช็ก,86,101,108,72,367
ปะหร่อง,22,21,141,172,356
อียิปต์,64,49,142,69,324
โรมาเนีย,92,71,95,51,309
เอสโตเนีย,87,102,60,60,309
ลักเซมเบิร์ก,57,46,108,71,282
คูเวต,46,80,92,54,272
อุซเบกีสถาน,72,62,74,29,237
วานูอาตู,96,15,103,20,234
เคนยา,87,35,76,28,226
ลิทัวเนีย,54,70,58,41,223
เชคโกสโลวาเกีย,71,76,45,30,222
โมร็อกโก,49,73,56,42,220
กรีซ,35,30,87,67,219
ม้ง,91,38,50,31,210
ฮอลแลนด์,11,6,119,64,200
สโลเวเนีย,43,46,54,43,186
อาร์เจนตินา,47,47,59,31,184
เซอร์เบีย,38,47,54,44,183
จีนฮ่อ,19,14,76,72,181
ลักเวีย,52,62,29,27,170
กาน่า,38,23,75,33,169
เม็กซิกัน,46,20,81,22,169
ซีเรีย,21,18,77,44,160
ภูฏาน,46,18,57,26,147
จอร์แดน ,32,17,68,28,145
โคลัมเบีย,34,28,57,25,144
เลบานอน,22,23,66,29,140
ชิลี ,38,28,49,24,139
สโลวัค,30,36,42,28,136
บัลแกเรีย,34,30,43,26,133
อาหรับเอมิเรตส์,40,39,25,12,116
อาฟกานิสถาน,20,13,54,28,115
บาห์เรน,25,30,40,19,114
ซาอุดิอาระเบีย,25,16,58,13,112
มัลดีฟ ,27,26,36,20,109
โครเอเชีย,18,26,36,27,107
เชครีพับลิก,24,26,32,24,106
เปรู,27,12,49,18,106
ยูกันดา,33,12,39,18,102
ซิมบับเว,40,15,30,15,100
อิรัก ,17,8,45,24,94
คีร์กิซ,32,29,17,12,90
อาฟริกา,2,2,46,28,78
ปะโอ,1,1,34,39,75
เซนต์คิตส์เนวิส,21,9,36,7,73
เยเมน,15,8,33,16,72
เฮเลนิค,12,16,24,15,67
แอลจีเรีย,14,11,28,9,62
คะฉิ่น,6,3,16,31,56
เอธิโอเปีย,16,10,26,4,56
มอลโดวา,17,15,16,7,55
มองโกเลีย,18,4,25,7,54
โอมาน,17,13,19,4,53
อาร์มิเนีย,17,8,23,4,52
คาเมรูน,9,4,29,9,51
ตูนิเซีย,12,11,18,8,49
มาลี,3,4,24,18,49
อาเซอร์ไบจาน,16,12,15,5,48
มอลต้า,13,6,20,8,47
เติร์กเมนิสถาน,11,6,13,13,43
โดนิมิกัน,11,5,22,4,42
มอริเชียส,11,4,13,10,38
เวเนซุเอลา,7,4,20,4,35
ปาเลสติเนียน,7,2,13,12,34
ซูดาน  ,4,1,23,5,33
เอกวาดอร์,13,2,11,6,32
บรูไน,7,2,18,2,29
มาดากัสกา,7,3,12,7,29
ลิกเตนสไตน์,7,6,9,7,29
ไซปรัส,8,11,7,2,28
ฟิจิ,10,4,13,1,28
ลิเบีย,6,2,17,3,28
แทนซาเนีย,6,6,11,4,27
คองโก,9,4,8,4,25
จอร์เจีย,9,8,5,3,25
อูกันตา,8,2,8,6,24
บอสเนีย,6,7,5,5,23
คิวบา,5,4,10,3,22
อุรุกวัย,3,5,9,3,20
กรีนาดา,8,8,2,0,18
