สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,61474,145011,8807,12987,228279
จีน,53930,13496,37715,8841,113982
ไทยใหญ่,2429,1846,13149,18955,36379
รัสเซีย,9398,11626,5407,3921,30352
อังกฤษ,4851,3848,13576,7757,30032
อเมริกัน,6435,4028,12604,6336,29403
เยอรมัน,4730,4374,10349,7745,27198
ญี่ปุ่น,3756,1814,14342,4934,24846
อินเดีย,3316,3009,8963,7132,22420
ฝรั่งเศส,3681,3694,8330,6265,21970
ลาว,9174,4835,3144,1206,18359
กัมพูชา,8348,5456,1653,1013,16470
ออสเตรเลีย,3284,2186,6636,3563,15669
เกาหลี ,3992,1493,7001,1130,13616
ฟิลิปปินส์,1961,1420,5014,3146,11541
สวิสเซอร์แลนด์,1380,1117,4930,3498,10925
ไทยลื้อ,823,553,3596,3643,8615
บริติช,1268,882,3950,2000,8100
สวีเดน ,1169,1165,3139,2423,7896
แคนาดา,1501,1100,3238,1865,7704
อิตาลี,950,973,3042,2467,7432
เนเธอร์แลนด์,813,762,2458,1654,5687
กะเหรี่ยง,753,886,1441,2445,5525
ไต้หวัน,1485,476,2954,447,5362
นอรเวย์,726,647,2009,1494,4876
เบลเยี่ยม,639,584,1850,1366,4439
มาเลเซีย,647,258,1923,565,3393
เดนมาร์ค,566,575,1208,862,3211
สิงคโปร์,811,274,1657,374,3116
ออสเตรีย,525,505,1080,834,2944
อิสราเอล,906,640,798,540,2884
ปากีสถาน,635,481,1070,634,2820
อาข่า,453,592,645,1021,2711
ยูเครน,893,893,458,363,2607
บุคคลพื้นที่สูง,184,148,857,1352,2541
ดัตช์,355,308,1047,655,2365
ฟินแลนด์ ,344,336,893,733,2306
นิวซีแลนด์,459,298,914,475,2146
แอฟริกาใต้,441,315,835,473,2064
เวียดนาม,772,142,798,223,1935
ลั๊ว,163,129,685,832,1809
ตุรกี,489,369,470,253,1581
มอญ,155,106,680,639,1580
ฮ่องกง,490,213,683,142,1528
โปแลนด์,394,598,301,220,1513
สเปน,321,279,531,369,1500
อินโดนีเซีย,279,99,592,177,1147
ลาหู่,142,136,384,478,1140
อิหร่าน,201,125,494,313,1133
บังคลาเทศ,260,172,455,225,1112
ไอริช  ,218,179,451,248,1096
ไอซ์แลนด์,204,158,434,263,1059
เนปาล,153,107,290,172,722
บราซิล,163,128,276,120,687
ลีซู,81,67,208,299,655
ไนจีเรีย ,186,51,292,69,598
ฮังการี ,145,152,179,120,596
คาซัคสถาน,165,185,127,69,546
ศรีลังกา,122,73,227,89,511
แคเมอรูน,96,39,248,95,478
เบลารุส,134,149,96,81,460
กินี,33,31,172,149,385
โปรตุเกส,103,83,136,55,377
ปะหร่อง,25,25,133,174,357
สาธารณรัฐเช็ก,92,94,98,66,350
อียิปต์,61,37,148,72,318
สหราชอาณาจักร,120,121,43,27,311
โรมาเนีย,85,63,91,47,286
เอสโตเนีย,79,90,56,60,285
คูเวต,48,78,92,56,274
ลักเซมเบิร์ก,50,42,101,66,259
วานูอาตู,94,13,102,19,228
ลิทัวเนีย,57,75,55,40,227
กรีซ,33,35,88,69,225
อุซเบกีสถาน,64,57,70,29,220
เคนยา,88,31,69,26,214
โมร็อกโก,44,73,56,41,214
เชคโกสโลวาเกีย,68,68,45,30,211
ฮอลแลนด์,12,6,123,64,205
จีนฮ่อ,17,13,88,82,200
ม้ง,84,27,45,33,189
สโลเวเนีย,39,45,53,43,180
อาร์เจนตินา,44,39,60,31,174
