สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,43771,104337,7302,12826,168236
จีน,32305,8062,29247,7167,76781
ไทยใหญ่,2673,1759,12593,19382,36407
รัสเซีย,9990,13774,3359,2256,29379
อังกฤษ,4086,3223,13190,7296,27795
อเมริกัน,5393,3344,11406,5540,25683
ญี่ปุ่น,4002,1827,14400,4749,24978
เยอรมัน,4051,3522,9492,7083,24148
อินเดีย,3158,2693,8030,6344,20225
ฝรั่งเศส,3003,2750,7693,5749,19195
กัมพูชา,7518,4970,1315,916,14719
ลาว,7210,3290,2891,1185,14576
ออสเตรเลีย,2673,1731,6204,3321,13929
เกาหลี ,3547,1078,6557,1044,12226
ฟิลิปปินส์,2004,1408,4385,2787,10584
สวิสเซอร์แลนด์,1239,995,4643,3284,10161
ไทยลื้อ,905,527,3627,3880,8939
สวีเดน ,1102,1027,3208,2498,7835
อิตาลี,868,891,2918,2361,7038
บริติช,1185,769,3297,1640,6891
แคนาดา,1330,926,2871,1651,6778
เนเธอร์แลนด์,717,590,2350,1575,5232
นอรเวย์,657,586,1988,1472,4703
กะเหรี่ยง,500,487,1245,2423,4655
ไต้หวัน,984,295,2462,334,4075
เบลเยี่ยม,547,485,1710,1256,3998
มาเลเซีย,605,233,1772,522,3132
เดนมาร์ค,509,460,1159,823,2951
บุคคลพื้นที่สูง,281,245,893,1458,2877
สิงคโปร์,774,230,1446,330,2780
ออสเตรีย,422,390,1012,762,2586
ปากีสถาน,518,356,943,553,2370
ฟินแลนด์ ,322,309,893,735,2259
ดัตช์,315,247,1022,624,2208
อิสราเอล,507,381,665,449,2002
ยูเครน,683,715,304,262,1964
อาข่า,310,371,457,819,1957
ลั๊ว,212,154,658,888,1912
นิวซีแลนด์,372,245,857,425,1899
แอฟริกาใต้,408,289,691,389,1777
เวียดนาม,579,102,704,211,1596
มอญ,160,109,621,636,1526
สเปน,275,215,461,306,1257
ฮ่องกง,516,161,455,91,1223
ตุรกี,336,219,405,234,1194
อิหร่าน,209,134,450,274,1067
อินโดนีเซีย,236,95,558,160,1049
ไอซ์แลนด์,173,126,433,266,998
ลาหู่,138,103,321,424,986
โปแลนด์,261,292,242,168,963
ไอริช  ,194,164,373,200,931
บังคลาเทศ,193,107,410,208,918
เนปาล,130,77,262,163,632
บราซิล,165,103,235,103,606
ลีซู,73,65,169,256,563
ไนจีเรีย ,123,35,250,62,470
ฮังการี ,89,95,167,116,467
แคเมอรูน,73,26,232,102,433
ศรีลังกา,97,60,206,69,432
คาซัคสถาน,132,129,104,58,423
เบลารุส,121,147,70,63,401
กินี,30,18,156,142,346
โปรตุเกส,91,63,126,49,329
ปะหร่อง,35,27,108,154,324
อียิปต์,60,34,125,58,277
สาธารณรัฐเช็ก,74,71,74,47,266
ฮอลแลนด์,18,13,147,76,254
คูเวต,52,53,78,54,237
ลักเซมเบิร์ก,44,35,93,59,231
โรมาเนีย,59,40,78,40,217
เอสโตเนีย,56,70,41,48,215
กรีซ,29,27,87,68,211
จีนฮ่อ,15,7,88,84,194
ลิทัวเนีย,46,63,48,34,191
วานูอาตู,109,18,46,10,183
สหราชอาณาจักร,55,57,36,24,172
โมร็อกโก,32,37,56,38,163
สโลเวเนีย,34,36,45,42,157
เคนยา,53,23,56,20,152
เซอร์เบีย,34,38,44,36,152
ซีเรีย,25,8,70,40,143
อุซเบกีสถาน,30,27,62,21,140
เม็กซิกัน,40,14,64,20,138
กาน่า,28,12,61,34,135
อาร์เจนตินา,27,24,54,29,134
เชคโกสโลวาเกีย,40,25,37,30,132
โคลัมเบีย,32,15,55,26,128
อาฟกานิสถาน,35,26,39,21,121
จอร์แดน ,24,15,58,18,115
ม้ง,31,10,40,33,114
ลักเวีย,32,33,25,19,109
บาห์เรน,25,28,40,15,108
เลบานอน,18,14,54,22,108
ภูฏาน,33,9,39,26,107
ชิลี ,27,20,33,17,97
อาฟริกา,4,2,50,37,93
โครเอเชีย,12,16,36,28,92
ซาอุดิอาระเบีย,36,9,35,12,92
เปรู,21,9,46,15,91
สโลวัค,15,18,36,21,90
มัลดีฟ ,30,21,25,13,89
อิรัก ,10,5,48,25,88
เชครีพับลิก,19,28,25,15,87
บัลแกเรีย,16,18,35,18,87
อาหรับเอมิเรตส์,27,23,20,6,76
ซิมบับเว,28,14,19,10,71
ปะโอ,10,2,22,37,71
ยูกันดา,20,6,30,15,71
คีร์กิซ,15,19,15,12,61
เยเมน,18,5,23,15,61
เฮเลนิค,13,16,16,11,56
มอลโดวา,19,12,15,9,55
คะฉิ่น,4,5,16,29,54
โอมาน,15,10,17,5,47
คาเมรูน,7,0,28,11,46
เติร์กเมนิสถาน,11,12,13,10,46
แอลจีเรีย,13,4,20,8,45
มองโกเลีย,15,8,17,2,42
เซนต์คิตส์เนวิส,20,6,13,2,41
มาลี,3,1,20,16,40
เอธิโอเปีย,14,3,20,3,40
อาร์มิเนีย,7,6,23,3,39
ตูนิเซีย,10,5,14,7,36
มอลต้า,7,5,18,6,36
อาเซอร์ไบจาน,10,6,13,6,35
ซูดาน  ,3,2,24,5,34
ปาเลสติเนียน,6,6,12,10,34
มอริเชียส,9,4,12,7,32
เวเนซุเอลา,7,2,18,4,31
โดนิมิกัน,7,1,19,3,30
มาดากัสกา,4,2,13,9,28
บรูไน,8,3,15,1,27
ลิเบีย,9,1,15,2,27
อุรุกวัย,2,12,9,2,25
เอกวาดอร์,7,10,7,1,25
จอร์เจีย,11,7,1,1,20
แทนซาเนีย,5,1,11,3,20
อูกันตา,7,4,4,5,20
ลิกเตนสไตน์,4,3,7,5,19
บอสเนีย,3,5,6,4,18
ไซปรัส,5,6,4,2,17
เมาลิเทียส,8,5,3,1,17
แกมเบีย,2,3,6,5,16
คิวบา,4,2,8,2,16
