ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,เมษายน,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,40734
2568,เมษายน,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1664
2568,เมษายน,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,7909
2568,เมษายน,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,5
2568,เมษายน,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,374
2568,เมษายน,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,17
2568,เมษายน,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,33
2568,เมษายน,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,41
2568,เมษายน,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,1
2568,เมษายน,รถยนต์,รย. 12 รถจักรยานยนต์,148651
2568,เมษายน,รถยนต์,รย. 13 รถแทร็กเตอร์,4441
2568,เมษายน,รถยนต์,รย. 14 รถบดถนน,39
2568,เมษายน,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,12
2568,เมษายน,รถยนต์,รย. 16 รถพ่วง,71
2568,เมษายน,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,66
2568,เมษายน,รถขนส่ง,รถโดยสารประจำทาง,131
2568,เมษายน,รถขนส่ง,รถโดยสารไม่ประจำทาง,333
2568,เมษายน,รถขนส่ง,รถโดยสารส่วนบุคคล,33
2568,เมษายน,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2587
2568,เมษายน,รถขนส่ง,รถบรรทุกส่วนบุคคล,2359
