ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,มีนาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,45741
2568,มีนาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2175
2568,มีนาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,9138
2568,มีนาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,7
2568,มีนาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,390
2568,มีนาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,13
2568,มีนาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,297
2568,มีนาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,61
2568,มีนาคม,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,1
2568,มีนาคม,รถยนต์,รย. 12 รถจักรยานยนต์,169858
2568,มีนาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,4151
2568,มีนาคม,รถยนต์,รย. 14 รถบดถนน,54
2568,มีนาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,44
2568,มีนาคม,รถยนต์,รย. 16 รถพ่วง,79
2568,มีนาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,100
2568,มีนาคม,รถขนส่ง,รถโดยสารประจำทาง,83
2568,มีนาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,447
2568,มีนาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,43
2568,มีนาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2338
2568,มีนาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2198
