ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2569,กุมภาพันธ์,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,43589
2569,กุมภาพันธ์,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1687
2569,กุมภาพันธ์,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,7670
2569,กุมภาพันธ์,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,12
2569,กุมภาพันธ์,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,118
2569,กุมภาพันธ์,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,12
2569,กุมภาพันธ์,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,6
2569,กุมภาพันธ์,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,20
2569,กุมภาพันธ์,รถยนต์,รย. 12 รถจักรยานยนต์,167218
2569,กุมภาพันธ์,รถยนต์,รย. 13 รถแทร็กเตอร์,3654
2569,กุมภาพันธ์,รถยนต์,รย. 14 รถบดถนน,94
2569,กุมภาพันธ์,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,14
2569,กุมภาพันธ์,รถยนต์,รย. 16 รถพ่วง,126
2569,กุมภาพันธ์,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,102
2569,กุมภาพันธ์,รถขนส่ง,รถโดยสารประจำทาง,169
2569,กุมภาพันธ์,รถขนส่ง,รถโดยสารไม่ประจำทาง,329
2569,กุมภาพันธ์,รถขนส่ง,รถโดยสารส่วนบุคคล,69
2569,กุมภาพันธ์,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2367
2569,กุมภาพันธ์,รถขนส่ง,รถบรรทุกส่วนบุคคล,2328
