ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2566,ธันวาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,36531
2566,ธันวาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1211
2566,ธันวาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,8255
2566,ธันวาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,3
2566,ธันวาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,208
2566,ธันวาคม,รถยนต์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),1
2566,ธันวาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,67
2566,ธันวาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,7
2566,ธันวาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,18
2566,ธันวาคม,รถยนต์,รย. 12 รถจักรยานยนต์,148372
2566,ธันวาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,4748
2566,ธันวาคม,รถยนต์,รย. 14 รถบดถนน,52
2566,ธันวาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,18
2566,ธันวาคม,รถยนต์,รย. 16 รถพ่วง,100
2566,ธันวาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,90
2566,ธันวาคม,รถขนส่ง,รถโดยสารประจำทาง,94
2566,ธันวาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,459
2566,ธันวาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,66
2566,ธันวาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2440
2566,ธันวาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2790
