ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,กันยายน,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,43271
2568,กันยายน,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1619
2568,กันยายน,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,8116
2568,กันยายน,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,3
2568,กันยายน,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,509
2568,กันยายน,รถยนต์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),1
2568,กันยายน,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,7
2568,กันยายน,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,30
2568,กันยายน,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,38
2568,กันยายน,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,2
2568,กันยายน,รถยนต์,รย. 12 รถจักรยานยนต์,152657
2568,กันยายน,รถยนต์,รย. 13 รถแทร็กเตอร์,3299
2568,กันยายน,รถยนต์,รย. 14 รถบดถนน,74
2568,กันยายน,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,17
2568,กันยายน,รถยนต์,รย. 16 รถพ่วง,82
2568,กันยายน,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,95
2568,กันยายน,รถขนส่ง,รถโดยสารประจำทาง,100
2568,กันยายน,รถขนส่ง,รถโดยสารไม่ประจำทาง,366
2568,กันยายน,รถขนส่ง,รถโดยสารส่วนบุคคล,66
2568,กันยายน,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2473
2568,กันยายน,รถขนส่ง,รถบรรทุกส่วนบุคคล,2746
