ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,มกราคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,55923
2568,มกราคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1530
2568,มกราคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,10556
2568,มกราคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,7
2568,มกราคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,259
2568,มกราคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,15
2568,มกราคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,5
2568,มกราคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,62
2568,มกราคม,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,2
2568,มกราคม,รถยนต์,รย. 12 รถจักรยานยนต์,175276
2568,มกราคม,รถยนต์,รย. 13 รถแทร็กเตอร์,4951
2568,มกราคม,รถยนต์,รย. 14 รถบดถนน,42
2568,มกราคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,26
2568,มกราคม,รถยนต์,รย. 16 รถพ่วง,90
2568,มกราคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,108
2568,มกราคม,รถขนส่ง,รถโดยสารประจำทาง,112
2568,มกราคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,327
2568,มกราคม,รถขนส่ง,รถโดยสารส่วนบุคคล,21
2568,มกราคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2152
2568,มกราคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2115
