ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2567,สิงหาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,41433
2567,สิงหาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1658
2567,สิงหาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,9717
2567,สิงหาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,10
2567,สิงหาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,358
2567,สิงหาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,66
2567,สิงหาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,19
2567,สิงหาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,31
2567,สิงหาคม,รถยนต์,รย. 12 รถจักรยานยนต์,150383
2567,สิงหาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,4306
2567,สิงหาคม,รถยนต์,รย. 14 รถบดถนน,59
2567,สิงหาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,35
2567,สิงหาคม,รถยนต์,รย. 16 รถพ่วง,72
2567,สิงหาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,92
2567,สิงหาคม,รถขนส่ง,รถโดยสารประจำทาง,92
2567,สิงหาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,390
2567,สิงหาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,68
2567,สิงหาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2337
2567,สิงหาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2626
