ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,พฤศจิกายน,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,39921
2568,พฤศจิกายน,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1440
2568,พฤศจิกายน,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,6478
2568,พฤศจิกายน,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,5
2568,พฤศจิกายน,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,334
2568,พฤศจิกายน,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,10
2568,พฤศจิกายน,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,24
2568,พฤศจิกายน,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,11
2568,พฤศจิกายน,รถยนต์,รย. 12 รถจักรยานยนต์,143326
2568,พฤศจิกายน,รถยนต์,รย. 13 รถแทร็กเตอร์,3254
2568,พฤศจิกายน,รถยนต์,รย. 14 รถบดถนน,56
2568,พฤศจิกายน,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,7
2568,พฤศจิกายน,รถยนต์,รย. 16 รถพ่วง,125
2568,พฤศจิกายน,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,120
2568,พฤศจิกายน,รถขนส่ง,รถโดยสารประจำทาง,116
2568,พฤศจิกายน,รถขนส่ง,รถโดยสารไม่ประจำทาง,302
2568,พฤศจิกายน,รถขนส่ง,รถโดยสารส่วนบุคคล,61
2568,พฤศจิกายน,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2469
2568,พฤศจิกายน,รถขนส่ง,รถบรรทุกส่วนบุคคล,2376
